Ground Truth: Fall left

t=15 | pred=Fall left | scores={'Fall backwards': np.float32(0.65676695), 'Fall forward': np.float32(0.6557586), 'Fall left': np.float32(0.6614361), 'Fall right': np.float32(0.659367), 'Fall sitting': np.float32(0.65683675), 'Hop': np.float32(0.6516842), 'Kneel': np.float32(0.6593889), 'Pick up object': np.float32(0.65743667), 'Sit down': np.float32(0.6574405), 'Walk': np.float32(0.65486896)}
t=20 | pred=Fall left | scores={'Fall backwards': np.float32(0.6565574), 'Fall forward': np.float32(0.6554122), 'Fall left': np.float32(0.6613749), 'Fall right': np.float32(0.6592085), 'Fall sitting': np.float32(0.6575988), 'Hop': np.float32(0.65192693), 'Kneel': np.float32(0.6593098), 'Pick up object': np.float32(0.6578244), 'Sit down': np.float32(0.6574735), 'Walk': np.float32(0.65522295)}
t=25 | pred=Fall left | scores={'Fall backwards': np.float32(0.6571508), 'Fall forward': np.float32(0.65578496), 'Fall left': np.float32(0.66210437), 'Fall right': np.float32(0.6597521), 'Fall sitting': np.float32(0.65836984), 'Hop': np.float32(0.6536821), 'Kneel': np.float32(0.66002554), 'Pick up object': np.float32(0.6592491), 'Sit down': np.float32(0.6587449), 'Walk': np.float32(0.6570074)}
t=30 | pred=Fall left | scores={'Fall backwards': np.float32(0.6589808), 'Fall forward': np.float32(0.65749276), 'Fall left': np.float32(0.6637304), 'Fall right': np.float32(0.6616272), 'Fall sitting': np.float32(0.6598542), 'Hop': np.float32(0.65659326), 'Kneel': np.float32(0.6618629), 'Pick up object': np.float32(0.6616575), 'Sit down': np.float32(0.6608027), 'Walk': np.float32(0.65965366)}
t=35 | pred=Fall left | scores={'Fall backwards': np.float32(0.66052), 'Fall forward': np.float32(0.6592787), 'Fall left': np.float32(0.6648378), 'Fall right': np.float32(0.66301364), 'Fall sitting': np.float32(0.66112727), 'Hop': np.float32(0.6579611), 'Kneel': np.float32(0.66311777), 'Pick up object': np.float32(0.66275054), 'Sit down': np.float32(0.66165775), 'Walk': np.float32(0.6609496)}
t=40 | pred=Fall left | scores={'Fall backwards': np.float32(0.6607672), 'Fall forward': np.float32(0.65983784), 'Fall left': np.float32(0.66498476), 'Fall right': np.float32(0.6630841), 'Fall sitting': np.float32(0.6621412), 'Hop': np.float32(0.6579307), 'Kneel': np.float32(0.66308117), 'Pick up object': np.float32(0.6628615), 'Sit down': np.float32(0.66170466), 'Walk': np.float32(0.6609115)}
t=45 | pred=Fall left | scores={'Fall backwards': np.float32(0.66072816), 'Fall forward': np.float32(0.66007036), 'Fall left': np.float32(0.6649531), 'Fall right': np.float32(0.6629061), 'Fall sitting': np.float32(0.6625647), 'Hop': np.float32(0.65812016), 'Kneel': np.float32(0.6631363), 'Pick up object': np.float32(0.66300434), 'Sit down': np.float32(0.6617304), 'Walk': np.float32(0.6610367)}
t=50 | pred=Fall left | scores={'Fall backwards': np.float32(0.66048425), 'Fall forward': np.float32(0.660146), 'Fall left': np.float32(0.66490406), 'Fall right': np.float32(0.662599), 'Fall sitting': np.float32(0.6633478), 'Hop': np.float32(0.6580657), 'Kneel': np.float32(0.6630836), 'Pick up object': np.float32(0.6630359), 'Sit down': np.float32(0.66199094), 'Walk': np.float32(0.66074044)}
t=55 | pred=Fall left | scores={'Fall backwards': np.float32(0.6615126), 'Fall forward': np.float32(0.6609794), 'Fall left': np.float32(0.6660224), 'Fall right': np.float32(0.6636107), 'Fall sitting': np.float32(0.6641675), 'Hop': np.float32(0.658359), 'Kneel': np.float32(0.66399914), 'Pick up object': np.float32(0.66361386), 'Sit down': np.float32(0.6630275), 'Walk': np.float32(0.6609097)}
t=60 | pred=Fall left | scores={'Fall backwards': np.float32(0.6621772), 'Fall forward': np.float32(0.6612282), 'Fall left': np.float32(0.6667169), 'Fall right': np.float32(0.6642966), 'Fall sitting': np.float32(0.66474044), 'Hop': np.float32(0.6579684), 'Kneel': np.float32(0.66413015), 'Pick up object': np.float32(0.6635283), 'Sit down': np.float32(0.66324633), 'Walk': np.float32(0.6603383)}
t=65 | pred=Fall left | scores={'Fall backwards': np.float32(0.6628823), 'Fall forward': np.float32(0.6610603), 'Fall left': np.float32(0.66724306), 'Fall right': np.float32(0.66493875), 'Fall sitting': np.float32(0.6650681), 'Hop': np.float32(0.6573927), 'Kneel': np.float32(0.66406417), 'Pick up object': np.float32(0.6633059), 'Sit down': np.float32(0.6633883), 'Walk': np.float32(0.659727)}
t=70 | pred=Fall left | scores={'Fall backwards': np.float32(0.6631469), 'Fall forward': np.float32(0.6602479), 'Fall left': np.float32(0.66731805), 'Fall right': np.float32(0.66512847), 'Fall sitting': np.float32(0.6648322), 'Hop': np.float32(0.6565559), 'Kneel': np.float32(0.6636015), 'Pick up object': np.float32(0.6629462), 'Sit down': np.float32(0.6632434), 'Walk': np.float32(0.6588331)}
t=75 | pred=Fall left | scores={'Fall backwards': np.float32(0.6632459), 'Fall forward': np.float32(0.6592556), 'Fall left': np.float32(0.66717124), 'Fall right': np.float32(0.6651191), 'Fall sitting': np.float32(0.6641864), 'Hop': np.float32(0.6555794), 'Kneel': np.float32(0.66290295), 'Pick up object': np.float32(0.66239965), 'Sit down': np.float32(0.6629959), 'Walk': np.float32(0.65777755)}
t=80 | pred=Fall left | scores={'Fall backwards': np.float32(0.66326), 'Fall forward': np.float32(0.6584109), 'Fall left': np.float32(0.6670987), 'Fall right': np.float32(0.6650497), 'Fall sitting': np.float32(0.6636611), 'Hop': np.float32(0.6547013), 'Kneel': np.float32(0.66231495), 'Pick up object': np.float32(0.66190356), 'Sit down': np.float32(0.6628168), 'Walk': np.float32(0.6567802)}
t=85 | pred=Fall left | scores={'Fall backwards': np.float32(0.6632189), 'Fall forward': np.float32(0.6578372), 'Fall left': np.float32(0.66705024), 'Fall right': np.float32(0.66495216), 'Fall sitting': np.float32(0.663316), 'Hop': np.float32(0.65405947), 'Kneel': np.float32(0.6619275), 'Pick up object': np.float32(0.66159856), 'Sit down': np.float32(0.6626176), 'Walk': np.float32(0.65605086)}
t=90 | pred=Fall left | scores={'Fall backwards': np.float32(0.6630474), 'Fall forward': np.float32(0.65712374), 'Fall left': np.float32(0.66693956), 'Fall right': np.float32(0.6647763), 'Fall sitting': np.float32(0.6629387), 'Hop': np.float32(0.653292), 'Kneel': np.float32(0.6614621), 'Pick up object': np.float32(0.6611815), 'Sit down': np.float32(0.66233575), 'Walk': np.float32(0.6551997)}
t=95 | pred=Fall left | scores={'Fall backwards': np.float32(0.66306907), 'Fall forward': np.float32(0.65669215), 'Fall left': np.float32(0.66692215), 'Fall right': np.float32(0.6647801), 'Fall sitting': np.float32(0.66267186), 'Hop': np.float32(0.652768), 'Kneel': np.float32(0.66116387), 'Pick up object': np.float32(0.6608962), 'Sit down': np.float32(0.66213036), 'Walk': np.float32(0.65465343)}
t=100 | pred=Fall left | scores={'Fall backwards': np.float32(0.6630892), 'Fall forward': np.float32(0.6562972), 'Fall left': np.float32(0.66687125), 'Fall right': np.float32(0.6648302), 'Fall sitting': np.float32(0.66248655), 'Hop': np.float32(0.6521753), 'Kneel': np.float32(0.6609106), 'Pick up object': np.float32(0.6605993), 'Sit down': np.float32(0.6618988), 'Walk': np.float32(0.65407807)}
