Ground Truth: Fall sitting

t=15 | pred=Sit down | scores={'Fall backwards': np.float32(0.6572188), 'Fall forward': np.float32(0.64844406), 'Fall left': np.float32(0.65886456), 'Fall right': np.float32(0.6551381), 'Fall sitting': np.float32(0.65729266), 'Hop': np.float32(0.6470621), 'Kneel': np.float32(0.657768), 'Pick up object': np.float32(0.6574185), 'Sit down': np.float32(0.6661572), 'Walk': np.float32(0.6516766)}
t=20 | pred=Sit down | scores={'Fall backwards': np.float32(0.65709186), 'Fall forward': np.float32(0.64711976), 'Fall left': np.float32(0.65858775), 'Fall right': np.float32(0.65473557), 'Fall sitting': np.float32(0.6566676), 'Hop': np.float32(0.645386), 'Kneel': np.float32(0.65667003), 'Pick up object': np.float32(0.6558466), 'Sit down': np.float32(0.6658318), 'Walk': np.float32(0.6499748)}
t=25 | pred=Sit down | scores={'Fall backwards': np.float32(0.65776336), 'Fall forward': np.float32(0.64731395), 'Fall left': np.float32(0.65913355), 'Fall right': np.float32(0.65507036), 'Fall sitting': np.float32(0.6566266), 'Hop': np.float32(0.645451), 'Kneel': np.float32(0.6571927), 'Pick up object': np.float32(0.65624154), 'Sit down': np.float32(0.6666833), 'Walk': np.float32(0.6498283)}
t=30 | pred=Sit down | scores={'Fall backwards': np.float32(0.65843624), 'Fall forward': np.float32(0.6474714), 'Fall left': np.float32(0.65954435), 'Fall right': np.float32(0.65549123), 'Fall sitting': np.float32(0.6565114), 'Hop': np.float32(0.6448978), 'Kneel': np.float32(0.65742946), 'Pick up object': np.float32(0.656137), 'Sit down': np.float32(0.66730225), 'Walk': np.float32(0.6492537)}
t=35 | pred=Sit down | scores={'Fall backwards': np.float32(0.6588112), 'Fall forward': np.float32(0.64778996), 'Fall left': np.float32(0.6599134), 'Fall right': np.float32(0.65595424), 'Fall sitting': np.float32(0.6567317), 'Hop': np.float32(0.64459723), 'Kneel': np.float32(0.6577269), 'Pick up object': np.float32(0.6564013), 'Sit down': np.float32(0.6678416), 'Walk': np.float32(0.6490638)}
t=40 | pred=Sit down | scores={'Fall backwards': np.float32(0.658899), 'Fall forward': np.float32(0.6477429), 'Fall left': np.float32(0.6600698), 'Fall right': np.float32(0.65608567), 'Fall sitting': np.float32(0.6568474), 'Hop': np.float32(0.6440396), 'Kneel': np.float32(0.6575964), 'Pick up object': np.float32(0.6563597), 'Sit down': np.float32(0.6680224), 'Walk': np.float32(0.6487518)}
t=45 | pred=Sit down | scores={'Fall backwards': np.float32(0.65997076), 'Fall forward': np.float32(0.6491429), 'Fall left': np.float32(0.66128606), 'Fall right': np.float32(0.6573271), 'Fall sitting': np.float32(0.65816826), 'Hop': np.float32(0.64546704), 'Kneel': np.float32(0.6588389), 'Pick up object': np.float32(0.6577785), 'Sit down': np.float32(0.6689965), 'Walk': np.float32(0.6503468)}
t=50 | pred=Sit down | scores={'Fall backwards': np.float32(0.6611615), 'Fall forward': np.float32(0.65081877), 'Fall left': np.float32(0.66261286), 'Fall right': np.float32(0.6587334), 'Fall sitting': np.float32(0.6596651), 'Hop': np.float32(0.6469543), 'Kneel': np.float32(0.6602421), 'Pick up object': np.float32(0.65926355), 'Sit down': np.float32(0.6698282), 'Walk': np.float32(0.6519394)}
t=55 | pred=Sit down | scores={'Fall backwards': np.float32(0.66137445), 'Fall forward': np.float32(0.651028), 'Fall left': np.float32(0.662961), 'Fall right': np.float32(0.65906364), 'Fall sitting': np.float32(0.6600254), 'Hop': np.float32(0.6474282), 'Kneel': np.float32(0.6604994), 'Pick up object': np.float32(0.6597434), 'Sit down': np.float32(0.67014277), 'Walk': np.float32(0.65246993)}
t=60 | pred=Sit down | scores={'Fall backwards': np.float32(0.6610839), 'Fall forward': np.float32(0.65078837), 'Fall left': np.float32(0.66288257), 'Fall right': np.float32(0.65884775), 'Fall sitting': np.float32(0.660457), 'Hop': np.float32(0.6474023), 'Kneel': np.float32(0.6601792), 'Pick up object': np.float32(0.6597371), 'Sit down': np.float32(0.67038107), 'Walk': np.float32(0.6524808)}
t=65 | pred=Sit down | scores={'Fall backwards': np.float32(0.6605702), 'Fall forward': np.float32(0.6503622), 'Fall left': np.float32(0.6625445), 'Fall right': np.float32(0.65845156), 'Fall sitting': np.float32(0.66113985), 'Hop': np.float32(0.64697325), 'Kneel': np.float32(0.65949094), 'Pick up object': np.float32(0.65943366), 'Sit down': np.float32(0.6701679), 'Walk': np.float32(0.6519825)}
