Ground Truth: Kneel

t=15 | pred=Walk | scores={'Fall backwards': np.float32(0.66401416), 'Fall forward': np.float32(0.6594715), 'Fall left': np.float32(0.66275036), 'Fall right': np.float32(0.661713), 'Fall sitting': np.float32(0.65261424), 'Hop': np.float32(0.67456675), 'Kneel': np.float32(0.6644797), 'Pick up object': np.float32(0.6713714), 'Sit down': np.float32(0.6625671), 'Walk': np.float32(0.67509866)}
t=20 | pred=Walk | scores={'Fall backwards': np.float32(0.6650677), 'Fall forward': np.float32(0.66108465), 'Fall left': np.float32(0.6641877), 'Fall right': np.float32(0.6632368), 'Fall sitting': np.float32(0.65408206), 'Hop': np.float32(0.67508477), 'Kneel': np.float32(0.66580147), 'Pick up object': np.float32(0.6724942), 'Sit down': np.float32(0.6635197), 'Walk': np.float32(0.67573625)}
t=25 | pred=Walk | scores={'Fall backwards': np.float32(0.66630375), 'Fall forward': np.float32(0.66260725), 'Fall left': np.float32(0.66538745), 'Fall right': np.float32(0.6647028), 'Fall sitting': np.float32(0.65486634), 'Hop': np.float32(0.67572147), 'Kneel': np.float32(0.6673055), 'Pick up object': np.float32(0.6739711), 'Sit down': np.float32(0.66480166), 'Walk': np.float32(0.6764284)}
t=30 | pred=Walk | scores={'Fall backwards': np.float32(0.6664625), 'Fall forward': np.float32(0.6626412), 'Fall left': np.float32(0.66554534), 'Fall right': np.float32(0.6651844), 'Fall sitting': np.float32(0.654844), 'Hop': np.float32(0.6747524), 'Kneel': np.float32(0.6675591), 'Pick up object': np.float32(0.67436665), 'Sit down': np.float32(0.66495997), 'Walk': np.float32(0.67529374)}
t=35 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6664024), 'Fall forward': np.float32(0.6621881), 'Fall left': np.float32(0.66577417), 'Fall right': np.float32(0.66550106), 'Fall sitting': np.float32(0.6550868), 'Hop': np.float32(0.6739268), 'Kneel': np.float32(0.66761917), 'Pick up object': np.float32(0.6745415), 'Sit down': np.float32(0.66549385), 'Walk': np.float32(0.67406404)}
t=40 | pred=Pick up object | scores={'Fall backwards': np.float32(0.66694313), 'Fall forward': np.float32(0.6621776), 'Fall left': np.float32(0.6663227), 'Fall right': np.float32(0.6659091), 'Fall sitting': np.float32(0.6558805), 'Hop': np.float32(0.6732457), 'Kneel': np.float32(0.6681798), 'Pick up object': np.float32(0.675034), 'Sit down': np.float32(0.6667307), 'Walk': np.float32(0.6734242)}
t=45 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6667645), 'Fall forward': np.float32(0.6618664), 'Fall left': np.float32(0.6662887), 'Fall right': np.float32(0.66543394), 'Fall sitting': np.float32(0.6562569), 'Hop': np.float32(0.6719955), 'Kneel': np.float32(0.6681445), 'Pick up object': np.float32(0.67450404), 'Sit down': np.float32(0.6670345), 'Walk': np.float32(0.6722824)}
t=50 | pred=Pick up object | scores={'Fall backwards': np.float32(0.66661257), 'Fall forward': np.float32(0.6613187), 'Fall left': np.float32(0.6661944), 'Fall right': np.float32(0.664979), 'Fall sitting': np.float32(0.6562314), 'Hop': np.float32(0.67035794), 'Kneel': np.float32(0.6682306), 'Pick up object': np.float32(0.6735547), 'Sit down': np.float32(0.6672162), 'Walk': np.float32(0.67065483)}
t=55 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6670104), 'Fall forward': np.float32(0.6614543), 'Fall left': np.float32(0.66666627), 'Fall right': np.float32(0.6651337), 'Fall sitting': np.float32(0.6566088), 'Hop': np.float32(0.66960377), 'Kneel': np.float32(0.6689952), 'Pick up object': np.float32(0.67328435), 'Sit down': np.float32(0.6676744), 'Walk': np.float32(0.6697763)}
t=60 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6673255), 'Fall forward': np.float32(0.661795), 'Fall left': np.float32(0.66709757), 'Fall right': np.float32(0.6653502), 'Fall sitting': np.float32(0.65696454), 'Hop': np.float32(0.66871303), 'Kneel': np.float32(0.6698686), 'Pick up object': np.float32(0.67301005), 'Sit down': np.float32(0.6681835), 'Walk': np.float32(0.6689211)}
t=65 | pred=Pick up object | scores={'Fall backwards': np.float32(0.66794693), 'Fall forward': np.float32(0.66261214), 'Fall left': np.float32(0.66779387), 'Fall right': np.float32(0.6660016), 'Fall sitting': np.float32(0.65758187), 'Hop': np.float32(0.668497), 'Kneel': np.float32(0.6709809), 'Pick up object': np.float32(0.6732173), 'Sit down': np.float32(0.66900384), 'Walk': np.float32(0.668743)}
t=70 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6679501), 'Fall forward': np.float32(0.66247934), 'Fall left': np.float32(0.6677645), 'Fall right': np.float32(0.6658824), 'Fall sitting': np.float32(0.65746224), 'Hop': np.float32(0.66735107), 'Kneel': np.float32(0.6712254), 'Pick up object': np.float32(0.6726559), 'Sit down': np.float32(0.6692297), 'Walk': np.float32(0.66766053)}
t=75 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6683774), 'Fall forward': np.float32(0.6626943), 'Fall left': np.float32(0.6680348), 'Fall right': np.float32(0.66631055), 'Fall sitting': np.float32(0.6576301), 'Hop': np.float32(0.66658384), 'Kneel': np.float32(0.67160517), 'Pick up object': np.float32(0.6722883), 'Sit down': np.float32(0.6696033), 'Walk': np.float32(0.66702133)}
t=80 | pred=Pick up object | scores={'Fall backwards': np.float32(0.66880053), 'Fall forward': np.float32(0.66298693), 'Fall left': np.float32(0.66836464), 'Fall right': np.float32(0.6668036), 'Fall sitting': np.float32(0.65804493), 'Hop': np.float32(0.6659136), 'Kneel': np.float32(0.6720997), 'Pick up object': np.float32(0.6721249), 'Sit down': np.float32(0.6700986), 'Walk': np.float32(0.6665825)}
t=85 | pred=Kneel | scores={'Fall backwards': np.float32(0.6692069), 'Fall forward': np.float32(0.66311866), 'Fall left': np.float32(0.66865975), 'Fall right': np.float32(0.66730005), 'Fall sitting': np.float32(0.65826756), 'Hop': np.float32(0.6653056), 'Kneel': np.float32(0.6724362), 'Pick up object': np.float32(0.67190266), 'Sit down': np.float32(0.67035395), 'Walk': np.float32(0.66623163)}
t=90 | pred=Kneel | scores={'Fall backwards': np.float32(0.669575), 'Fall forward': np.float32(0.6630647), 'Fall left': np.float32(0.66883045), 'Fall right': np.float32(0.6677158), 'Fall sitting': np.float32(0.6583652), 'Hop': np.float32(0.664435), 'Kneel': np.float32(0.6726006), 'Pick up object': np.float32(0.6714309), 'Sit down': np.float32(0.6704051), 'Walk': np.float32(0.66564745)}
t=95 | pred=Kneel | scores={'Fall backwards': np.float32(0.67005897), 'Fall forward': np.float32(0.66331977), 'Fall left': np.float32(0.6691763), 'Fall right': np.float32(0.66823417), 'Fall sitting': np.float32(0.65865165), 'Hop': np.float32(0.6640292), 'Kneel': np.float32(0.6728915), 'Pick up object': np.float32(0.6713504), 'Sit down': np.float32(0.6705369), 'Walk': np.float32(0.66552216)}
t=100 | pred=Kneel | scores={'Fall backwards': np.float32(0.67012215), 'Fall forward': np.float32(0.66314876), 'Fall left': np.float32(0.6691175), 'Fall right': np.float32(0.6682845), 'Fall sitting': np.float32(0.65870935), 'Hop': np.float32(0.6632353), 'Kneel': np.float32(0.67285967), 'Pick up object': np.float32(0.6710255), 'Sit down': np.float32(0.6704789), 'Walk': np.float32(0.66497535)}
t=105 | pred=Kneel | scores={'Fall backwards': np.float32(0.66994715), 'Fall forward': np.float32(0.662897), 'Fall left': np.float32(0.66893154), 'Fall right': np.float32(0.668129), 'Fall sitting': np.float32(0.6587029), 'Hop': np.float32(0.66257906), 'Kneel': np.float32(0.67267245), 'Pick up object': np.float32(0.67062455), 'Sit down': np.float32(0.6703759), 'Walk': np.float32(0.66447806)}
t=110 | pred=Kneel | scores={'Fall backwards': np.float32(0.6697884), 'Fall forward': np.float32(0.66261697), 'Fall left': np.float32(0.6688018), 'Fall right': np.float32(0.6680022), 'Fall sitting': np.float32(0.65876836), 'Hop': np.float32(0.6619432), 'Kneel': np.float32(0.67249846), 'Pick up object': np.float32(0.67032236), 'Sit down': np.float32(0.6702563), 'Walk': np.float32(0.6640589)}
t=115 | pred=Kneel | scores={'Fall backwards': np.float32(0.66970897), 'Fall forward': np.float32(0.6624219), 'Fall left': np.float32(0.6687545), 'Fall right': np.float32(0.667874), 'Fall sitting': np.float32(0.6587832), 'Hop': np.float32(0.6615852), 'Kneel': np.float32(0.6723414), 'Pick up object': np.float32(0.6701528), 'Sit down': np.float32(0.6701468), 'Walk': np.float32(0.663816)}
t=120 | pred=Kneel | scores={'Fall backwards': np.float32(0.6696878), 'Fall forward': np.float32(0.6621683), 'Fall left': np.float32(0.66870916), 'Fall right': np.float32(0.6677416), 'Fall sitting': np.float32(0.6587669), 'Hop': np.float32(0.6610972), 'Kneel': np.float32(0.67218834), 'Pick up object': np.float32(0.66990274), 'Sit down': np.float32(0.6700119), 'Walk': np.float32(0.6634481)}
t=125 | pred=Kneel | scores={'Fall backwards': np.float32(0.67004), 'Fall forward': np.float32(0.662443), 'Fall left': np.float32(0.6690639), 'Fall right': np.float32(0.6680202), 'Fall sitting': np.float32(0.65908134), 'Hop': np.float32(0.6612311), 'Kneel': np.float32(0.6724966), 'Pick up object': np.float32(0.67013246), 'Sit down': np.float32(0.670258), 'Walk': np.float32(0.6636403)}
