Ground Truth: Hop

t=15 | pred=Hop | scores={'Fall backwards': np.float32(0.64555126), 'Fall forward': np.float32(0.65057003), 'Fall left': np.float32(0.6456255), 'Fall right': np.float32(0.6441421), 'Fall sitting': np.float32(0.6364556), 'Hop': np.float32(0.6618575), 'Kneel': np.float32(0.6509706), 'Pick up object': np.float32(0.6495297), 'Sit down': np.float32(0.6415363), 'Walk': np.float32(0.6557908)}
t=20 | pred=Hop | scores={'Fall backwards': np.float32(0.6457298), 'Fall forward': np.float32(0.65079206), 'Fall left': np.float32(0.64566374), 'Fall right': np.float32(0.64414513), 'Fall sitting': np.float32(0.6372707), 'Hop': np.float32(0.6617629), 'Kneel': np.float32(0.6509877), 'Pick up object': np.float32(0.6493597), 'Sit down': np.float32(0.6415231), 'Walk': np.float32(0.6557181)}
t=25 | pred=Hop | scores={'Fall backwards': np.float32(0.6453988), 'Fall forward': np.float32(0.65036684), 'Fall left': np.float32(0.6453985), 'Fall right': np.float32(0.6437937), 'Fall sitting': np.float32(0.63778394), 'Hop': np.float32(0.6621191), 'Kneel': np.float32(0.6509075), 'Pick up object': np.float32(0.64973855), 'Sit down': np.float32(0.6417297), 'Walk': np.float32(0.6560722)}
t=30 | pred=Hop | scores={'Fall backwards': np.float32(0.6451159), 'Fall forward': np.float32(0.65010446), 'Fall left': np.float32(0.6449732), 'Fall right': np.float32(0.64338315), 'Fall sitting': np.float32(0.63770676), 'Hop': np.float32(0.6617684), 'Kneel': np.float32(0.65059006), 'Pick up object': np.float32(0.64936364), 'Sit down': np.float32(0.641408), 'Walk': np.float32(0.65572226)}
t=35 | pred=Hop | scores={'Fall backwards': np.float32(0.6456149), 'Fall forward': np.float32(0.6505754), 'Fall left': np.float32(0.6453618), 'Fall right': np.float32(0.64374393), 'Fall sitting': np.float32(0.6380911), 'Hop': np.float32(0.6617414), 'Kneel': np.float32(0.6509762), 'Pick up object': np.float32(0.6494634), 'Sit down': np.float32(0.6415032), 'Walk': np.float32(0.65568113)}
t=40 | pred=Hop | scores={'Fall backwards': np.float32(0.64574826), 'Fall forward': np.float32(0.6506338), 'Fall left': np.float32(0.6456312), 'Fall right': np.float32(0.64393455), 'Fall sitting': np.float32(0.6387281), 'Hop': np.float32(0.66224945), 'Kneel': np.float32(0.65124005), 'Pick up object': np.float32(0.6500405), 'Sit down': np.float32(0.6420143), 'Walk': np.float32(0.6560919)}
t=45 | pred=Hop | scores={'Fall backwards': np.float32(0.6456419), 'Fall forward': np.float32(0.65033495), 'Fall left': np.float32(0.6454953), 'Fall right': np.float32(0.6437688), 'Fall sitting': np.float32(0.6386657), 'Hop': np.float32(0.66198945), 'Kneel': np.float32(0.65094686), 'Pick up object': np.float32(0.6499676), 'Sit down': np.float32(0.6420224), 'Walk': np.float32(0.6558539)}
t=50 | pred=Hop | scores={'Fall backwards': np.float32(0.64591604), 'Fall forward': np.float32(0.65058583), 'Fall left': np.float32(0.64578104), 'Fall right': np.float32(0.64405835), 'Fall sitting': np.float32(0.63902974), 'Hop': np.float32(0.662259), 'Kneel': np.float32(0.6512774), 'Pick up object': np.float32(0.6503185), 'Sit down': np.float32(0.64229035), 'Walk': np.float32(0.6561104)}
t=55 | pred=Hop | scores={'Fall backwards': np.float32(0.6456814), 'Fall forward': np.float32(0.6502855), 'Fall left': np.float32(0.6456526), 'Fall right': np.float32(0.64384264), 'Fall sitting': np.float32(0.63906664), 'Hop': np.float32(0.66247433), 'Kneel': np.float32(0.65123284), 'Pick up object': np.float32(0.65040237), 'Sit down': np.float32(0.6424517), 'Walk': np.float32(0.6561814)}
t=60 | pred=Hop | scores={'Fall backwards': np.float32(0.6456892), 'Fall forward': np.float32(0.65007734), 'Fall left': np.float32(0.6455764), 'Fall right': np.float32(0.6437337), 'Fall sitting': np.float32(0.6391665), 'Hop': np.float32(0.6623262), 'Kneel': np.float32(0.65115654), 'Pick up object': np.float32(0.65031195), 'Sit down': np.float32(0.6424801), 'Walk': np.float32(0.65602016)}
t=65 | pred=Hop | scores={'Fall backwards': np.float32(0.6456648), 'Fall forward': np.float32(0.6500316), 'Fall left': np.float32(0.6455262), 'Fall right': np.float32(0.6437536), 'Fall sitting': np.float32(0.6391858), 'Hop': np.float32(0.66233724), 'Kneel': np.float32(0.6511857), 'Pick up object': np.float32(0.65037906), 'Sit down': np.float32(0.64245796), 'Walk': np.float32(0.6560678)}
t=70 | pred=Hop | scores={'Fall backwards': np.float32(0.64569074), 'Fall forward': np.float32(0.6500001), 'Fall left': np.float32(0.6456316), 'Fall right': np.float32(0.643856), 'Fall sitting': np.float32(0.6393577), 'Hop': np.float32(0.6626441), 'Kneel': np.float32(0.6513428), 'Pick up object': np.float32(0.6506074), 'Sit down': np.float32(0.642782), 'Walk': np.float32(0.65634346)}
t=75 | pred=Hop | scores={'Fall backwards': np.float32(0.6461197), 'Fall forward': np.float32(0.650252), 'Fall left': np.float32(0.64598763), 'Fall right': np.float32(0.64431614), 'Fall sitting': np.float32(0.63970214), 'Hop': np.float32(0.66281927), 'Kneel': np.float32(0.65164644), 'Pick up object': np.float32(0.650783), 'Sit down': np.float32(0.6430636), 'Walk': np.float32(0.6565852)}
t=80 | pred=Hop | scores={'Fall backwards': np.float32(0.64670414), 'Fall forward': np.float32(0.65049154), 'Fall left': np.float32(0.64659256), 'Fall right': np.float32(0.6449941), 'Fall sitting': np.float32(0.64043343), 'Hop': np.float32(0.66329074), 'Kneel': np.float32(0.6521475), 'Pick up object': np.float32(0.6513551), 'Sit down': np.float32(0.64372164), 'Walk': np.float32(0.65700287)}
t=85 | pred=Hop | scores={'Fall backwards': np.float32(0.647201), 'Fall forward': np.float32(0.65071183), 'Fall left': np.float32(0.64716184), 'Fall right': np.float32(0.64564663), 'Fall sitting': np.float32(0.64128304), 'Hop': np.float32(0.663769), 'Kneel': np.float32(0.6526359), 'Pick up object': np.float32(0.65201163), 'Sit down': np.float32(0.6444229), 'Walk': np.float32(0.6574031)}
t=90 | pred=Hop | scores={'Fall backwards': np.float32(0.6481388), 'Fall forward': np.float32(0.651459), 'Fall left': np.float32(0.64796484), 'Fall right': np.float32(0.6464787), 'Fall sitting': np.float32(0.64242923), 'Hop': np.float32(0.6640805), 'Kneel': np.float32(0.65339506), 'Pick up object': np.float32(0.6525995), 'Sit down': np.float32(0.64517766), 'Walk': np.float32(0.657677)}
t=95 | pred=Hop | scores={'Fall backwards': np.float32(0.64841443), 'Fall forward': np.float32(0.65142494), 'Fall left': np.float32(0.64814794), 'Fall right': np.float32(0.64675426), 'Fall sitting': np.float32(0.6427301), 'Hop': np.float32(0.6641544), 'Kneel': np.float32(0.653482), 'Pick up object': np.float32(0.6528177), 'Sit down': np.float32(0.64537114), 'Walk': np.float32(0.6576216)}
t=100 | pred=Hop | scores={'Fall backwards': np.float32(0.64864695), 'Fall forward': np.float32(0.6512898), 'Fall left': np.float32(0.6483418), 'Fall right': np.float32(0.6470335), 'Fall sitting': np.float32(0.6431508), 'Hop': np.float32(0.6640152), 'Kneel': np.float32(0.65348905), 'Pick up object': np.float32(0.6529965), 'Sit down': np.float32(0.6456087), 'Walk': np.float32(0.6573375)}
t=105 | pred=Hop | scores={'Fall backwards': np.float32(0.64886063), 'Fall forward': np.float32(0.6513281), 'Fall left': np.float32(0.6484255), 'Fall right': np.float32(0.64715034), 'Fall sitting': np.float32(0.6434541), 'Hop': np.float32(0.66372263), 'Kneel': np.float32(0.65350163), 'Pick up object': np.float32(0.6529771), 'Sit down': np.float32(0.6456357), 'Walk': np.float32(0.65705407)}
