Ground Truth: Pick up object

t=15 | pred=Fall forward | scores={'Fall backwards': np.float32(0.66214055), 'Fall forward': np.float32(0.66488785), 'Fall left': np.float32(0.664199), 'Fall right': np.float32(0.6601234), 'Fall sitting': np.float32(0.6479289), 'Hop': np.float32(0.6599719), 'Kneel': np.float32(0.6594623), 'Pick up object': np.float32(0.6629376), 'Sit down': np.float32(0.65513116), 'Walk': np.float32(0.6629789)}
t=20 | pred=Fall forward | scores={'Fall backwards': np.float32(0.66184354), 'Fall forward': np.float32(0.6643513), 'Fall left': np.float32(0.6637683), 'Fall right': np.float32(0.6594053), 'Fall sitting': np.float32(0.6486112), 'Hop': np.float32(0.66017073), 'Kneel': np.float32(0.6593042), 'Pick up object': np.float32(0.66345704), 'Sit down': np.float32(0.6549905), 'Walk': np.float32(0.6630379)}
t=25 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6619401), 'Fall forward': np.float32(0.66404366), 'Fall left': np.float32(0.6639808), 'Fall right': np.float32(0.6593989), 'Fall sitting': np.float32(0.6492791), 'Hop': np.float32(0.6613257), 'Kneel': np.float32(0.6595674), 'Pick up object': np.float32(0.66448396), 'Sit down': np.float32(0.6557951), 'Walk': np.float32(0.6637473)}
t=30 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6615176), 'Fall forward': np.float32(0.6630878), 'Fall left': np.float32(0.6638311), 'Fall right': np.float32(0.6590073), 'Fall sitting': np.float32(0.6492491), 'Hop': np.float32(0.6620711), 'Kneel': np.float32(0.6592301), 'Pick up object': np.float32(0.665066), 'Sit down': np.float32(0.65597284), 'Walk': np.float32(0.6640272)}
t=35 | pred=Pick up object | scores={'Fall backwards': np.float32(0.66094196), 'Fall forward': np.float32(0.661977), 'Fall left': np.float32(0.6632742), 'Fall right': np.float32(0.65847474), 'Fall sitting': np.float32(0.6490311), 'Hop': np.float32(0.662438), 'Kneel': np.float32(0.6586624), 'Pick up object': np.float32(0.6651982), 'Sit down': np.float32(0.6557375), 'Walk': np.float32(0.66401345)}
t=40 | pred=Pick up object | scores={'Fall backwards': np.float32(0.66021556), 'Fall forward': np.float32(0.66119176), 'Fall left': np.float32(0.6624513), 'Fall right': np.float32(0.65764666), 'Fall sitting': np.float32(0.6494012), 'Hop': np.float32(0.6618081), 'Kneel': np.float32(0.65793693), 'Pick up object': np.float32(0.6646806), 'Sit down': np.float32(0.6550753), 'Walk': np.float32(0.6633742)}
t=45 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6607941), 'Fall forward': np.float32(0.6619275), 'Fall left': np.float32(0.6628208), 'Fall right': np.float32(0.6581298), 'Fall sitting': np.float32(0.6503398), 'Hop': np.float32(0.6611578), 'Kneel': np.float32(0.65827805), 'Pick up object': np.float32(0.66442794), 'Sit down': np.float32(0.65516466), 'Walk': np.float32(0.663022)}
t=50 | pred=Pick up object | scores={'Fall backwards': np.float32(0.66120285), 'Fall forward': np.float32(0.6624977), 'Fall left': np.float32(0.6632981), 'Fall right': np.float32(0.6585272), 'Fall sitting': np.float32(0.6515513), 'Hop': np.float32(0.6603563), 'Kneel': np.float32(0.6586886), 'Pick up object': np.float32(0.66413754), 'Sit down': np.float32(0.65560687), 'Walk': np.float32(0.6623029)}
t=55 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6611434), 'Fall forward': np.float32(0.6624629), 'Fall left': np.float32(0.66328144), 'Fall right': np.float32(0.6584998), 'Fall sitting': np.float32(0.65208316), 'Hop': np.float32(0.65926856), 'Kneel': np.float32(0.6585544), 'Pick up object': np.float32(0.6635969), 'Sit down': np.float32(0.65535367), 'Walk': np.float32(0.66119176)}
t=60 | pred=Pick up object | scores={'Fall backwards': np.float32(0.66154885), 'Fall forward': np.float32(0.66273594), 'Fall left': np.float32(0.6636353), 'Fall right': np.float32(0.6589028), 'Fall sitting': np.float32(0.6532703), 'Hop': np.float32(0.6588248), 'Kneel': np.float32(0.6588491), 'Pick up object': np.float32(0.66387373), 'Sit down': np.float32(0.65565), 'Walk': np.float32(0.6607121)}
t=65 | pred=Pick up object | scores={'Fall backwards': np.float32(0.66168684), 'Fall forward': np.float32(0.6627762), 'Fall left': np.float32(0.6637158), 'Fall right': np.float32(0.65903395), 'Fall sitting': np.float32(0.6540395), 'Hop': np.float32(0.6582743), 'Kneel': np.float32(0.658885), 'Pick up object': np.float32(0.6639186), 'Sit down': np.float32(0.6555943), 'Walk': np.float32(0.66018397)}
t=70 | pred=Pick up object | scores={'Fall backwards': np.float32(0.66158664), 'Fall forward': np.float32(0.6623669), 'Fall left': np.float32(0.6636808), 'Fall right': np.float32(0.65896136), 'Fall sitting': np.float32(0.654257), 'Hop': np.float32(0.65754485), 'Kneel': np.float32(0.65884566), 'Pick up object': np.float32(0.66385037), 'Sit down': np.float32(0.655735), 'Walk': np.float32(0.65950745)}
t=75 | pred=Pick up object | scores={'Fall backwards': np.float32(0.66169137), 'Fall forward': np.float32(0.6622038), 'Fall left': np.float32(0.6637549), 'Fall right': np.float32(0.65908694), 'Fall sitting': np.float32(0.65450376), 'Hop': np.float32(0.6573165), 'Kneel': np.float32(0.659052), 'Pick up object': np.float32(0.66408426), 'Sit down': np.float32(0.6562406), 'Walk': np.float32(0.6593522)}
t=80 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6619517), 'Fall forward': np.float32(0.6621293), 'Fall left': np.float32(0.66392714), 'Fall right': np.float32(0.6592393), 'Fall sitting': np.float32(0.6546524), 'Hop': np.float32(0.6574244), 'Kneel': np.float32(0.6593043), 'Pick up object': np.float32(0.6646236), 'Sit down': np.float32(0.6565538), 'Walk': np.float32(0.65956616)}
t=85 | pred=Pick up object | scores={'Fall backwards': np.float32(0.66225), 'Fall forward': np.float32(0.66215163), 'Fall left': np.float32(0.6641746), 'Fall right': np.float32(0.65941167), 'Fall sitting': np.float32(0.65497047), 'Hop': np.float32(0.6581618), 'Kneel': np.float32(0.659612), 'Pick up object': np.float32(0.665531), 'Sit down': np.float32(0.6569986), 'Walk': np.float32(0.66025144)}
t=90 | pred=Pick up object | scores={'Fall backwards': np.float32(0.66227996), 'Fall forward': np.float32(0.6618752), 'Fall left': np.float32(0.66425776), 'Fall right': np.float32(0.6593737), 'Fall sitting': np.float32(0.6552685), 'Hop': np.float32(0.6589626), 'Kneel': np.float32(0.65981966), 'Pick up object': np.float32(0.6665078), 'Sit down': np.float32(0.65741855), 'Walk': np.float32(0.6608731)}
t=95 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6617002), 'Fall forward': np.float32(0.660947), 'Fall left': np.float32(0.6637247), 'Fall right': np.float32(0.65875363), 'Fall sitting': np.float32(0.65485615), 'Hop': np.float32(0.6590319), 'Kneel': np.float32(0.65934885), 'Pick up object': np.float32(0.66673815), 'Sit down': np.float32(0.65719897), 'Walk': np.float32(0.6607946)}
t=100 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6610297), 'Fall forward': np.float32(0.65986955), 'Fall left': np.float32(0.66304195), 'Fall right': np.float32(0.658055), 'Fall sitting': np.float32(0.6543604), 'Hop': np.float32(0.65876096), 'Kneel': np.float32(0.6587965), 'Pick up object': np.float32(0.6666737), 'Sit down': np.float32(0.6567229), 'Walk': np.float32(0.6604028)}
t=105 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6604567), 'Fall forward': np.float32(0.65903854), 'Fall left': np.float32(0.66247374), 'Fall right': np.float32(0.65748465), 'Fall sitting': np.float32(0.6538545), 'Hop': np.float32(0.65857303), 'Kneel': np.float32(0.65827924), 'Pick up object': np.float32(0.66645193), 'Sit down': np.float32(0.65631723), 'Walk': np.float32(0.66011053)}
t=110 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6597746), 'Fall forward': np.float32(0.6580903), 'Fall left': np.float32(0.66180664), 'Fall right': np.float32(0.6568048), 'Fall sitting': np.float32(0.6532958), 'Hop': np.float32(0.65835595), 'Kneel': np.float32(0.6576607), 'Pick up object': np.float32(0.6661236), 'Sit down': np.float32(0.65587604), 'Walk': np.float32(0.6597736)}
t=115 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6594022), 'Fall forward': np.float32(0.6575401), 'Fall left': np.float32(0.6614204), 'Fall right': np.float32(0.6564516), 'Fall sitting': np.float32(0.6529923), 'Hop': np.float32(0.65844053), 'Kneel': np.float32(0.65730315), 'Pick up object': np.float32(0.6659115), 'Sit down': np.float32(0.65571785), 'Walk': np.float32(0.65975314)}
