Ground Truth: Fall right

t=15 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6573114), 'Fall forward': np.float32(0.65267336), 'Fall left': np.float32(0.65619874), 'Fall right': np.float32(0.65598357), 'Fall sitting': np.float32(0.6441572), 'Hop': np.float32(0.65011656), 'Kneel': np.float32(0.65633935), 'Pick up object': np.float32(0.65310246), 'Sit down': np.float32(0.65087813), 'Walk': np.float32(0.65640354)}
t=20 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6593884), 'Fall forward': np.float32(0.65455866), 'Fall left': np.float32(0.65824187), 'Fall right': np.float32(0.658113), 'Fall sitting': np.float32(0.6463946), 'Hop': np.float32(0.6531134), 'Kneel': np.float32(0.6581536), 'Pick up object': np.float32(0.65562415), 'Sit down': np.float32(0.65287757), 'Walk': np.float32(0.6589858)}
t=25 | pred=Walk | scores={'Fall backwards': np.float32(0.66126823), 'Fall forward': np.float32(0.65670884), 'Fall left': np.float32(0.66040355), 'Fall right': np.float32(0.6597322), 'Fall sitting': np.float32(0.6488949), 'Hop': np.float32(0.6563382), 'Kneel': np.float32(0.66016006), 'Pick up object': np.float32(0.658346), 'Sit down': np.float32(0.6551531), 'Walk': np.float32(0.6618996)}
t=30 | pred=Walk | scores={'Fall backwards': np.float32(0.6642113), 'Fall forward': np.float32(0.6594644), 'Fall left': np.float32(0.66333926), 'Fall right': np.float32(0.6623695), 'Fall sitting': np.float32(0.6518283), 'Hop': np.float32(0.6593676), 'Kneel': np.float32(0.66251975), 'Pick up object': np.float32(0.66069466), 'Sit down': np.float32(0.65734875), 'Walk': np.float32(0.66450274)}
t=35 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6670069), 'Fall forward': np.float32(0.66169494), 'Fall left': np.float32(0.6658692), 'Fall right': np.float32(0.6647662), 'Fall sitting': np.float32(0.6540375), 'Hop': np.float32(0.66009355), 'Kneel': np.float32(0.6640374), 'Pick up object': np.float32(0.6615278), 'Sit down': np.float32(0.65815866), 'Walk': np.float32(0.6649613)}
t=40 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.66975814), 'Fall forward': np.float32(0.6635526), 'Fall left': np.float32(0.66823936), 'Fall right': np.float32(0.6671441), 'Fall sitting': np.float32(0.65595824), 'Hop': np.float32(0.66046935), 'Kneel': np.float32(0.665118), 'Pick up object': np.float32(0.6621031), 'Sit down': np.float32(0.6588115), 'Walk': np.float32(0.66491145)}
t=45 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67115927), 'Fall forward': np.float32(0.664399), 'Fall left': np.float32(0.6694339), 'Fall right': np.float32(0.66835), 'Fall sitting': np.float32(0.6569445), 'Hop': np.float32(0.6604649), 'Kneel': np.float32(0.6656237), 'Pick up object': np.float32(0.6624046), 'Sit down': np.float32(0.6589174), 'Walk': np.float32(0.66456854)}
t=50 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6728042), 'Fall forward': np.float32(0.6655796), 'Fall left': np.float32(0.67072004), 'Fall right': np.float32(0.66981685), 'Fall sitting': np.float32(0.6575942), 'Hop': np.float32(0.6605156), 'Kneel': np.float32(0.66637266), 'Pick up object': np.float32(0.6628408), 'Sit down': np.float32(0.6588996), 'Walk': np.float32(0.66438633)}
t=55 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6737897), 'Fall forward': np.float32(0.66626763), 'Fall left': np.float32(0.6716423), 'Fall right': np.float32(0.6708044), 'Fall sitting': np.float32(0.65805995), 'Hop': np.float32(0.6606424), 'Kneel': np.float32(0.66696817), 'Pick up object': np.float32(0.6634064), 'Sit down': np.float32(0.6592081), 'Walk': np.float32(0.66438127)}
t=60 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6744823), 'Fall forward': np.float32(0.66681856), 'Fall left': np.float32(0.6726207), 'Fall right': np.float32(0.6717118), 'Fall sitting': np.float32(0.65887517), 'Hop': np.float32(0.66073775), 'Kneel': np.float32(0.6676159), 'Pick up object': np.float32(0.6640871), 'Sit down': np.float32(0.65963984), 'Walk': np.float32(0.664226)}
t=65 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6748183), 'Fall forward': np.float32(0.66717666), 'Fall left': np.float32(0.6733032), 'Fall right': np.float32(0.67220944), 'Fall sitting': np.float32(0.6596697), 'Hop': np.float32(0.66089773), 'Kneel': np.float32(0.6680725), 'Pick up object': np.float32(0.6645843), 'Sit down': np.float32(0.66018945), 'Walk': np.float32(0.66427314)}
t=70 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67500305), 'Fall forward': np.float32(0.66764146), 'Fall left': np.float32(0.67396456), 'Fall right': np.float32(0.67265904), 'Fall sitting': np.float32(0.6604761), 'Hop': np.float32(0.6610162), 'Kneel': np.float32(0.6685832), 'Pick up object': np.float32(0.6650831), 'Sit down': np.float32(0.6606316), 'Walk': np.float32(0.66429925)}
t=75 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67497146), 'Fall forward': np.float32(0.6679839), 'Fall left': np.float32(0.67430913), 'Fall right': np.float32(0.67292833), 'Fall sitting': np.float32(0.6609927), 'Hop': np.float32(0.6611709), 'Kneel': np.float32(0.6689717), 'Pick up object': np.float32(0.66540515), 'Sit down': np.float32(0.6609896), 'Walk': np.float32(0.6643685)}
t=80 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6749591), 'Fall forward': np.float32(0.6683735), 'Fall left': np.float32(0.67468524), 'Fall right': np.float32(0.67331105), 'Fall sitting': np.float32(0.6615113), 'Hop': np.float32(0.6613067), 'Kneel': np.float32(0.6693958), 'Pick up object': np.float32(0.6657724), 'Sit down': np.float32(0.66133845), 'Walk': np.float32(0.6643998)}
t=85 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6748165), 'Fall forward': np.float32(0.66853297), 'Fall left': np.float32(0.6748142), 'Fall right': np.float32(0.67340595), 'Fall sitting': np.float32(0.66174686), 'Hop': np.float32(0.6613351), 'Kneel': np.float32(0.6695678), 'Pick up object': np.float32(0.6659416), 'Sit down': np.float32(0.6614756), 'Walk': np.float32(0.6643342)}
t=90 | pred=Fall left | scores={'Fall backwards': np.float32(0.67448586), 'Fall forward': np.float32(0.6685459), 'Fall left': np.float32(0.67480206), 'Fall right': np.float32(0.6733497), 'Fall sitting': np.float32(0.66185284), 'Hop': np.float32(0.66121763), 'Kneel': np.float32(0.66956544), 'Pick up object': np.float32(0.6659599), 'Sit down': np.float32(0.66150254), 'Walk': np.float32(0.6641884)}
t=95 | pred=Fall left | scores={'Fall backwards': np.float32(0.6741869), 'Fall forward': np.float32(0.66850376), 'Fall left': np.float32(0.6747187), 'Fall right': np.float32(0.6732011), 'Fall sitting': np.float32(0.66187894), 'Hop': np.float32(0.66110677), 'Kneel': np.float32(0.66950756), 'Pick up object': np.float32(0.6659665), 'Sit down': np.float32(0.6614315), 'Walk': np.float32(0.6640444)}
t=100 | pred=Fall left | scores={'Fall backwards': np.float32(0.6740158), 'Fall forward': np.float32(0.66864896), 'Fall left': np.float32(0.6748095), 'Fall right': np.float32(0.6732271), 'Fall sitting': np.float32(0.6619836), 'Hop': np.float32(0.6610003), 'Kneel': np.float32(0.6696165), 'Pick up object': np.float32(0.66599095), 'Sit down': np.float32(0.66145504), 'Walk': np.float32(0.6638828)}
t=105 | pred=Fall left | scores={'Fall backwards': np.float32(0.67400426), 'Fall forward': np.float32(0.6686841), 'Fall left': np.float32(0.6748461), 'Fall right': np.float32(0.67328084), 'Fall sitting': np.float32(0.66200304), 'Hop': np.float32(0.66083294), 'Kneel': np.float32(0.66964734), 'Pick up object': np.float32(0.6658937), 'Sit down': np.float32(0.6614181), 'Walk': np.float32(0.6637008)}
t=110 | pred=Fall left | scores={'Fall backwards': np.float32(0.6741854), 'Fall forward': np.float32(0.66880953), 'Fall left': np.float32(0.6750123), 'Fall right': np.float32(0.6735512), 'Fall sitting': np.float32(0.66216457), 'Hop': np.float32(0.66075283), 'Kneel': np.float32(0.6697869), 'Pick up object': np.float32(0.6658993), 'Sit down': np.float32(0.6614726), 'Walk': np.float32(0.6635939)}
t=115 | pred=Fall left | scores={'Fall backwards': np.float32(0.6744506), 'Fall forward': np.float32(0.6690473), 'Fall left': np.float32(0.6752056), 'Fall right': np.float32(0.6738628), 'Fall sitting': np.float32(0.66236764), 'Hop': np.float32(0.6608419), 'Kneel': np.float32(0.6700252), 'Pick up object': np.float32(0.66599226), 'Sit down': np.float32(0.6615919), 'Walk': np.float32(0.66366595)}
t=120 | pred=Fall left | scores={'Fall backwards': np.float32(0.67464083), 'Fall forward': np.float32(0.6692451), 'Fall left': np.float32(0.67533106), 'Fall right': np.float32(0.67409253), 'Fall sitting': np.float32(0.66257876), 'Hop': np.float32(0.66085607), 'Kneel': np.float32(0.67023706), 'Pick up object': np.float32(0.6660272), 'Sit down': np.float32(0.6616834), 'Walk': np.float32(0.6636572)}
t=125 | pred=Fall left | scores={'Fall backwards': np.float32(0.6746611), 'Fall forward': np.float32(0.6692274), 'Fall left': np.float32(0.67528254), 'Fall right': np.float32(0.67413557), 'Fall sitting': np.float32(0.6625625), 'Hop': np.float32(0.6607726), 'Kneel': np.float32(0.67020375), 'Pick up object': np.float32(0.66592133), 'Sit down': np.float32(0.661586), 'Walk': np.float32(0.6635742)}
t=130 | pred=Fall left | scores={'Fall backwards': np.float32(0.6745848), 'Fall forward': np.float32(0.66914386), 'Fall left': np.float32(0.6751291), 'Fall right': np.float32(0.6741017), 'Fall sitting': np.float32(0.66246015), 'Hop': np.float32(0.66064537), 'Kneel': np.float32(0.6701128), 'Pick up object': np.float32(0.6657362), 'Sit down': np.float32(0.6614561), 'Walk': np.float32(0.663455)}
t=135 | pred=Fall left | scores={'Fall backwards': np.float32(0.6745522), 'Fall forward': np.float32(0.6690922), 'Fall left': np.float32(0.67501795), 'Fall right': np.float32(0.67407405), 'Fall sitting': np.float32(0.6623285), 'Hop': np.float32(0.6605597), 'Kneel': np.float32(0.6700367), 'Pick up object': np.float32(0.66560346), 'Sit down': np.float32(0.66129476), 'Walk': np.float32(0.663377)}
t=140 | pred=Fall left | scores={'Fall backwards': np.float32(0.674504), 'Fall forward': np.float32(0.6690723), 'Fall left': np.float32(0.6749266), 'Fall right': np.float32(0.6740382), 'Fall sitting': np.float32(0.66221064), 'Hop': np.float32(0.66047525), 'Kneel': np.float32(0.66996545), 'Pick up object': np.float32(0.66547364), 'Sit down': np.float32(0.6611272), 'Walk': np.float32(0.66331476)}
t=145 | pred=Fall left | scores={'Fall backwards': np.float32(0.6744658), 'Fall forward': np.float32(0.66903794), 'Fall left': np.float32(0.6748542), 'Fall right': np.float32(0.6739952), 'Fall sitting': np.float32(0.66209376), 'Hop': np.float32(0.66039586), 'Kneel': np.float32(0.66989857), 'Pick up object': np.float32(0.6653648), 'Sit down': np.float32(0.6609769), 'Walk': np.float32(0.66326916)}
