Ground Truth: Fall backwards

t=15 | pred=Fall left | scores={'Fall backwards': np.float32(0.6624294), 'Fall forward': np.float32(0.6561521), 'Fall left': np.float32(0.6633936), 'Fall right': np.float32(0.6613809), 'Fall sitting': np.float32(0.6470649), 'Hop': np.float32(0.6553778), 'Kneel': np.float32(0.6586683), 'Pick up object': np.float32(0.65641165), 'Sit down': np.float32(0.653315), 'Walk': np.float32(0.66052735)}
t=20 | pred=Fall left | scores={'Fall backwards': np.float32(0.66321534), 'Fall forward': np.float32(0.65707606), 'Fall left': np.float32(0.664393), 'Fall right': np.float32(0.66250545), 'Fall sitting': np.float32(0.6486859), 'Hop': np.float32(0.6565391), 'Kneel': np.float32(0.6601056), 'Pick up object': np.float32(0.6579344), 'Sit down': np.float32(0.6552068), 'Walk': np.float32(0.6613701)}
t=25 | pred=Fall left | scores={'Fall backwards': np.float32(0.6634794), 'Fall forward': np.float32(0.65794384), 'Fall left': np.float32(0.66479754), 'Fall right': np.float32(0.66284466), 'Fall sitting': np.float32(0.6497998), 'Hop': np.float32(0.65790784), 'Kneel': np.float32(0.6609108), 'Pick up object': np.float32(0.6591145), 'Sit down': np.float32(0.65614545), 'Walk': np.float32(0.66241926)}
t=30 | pred=Fall left | scores={'Fall backwards': np.float32(0.6628738), 'Fall forward': np.float32(0.6578603), 'Fall left': np.float32(0.66421443), 'Fall right': np.float32(0.66237146), 'Fall sitting': np.float32(0.64981025), 'Hop': np.float32(0.6586967), 'Kneel': np.float32(0.660742), 'Pick up object': np.float32(0.6593764), 'Sit down': np.float32(0.6561223), 'Walk': np.float32(0.6628266)}
t=35 | pred=Fall left | scores={'Fall backwards': np.float32(0.6625674), 'Fall forward': np.float32(0.657553), 'Fall left': np.float32(0.66364676), 'Fall right': np.float32(0.6618949), 'Fall sitting': np.float32(0.6493319), 'Hop': np.float32(0.65883994), 'Kneel': np.float32(0.66016614), 'Pick up object': np.float32(0.65910625), 'Sit down': np.float32(0.6555727), 'Walk': np.float32(0.6627955)}
t=40 | pred=Fall left | scores={'Fall backwards': np.float32(0.6629778), 'Fall forward': np.float32(0.6578339), 'Fall left': np.float32(0.6636859), 'Fall right': np.float32(0.66200686), 'Fall sitting': np.float32(0.649512), 'Hop': np.float32(0.659101), 'Kneel': np.float32(0.6601396), 'Pick up object': np.float32(0.6592534), 'Sit down': np.float32(0.65540177), 'Walk': np.float32(0.6630104)}
t=45 | pred=Fall left | scores={'Fall backwards': np.float32(0.66320264), 'Fall forward': np.float32(0.658188), 'Fall left': np.float32(0.6637738), 'Fall right': np.float32(0.66211677), 'Fall sitting': np.float32(0.64965427), 'Hop': np.float32(0.6592042), 'Kneel': np.float32(0.6601898), 'Pick up object': np.float32(0.65937984), 'Sit down': np.float32(0.6553075), 'Walk': np.float32(0.6631355)}
t=50 | pred=Fall left | scores={'Fall backwards': np.float32(0.66341734), 'Fall forward': np.float32(0.658444), 'Fall left': np.float32(0.6638914), 'Fall right': np.float32(0.6621931), 'Fall sitting': np.float32(0.6498618), 'Hop': np.float32(0.6594444), 'Kneel': np.float32(0.6601612), 'Pick up object': np.float32(0.65962875), 'Sit down': np.float32(0.6552847), 'Walk': np.float32(0.6632882)}
t=55 | pred=Fall left | scores={'Fall backwards': np.float32(0.66471994), 'Fall forward': np.float32(0.65994006), 'Fall left': np.float32(0.6652292), 'Fall right': np.float32(0.66345716), 'Fall sitting': np.float32(0.6513466), 'Hop': np.float32(0.66073835), 'Kneel': np.float32(0.661501), 'Pick up object': np.float32(0.6609788), 'Sit down': np.float32(0.65663105), 'Walk': np.float32(0.66450775)}
t=60 | pred=Fall left | scores={'Fall backwards': np.float32(0.66621983), 'Fall forward': np.float32(0.66174644), 'Fall left': np.float32(0.66680586), 'Fall right': np.float32(0.6649709), 'Fall sitting': np.float32(0.65330666), 'Hop': np.float32(0.6616935), 'Kneel': np.float32(0.6631512), 'Pick up object': np.float32(0.6620947), 'Sit down': np.float32(0.65817654), 'Walk': np.float32(0.6654299)}
t=65 | pred=Fall left | scores={'Fall backwards': np.float32(0.66746294), 'Fall forward': np.float32(0.6635156), 'Fall left': np.float32(0.6681745), 'Fall right': np.float32(0.666011), 'Fall sitting': np.float32(0.6549001), 'Hop': np.float32(0.66232497), 'Kneel': np.float32(0.6644946), 'Pick up object': np.float32(0.6627632), 'Sit down': np.float32(0.65896636), 'Walk': np.float32(0.6660016)}
