Ground Truth: Fall forward

t=15 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6590482), 'Fall forward': np.float32(0.66423357), 'Fall left': np.float32(0.6627616), 'Fall right': np.float32(0.6596871), 'Fall sitting': np.float32(0.64539933), 'Hop': np.float32(0.6618332), 'Kneel': np.float32(0.66106427), 'Pick up object': np.float32(0.6591332), 'Sit down': np.float32(0.65154475), 'Walk': np.float32(0.6632127)}
t=20 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6589468), 'Fall forward': np.float32(0.66405207), 'Fall left': np.float32(0.6627056), 'Fall right': np.float32(0.6596541), 'Fall sitting': np.float32(0.64452326), 'Hop': np.float32(0.6614377), 'Kneel': np.float32(0.66089255), 'Pick up object': np.float32(0.658706), 'Sit down': np.float32(0.6517372), 'Walk': np.float32(0.6629373)}
t=25 | pred=Fall forward | scores={'Fall backwards': np.float32(0.65881515), 'Fall forward': np.float32(0.66391957), 'Fall left': np.float32(0.66263396), 'Fall right': np.float32(0.6595531), 'Fall sitting': np.float32(0.64411235), 'Hop': np.float32(0.66124576), 'Kneel': np.float32(0.6607485), 'Pick up object': np.float32(0.658544), 'Sit down': np.float32(0.6517878), 'Walk': np.float32(0.6628733)}
t=30 | pred=Fall forward | scores={'Fall backwards': np.float32(0.658877), 'Fall forward': np.float32(0.6640362), 'Fall left': np.float32(0.6627851), 'Fall right': np.float32(0.65965486), 'Fall sitting': np.float32(0.64394194), 'Hop': np.float32(0.66131145), 'Kneel': np.float32(0.66087), 'Pick up object': np.float32(0.6586462), 'Sit down': np.float32(0.651962), 'Walk': np.float32(0.66304046)}
t=35 | pred=Fall forward | scores={'Fall backwards': np.float32(0.65889865), 'Fall forward': np.float32(0.66412085), 'Fall left': np.float32(0.6628632), 'Fall right': np.float32(0.65972644), 'Fall sitting': np.float32(0.64387137), 'Hop': np.float32(0.6614062), 'Kneel': np.float32(0.6609603), 'Pick up object': np.float32(0.65869707), 'Sit down': np.float32(0.6520422), 'Walk': np.float32(0.6631444)}
t=40 | pred=Fall forward | scores={'Fall backwards': np.float32(0.65875876), 'Fall forward': np.float32(0.66391504), 'Fall left': np.float32(0.66274613), 'Fall right': np.float32(0.6595942), 'Fall sitting': np.float32(0.6436143), 'Hop': np.float32(0.66114163), 'Kneel': np.float32(0.66076154), 'Pick up object': np.float32(0.6584413), 'Sit down': np.float32(0.6518976), 'Walk': np.float32(0.6628964)}
t=45 | pred=Fall forward | scores={'Fall backwards': np.float32(0.65870184), 'Fall forward': np.float32(0.66371185), 'Fall left': np.float32(0.6626753), 'Fall right': np.float32(0.65953636), 'Fall sitting': np.float32(0.64357185), 'Hop': np.float32(0.66093194), 'Kneel': np.float32(0.6605809), 'Pick up object': np.float32(0.6582985), 'Sit down': np.float32(0.65182763), 'Walk': np.float32(0.6626425)}
t=50 | pred=Fall forward | scores={'Fall backwards': np.float32(0.65869194), 'Fall forward': np.float32(0.6636309), 'Fall left': np.float32(0.66265684), 'Fall right': np.float32(0.65951836), 'Fall sitting': np.float32(0.64371115), 'Hop': np.float32(0.66091686), 'Kneel': np.float32(0.66049874), 'Pick up object': np.float32(0.6583231), 'Sit down': np.float32(0.65169865), 'Walk': np.float32(0.6625583)}
t=55 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6588733), 'Fall forward': np.float32(0.6638284), 'Fall left': np.float32(0.6628757), 'Fall right': np.float32(0.6597253), 'Fall sitting': np.float32(0.64404154), 'Hop': np.float32(0.66110414), 'Kneel': np.float32(0.6607305), 'Pick up object': np.float32(0.6586009), 'Sit down': np.float32(0.6517791), 'Walk': np.float32(0.66272295)}
t=60 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6589584), 'Fall forward': np.float32(0.66398656), 'Fall left': np.float32(0.66305435), 'Fall right': np.float32(0.65985423), 'Fall sitting': np.float32(0.6443648), 'Hop': np.float32(0.6612728), 'Kneel': np.float32(0.6608723), 'Pick up object': np.float32(0.65882576), 'Sit down': np.float32(0.65179527), 'Walk': np.float32(0.66283983)}
t=65 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6588219), 'Fall forward': np.float32(0.6640366), 'Fall left': np.float32(0.66294473), 'Fall right': np.float32(0.6597026), 'Fall sitting': np.float32(0.6444811), 'Hop': np.float32(0.6611369), 'Kneel': np.float32(0.660824), 'Pick up object': np.float32(0.6587858), 'Sit down': np.float32(0.6515344), 'Walk': np.float32(0.6626748)}
t=70 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6592382), 'Fall forward': np.float32(0.66455895), 'Fall left': np.float32(0.6633463), 'Fall right': np.float32(0.6600621), 'Fall sitting': np.float32(0.64521897), 'Hop': np.float32(0.6615294), 'Kneel': np.float32(0.66124254), 'Pick up object': np.float32(0.65941155), 'Sit down': np.float32(0.6518253), 'Walk': np.float32(0.66311306)}
t=75 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6599502), 'Fall forward': np.float32(0.6652725), 'Fall left': np.float32(0.6640419), 'Fall right': np.float32(0.6606996), 'Fall sitting': np.float32(0.6461989), 'Hop': np.float32(0.6618909), 'Kneel': np.float32(0.6618728), 'Pick up object': np.float32(0.6601175), 'Sit down': np.float32(0.65244377), 'Walk': np.float32(0.6635881)}
