Ground Truth: Fall right

t=15 | pred=Fall left | scores={'Fall backwards': np.float32(0.6523016), 'Fall forward': np.float32(0.6448509), 'Fall left': np.float32(0.65411884), 'Fall right': np.float32(0.6507205), 'Fall sitting': np.float32(0.64171875), 'Hop': np.float32(0.64625186), 'Kneel': np.float32(0.64928514), 'Pick up object': np.float32(0.6480229), 'Sit down': np.float32(0.64537054), 'Walk': np.float32(0.64974326)}
t=20 | pred=Fall left | scores={'Fall backwards': np.float32(0.65287435), 'Fall forward': np.float32(0.6451928), 'Fall left': np.float32(0.6550618), 'Fall right': np.float32(0.6517859), 'Fall sitting': np.float32(0.6419234), 'Hop': np.float32(0.6463908), 'Kneel': np.float32(0.650116), 'Pick up object': np.float32(0.6484655), 'Sit down': np.float32(0.6464969), 'Walk': np.float32(0.64987004)}
t=25 | pred=Fall left | scores={'Fall backwards': np.float32(0.6540837), 'Fall forward': np.float32(0.6470004), 'Fall left': np.float32(0.6565755), 'Fall right': np.float32(0.6535707), 'Fall sitting': np.float32(0.64358157), 'Hop': np.float32(0.6484369), 'Kneel': np.float32(0.65196234), 'Pick up object': np.float32(0.6501644), 'Sit down': np.float32(0.6483257), 'Walk': np.float32(0.6518468)}
t=30 | pred=Fall left | scores={'Fall backwards': np.float32(0.65483683), 'Fall forward': np.float32(0.6486336), 'Fall left': np.float32(0.6574484), 'Fall right': np.float32(0.6545829), 'Fall sitting': np.float32(0.6447323), 'Hop': np.float32(0.64994156), 'Kneel': np.float32(0.65321136), 'Pick up object': np.float32(0.6515527), 'Sit down': np.float32(0.649654), 'Walk': np.float32(0.6533427)}
t=35 | pred=Fall left | scores={'Fall backwards': np.float32(0.6554312), 'Fall forward': np.float32(0.6495908), 'Fall left': np.float32(0.6578975), 'Fall right': np.float32(0.6552358), 'Fall sitting': np.float32(0.6453699), 'Hop': np.float32(0.65086424), 'Kneel': np.float32(0.6537542), 'Pick up object': np.float32(0.6521692), 'Sit down': np.float32(0.65011317), 'Walk': np.float32(0.6543481)}
t=40 | pred=Fall left | scores={'Fall backwards': np.float32(0.656641), 'Fall forward': np.float32(0.65107954), 'Fall left': np.float32(0.6590206), 'Fall right': np.float32(0.6563842), 'Fall sitting': np.float32(0.64665455), 'Hop': np.float32(0.6521891), 'Kneel': np.float32(0.654946), 'Pick up object': np.float32(0.6533216), 'Sit down': np.float32(0.65131295), 'Walk': np.float32(0.6558537)}
t=45 | pred=Fall left | scores={'Fall backwards': np.float32(0.6586469), 'Fall forward': np.float32(0.65326935), 'Fall left': np.float32(0.66093224), 'Fall right': np.float32(0.65823233), 'Fall sitting': np.float32(0.6487183), 'Hop': np.float32(0.6534802), 'Kneel': np.float32(0.65691924), 'Pick up object': np.float32(0.6549105), 'Sit down': np.float32(0.65317214), 'Walk': np.float32(0.6572934)}
t=50 | pred=Fall left | scores={'Fall backwards': np.float32(0.66097385), 'Fall forward': np.float32(0.65578663), 'Fall left': np.float32(0.6631379), 'Fall right': np.float32(0.6603499), 'Fall sitting': np.float32(0.65098), 'Hop': np.float32(0.6551586), 'Kneel': np.float32(0.6591899), 'Pick up object': np.float32(0.6567355), 'Sit down': np.float32(0.6551122), 'Walk': np.float32(0.6590434)}
t=55 | pred=Fall left | scores={'Fall backwards': np.float32(0.6624506), 'Fall forward': np.float32(0.6576561), 'Fall left': np.float32(0.6645496), 'Fall right': np.float32(0.6615315), 'Fall sitting': np.float32(0.6524585), 'Hop': np.float32(0.6564447), 'Kneel': np.float32(0.6606962), 'Pick up object': np.float32(0.6578971), 'Sit down': np.float32(0.65584505), 'Walk': np.float32(0.6602572)}
t=60 | pred=Fall left | scores={'Fall backwards': np.float32(0.6642289), 'Fall forward': np.float32(0.6597045), 'Fall left': np.float32(0.6662039), 'Fall right': np.float32(0.66306955), 'Fall sitting': np.float32(0.65424234), 'Hop': np.float32(0.6580405), 'Kneel': np.float32(0.66234726), 'Pick up object': np.float32(0.65926564), 'Sit down': np.float32(0.6565231), 'Walk': np.float32(0.66170967)}
t=65 | pred=Fall left | scores={'Fall backwards': np.float32(0.66588616), 'Fall forward': np.float32(0.6613496), 'Fall left': np.float32(0.66768706), 'Fall right': np.float32(0.6645442), 'Fall sitting': np.float32(0.6556427), 'Hop': np.float32(0.6592771), 'Kneel': np.float32(0.66359353), 'Pick up object': np.float32(0.6603775), 'Sit down': np.float32(0.6573453), 'Walk': np.float32(0.66286933)}
t=70 | pred=Fall left | scores={'Fall backwards': np.float32(0.667577), 'Fall forward': np.float32(0.66290295), 'Fall left': np.float32(0.6690945), 'Fall right': np.float32(0.665964), 'Fall sitting': np.float32(0.65690863), 'Hop': np.float32(0.6601471), 'Kneel': np.float32(0.6647418), 'Pick up object': np.float32(0.6612391), 'Sit down': np.float32(0.658097), 'Walk': np.float32(0.6636178)}
t=75 | pred=Fall left | scores={'Fall backwards': np.float32(0.66893655), 'Fall forward': np.float32(0.66399413), 'Fall left': np.float32(0.67005944), 'Fall right': np.float32(0.6671265), 'Fall sitting': np.float32(0.65778214), 'Hop': np.float32(0.660572), 'Kneel': np.float32(0.66541433), 'Pick up object': np.float32(0.6617632), 'Sit down': np.float32(0.658496), 'Walk': np.float32(0.6640111)}
t=80 | pred=Fall left | scores={'Fall backwards': np.float32(0.6697756), 'Fall forward': np.float32(0.66468215), 'Fall left': np.float32(0.67055875), 'Fall right': np.float32(0.6677754), 'Fall sitting': np.float32(0.6583248), 'Hop': np.float32(0.66061884), 'Kneel': np.float32(0.6656991), 'Pick up object': np.float32(0.6619206), 'Sit down': np.float32(0.65834594), 'Walk': np.float32(0.66407984)}
t=85 | pred=Fall left | scores={'Fall backwards': np.float32(0.6705201), 'Fall forward': np.float32(0.66518587), 'Fall left': np.float32(0.6710366), 'Fall right': np.float32(0.668363), 'Fall sitting': np.float32(0.6587341), 'Hop': np.float32(0.6607037), 'Kneel': np.float32(0.6659878), 'Pick up object': np.float32(0.66212755), 'Sit down': np.float32(0.65839547), 'Walk': np.float32(0.66419417)}
t=90 | pred=Fall left | scores={'Fall backwards': np.float32(0.67130876), 'Fall forward': np.float32(0.66575813), 'Fall left': np.float32(0.6715444), 'Fall right': np.float32(0.6690467), 'Fall sitting': np.float32(0.65908307), 'Hop': np.float32(0.6607677), 'Kneel': np.float32(0.666342), 'Pick up object': np.float32(0.66238225), 'Sit down': np.float32(0.65840834), 'Walk': np.float32(0.66428816)}
t=95 | pred=Fall left | scores={'Fall backwards': np.float32(0.6719857), 'Fall forward': np.float32(0.6662084), 'Fall left': np.float32(0.672008), 'Fall right': np.float32(0.6696952), 'Fall sitting': np.float32(0.65931904), 'Hop': np.float32(0.66082555), 'Kneel': np.float32(0.66667813), 'Pick up object': np.float32(0.6627153), 'Sit down': np.float32(0.65842885), 'Walk': np.float32(0.66437817)}
t=100 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6727613), 'Fall forward': np.float32(0.6667626), 'Fall left': np.float32(0.6725646), 'Fall right': np.float32(0.6704682), 'Fall sitting': np.float32(0.6596159), 'Hop': np.float32(0.66095066), 'Kneel': np.float32(0.6670846), 'Pick up object': np.float32(0.66307914), 'Sit down': np.float32(0.65845805), 'Walk': np.float32(0.66448)}
t=105 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67306226), 'Fall forward': np.float32(0.66688687), 'Fall left': np.float32(0.67272973), 'Fall right': np.float32(0.6707853), 'Fall sitting': np.float32(0.65950406), 'Hop': np.float32(0.6607812), 'Kneel': np.float32(0.66712743), 'Pick up object': np.float32(0.66307765), 'Sit down': np.float32(0.6582379), 'Walk': np.float32(0.66429156)}
t=110 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6734994), 'Fall forward': np.float32(0.6671956), 'Fall left': np.float32(0.6730471), 'Fall right': np.float32(0.67128277), 'Fall sitting': np.float32(0.6595452), 'Hop': np.float32(0.6607303), 'Kneel': np.float32(0.6673397), 'Pick up object': np.float32(0.6632207), 'Sit down': np.float32(0.65813965), 'Walk': np.float32(0.6642082)}
t=115 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6737595), 'Fall forward': np.float32(0.6673513), 'Fall left': np.float32(0.6732374), 'Fall right': np.float32(0.6715986), 'Fall sitting': np.float32(0.65946996), 'Hop': np.float32(0.6606208), 'Kneel': np.float32(0.6674542), 'Pick up object': np.float32(0.6632783), 'Sit down': np.float32(0.6580049), 'Walk': np.float32(0.6640696)}
t=120 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6741846), 'Fall forward': np.float32(0.66764605), 'Fall left': np.float32(0.67366225), 'Fall right': np.float32(0.672176), 'Fall sitting': np.float32(0.65962356), 'Hop': np.float32(0.6606588), 'Kneel': np.float32(0.6678036), 'Pick up object': np.float32(0.6635433), 'Sit down': np.float32(0.6580806), 'Walk': np.float32(0.663979)}
t=125 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6746118), 'Fall forward': np.float32(0.6678776), 'Fall left': np.float32(0.6741387), 'Fall right': np.float32(0.67272294), 'Fall sitting': np.float32(0.6599686), 'Hop': np.float32(0.660868), 'Kneel': np.float32(0.6682039), 'Pick up object': np.float32(0.6639181), 'Sit down': np.float32(0.6584488), 'Walk': np.float32(0.66403955)}
t=130 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.675011), 'Fall forward': np.float32(0.6681293), 'Fall left': np.float32(0.67464787), 'Fall right': np.float32(0.67328924), 'Fall sitting': np.float32(0.6604199), 'Hop': np.float32(0.6611101), 'Kneel': np.float32(0.66861624), 'Pick up object': np.float32(0.66435254), 'Sit down': np.float32(0.6588537), 'Walk': np.float32(0.66412306)}
t=135 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67516303), 'Fall forward': np.float32(0.6681819), 'Fall left': np.float32(0.6749199), 'Fall right': np.float32(0.673576), 'Fall sitting': np.float32(0.66073334), 'Hop': np.float32(0.66116583), 'Kneel': np.float32(0.6688173), 'Pick up object': np.float32(0.6645557), 'Sit down': np.float32(0.65907055), 'Walk': np.float32(0.66403556)}
t=140 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6752813), 'Fall forward': np.float32(0.6683032), 'Fall left': np.float32(0.6751775), 'Fall right': np.float32(0.6738721), 'Fall sitting': np.float32(0.66103095), 'Hop': np.float32(0.66121), 'Kneel': np.float32(0.669042), 'Pick up object': np.float32(0.6647528), 'Sit down': np.float32(0.6592412), 'Walk': np.float32(0.6639541)}
t=145 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67523515), 'Fall forward': np.float32(0.66823167), 'Fall left': np.float32(0.67522144), 'Fall right': np.float32(0.67391706), 'Fall sitting': np.float32(0.6611489), 'Hop': np.float32(0.66112906), 'Kneel': np.float32(0.6690688), 'Pick up object': np.float32(0.66474825), 'Sit down': np.float32(0.6592608), 'Walk': np.float32(0.66378254)}
t=150 | pred=Fall left | scores={'Fall backwards': np.float32(0.6751612), 'Fall forward': np.float32(0.66816765), 'Fall left': np.float32(0.67521995), 'Fall right': np.float32(0.6739102), 'Fall sitting': np.float32(0.6612012), 'Hop': np.float32(0.6609727), 'Kneel': np.float32(0.66906434), 'Pick up object': np.float32(0.6646976), 'Sit down': np.float32(0.6592021), 'Walk': np.float32(0.66355747)}
t=155 | pred=Fall left | scores={'Fall backwards': np.float32(0.67501354), 'Fall forward': np.float32(0.6680278), 'Fall left': np.float32(0.67514884), 'Fall right': np.float32(0.67382264), 'Fall sitting': np.float32(0.6612108), 'Hop': np.float32(0.66076964), 'Kneel': np.float32(0.6689983), 'Pick up object': np.float32(0.6645774), 'Sit down': np.float32(0.6591304), 'Walk': np.float32(0.6632816)}
t=160 | pred=Fall left | scores={'Fall backwards': np.float32(0.6751041), 'Fall forward': np.float32(0.66820514), 'Fall left': np.float32(0.6752894), 'Fall right': np.float32(0.6740083), 'Fall sitting': np.float32(0.6613587), 'Hop': np.float32(0.66077304), 'Kneel': np.float32(0.66918826), 'Pick up object': np.float32(0.6646991), 'Sit down': np.float32(0.6591582), 'Walk': np.float32(0.6632412)}
t=165 | pred=Fall left | scores={'Fall backwards': np.float32(0.67542046), 'Fall forward': np.float32(0.66856843), 'Fall left': np.float32(0.67560184), 'Fall right': np.float32(0.6743827), 'Fall sitting': np.float32(0.661613), 'Hop': np.float32(0.6609893), 'Kneel': np.float32(0.66954124), 'Pick up object': np.float32(0.66498494), 'Sit down': np.float32(0.6593768), 'Walk': np.float32(0.6634425)}
t=170 | pred=Fall left | scores={'Fall backwards': np.float32(0.6756981), 'Fall forward': np.float32(0.6688922), 'Fall left': np.float32(0.6759186), 'Fall right': np.float32(0.6747566), 'Fall sitting': np.float32(0.66189915), 'Hop': np.float32(0.6612212), 'Kneel': np.float32(0.6698815), 'Pick up object': np.float32(0.6652883), 'Sit down': np.float32(0.6596236), 'Walk': np.float32(0.663625)}
t=175 | pred=Fall left | scores={'Fall backwards': np.float32(0.6759302), 'Fall forward': np.float32(0.6691821), 'Fall left': np.float32(0.67618096), 'Fall right': np.float32(0.6750782), 'Fall sitting': np.float32(0.66215706), 'Hop': np.float32(0.6615088), 'Kneel': np.float32(0.6701632), 'Pick up object': np.float32(0.6655941), 'Sit down': np.float32(0.6598228), 'Walk': np.float32(0.6638652)}
t=180 | pred=Fall left | scores={'Fall backwards': np.float32(0.6761193), 'Fall forward': np.float32(0.66948926), 'Fall left': np.float32(0.6764118), 'Fall right': np.float32(0.67538416), 'Fall sitting': np.float32(0.6624248), 'Hop': np.float32(0.6617603), 'Kneel': np.float32(0.6704136), 'Pick up object': np.float32(0.6659133), 'Sit down': np.float32(0.65997845), 'Walk': np.float32(0.6640532)}
t=185 | pred=Fall left | scores={'Fall backwards': np.float32(0.6762598), 'Fall forward': np.float32(0.66973126), 'Fall left': np.float32(0.67657834), 'Fall right': np.float32(0.67560035), 'Fall sitting': np.float32(0.66262037), 'Hop': np.float32(0.66196567), 'Kneel': np.float32(0.67059034), 'Pick up object': np.float32(0.6661266), 'Sit down': np.float32(0.6600638), 'Walk': np.float32(0.6642278)}
t=190 | pred=Fall left | scores={'Fall backwards': np.float32(0.6763683), 'Fall forward': np.float32(0.66990787), 'Fall left': np.float32(0.6766901), 'Fall right': np.float32(0.675773), 'Fall sitting': np.float32(0.6627305), 'Hop': np.float32(0.66210026), 'Kneel': np.float32(0.6707179), 'Pick up object': np.float32(0.6662776), 'Sit down': np.float32(0.6601068), 'Walk': np.float32(0.6643221)}
t=195 | pred=Fall left | scores={'Fall backwards': np.float32(0.6764386), 'Fall forward': np.float32(0.670083), 'Fall left': np.float32(0.67676187), 'Fall right': np.float32(0.6758821), 'Fall sitting': np.float32(0.6628254), 'Hop': np.float32(0.6622543), 'Kneel': np.float32(0.67082286), 'Pick up object': np.float32(0.666412), 'Sit down': np.float32(0.66015327), 'Walk': np.float32(0.66444975)}
t=200 | pred=Fall left | scores={'Fall backwards': np.float32(0.67643785), 'Fall forward': np.float32(0.6702368), 'Fall left': np.float32(0.67678934), 'Fall right': np.float32(0.67594594), 'Fall sitting': np.float32(0.6629138), 'Hop': np.float32(0.6623759), 'Kneel': np.float32(0.67089796), 'Pick up object': np.float32(0.66652566), 'Sit down': np.float32(0.6601415), 'Walk': np.float32(0.66453326)}
t=205 | pred=Fall left | scores={'Fall backwards': np.float32(0.6763828), 'Fall forward': np.float32(0.67026174), 'Fall left': np.float32(0.67674994), 'Fall right': np.float32(0.6759349), 'Fall sitting': np.float32(0.66291434), 'Hop': np.float32(0.66242164), 'Kneel': np.float32(0.6708946), 'Pick up object': np.float32(0.6665598), 'Sit down': np.float32(0.6601063), 'Walk': np.float32(0.6645561)}
t=210 | pred=Fall left | scores={'Fall backwards': np.float32(0.6762451), 'Fall forward': np.float32(0.6702219), 'Fall left': np.float32(0.6766373), 'Fall right': np.float32(0.6758491), 'Fall sitting': np.float32(0.66289634), 'Hop': np.float32(0.66242385), 'Kneel': np.float32(0.6708309), 'Pick up object': np.float32(0.6665504), 'Sit down': np.float32(0.6600119), 'Walk': np.float32(0.66451705)}
t=215 | pred=Fall left | scores={'Fall backwards': np.float32(0.6761952), 'Fall forward': np.float32(0.67026865), 'Fall left': np.float32(0.6765917), 'Fall right': np.float32(0.67581975), 'Fall sitting': np.float32(0.6629152), 'Hop': np.float32(0.6624686), 'Kneel': np.float32(0.6708127), 'Pick up object': np.float32(0.6665957), 'Sit down': np.float32(0.6599782), 'Walk': np.float32(0.6645506)}
