Ground Truth: Fall sitting

t=15 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.63443935), 'Fall forward': np.float32(0.637117), 'Fall left': np.float32(0.64174324), 'Fall right': np.float32(0.6334172), 'Fall sitting': np.float32(0.65840924), 'Hop': np.float32(0.634603), 'Kneel': np.float32(0.6399115), 'Pick up object': np.float32(0.6398144), 'Sit down': np.float32(0.64861023), 'Walk': np.float32(0.63306653)}
t=20 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6376487), 'Fall forward': np.float32(0.63907474), 'Fall left': np.float32(0.644661), 'Fall right': np.float32(0.63658696), 'Fall sitting': np.float32(0.6594556), 'Hop': np.float32(0.6370941), 'Kneel': np.float32(0.64289093), 'Pick up object': np.float32(0.64220256), 'Sit down': np.float32(0.6526493), 'Walk': np.float32(0.6353268)}
t=25 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.63922524), 'Fall forward': np.float32(0.6399468), 'Fall left': np.float32(0.64630544), 'Fall right': np.float32(0.63826954), 'Fall sitting': np.float32(0.6595267), 'Hop': np.float32(0.6388765), 'Kneel': np.float32(0.64451283), 'Pick up object': np.float32(0.64372814), 'Sit down': np.float32(0.65474993), 'Walk': np.float32(0.63686514)}
t=30 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6403327), 'Fall forward': np.float32(0.6407881), 'Fall left': np.float32(0.64755285), 'Fall right': np.float32(0.6392566), 'Fall sitting': np.float32(0.6598357), 'Hop': np.float32(0.64059824), 'Kneel': np.float32(0.6458755), 'Pick up object': np.float32(0.6451581), 'Sit down': np.float32(0.65626633), 'Walk': np.float32(0.63853353)}
t=35 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.64104825), 'Fall forward': np.float32(0.6415754), 'Fall left': np.float32(0.64840543), 'Fall right': np.float32(0.63985413), 'Fall sitting': np.float32(0.6602634), 'Hop': np.float32(0.6423756), 'Kneel': np.float32(0.64689755), 'Pick up object': np.float32(0.6464067), 'Sit down': np.float32(0.65714955), 'Walk': np.float32(0.6403945)}
t=40 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6420136), 'Fall forward': np.float32(0.6426337), 'Fall left': np.float32(0.6496509), 'Fall right': np.float32(0.641103), 'Fall sitting': np.float32(0.66088295), 'Hop': np.float32(0.6446599), 'Kneel': np.float32(0.6480991), 'Pick up object': np.float32(0.648038), 'Sit down': np.float32(0.65799385), 'Walk': np.float32(0.6425442)}
t=45 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.64215237), 'Fall forward': np.float32(0.6433886), 'Fall left': np.float32(0.6500747), 'Fall right': np.float32(0.6415494), 'Fall sitting': np.float32(0.66217), 'Hop': np.float32(0.6457324), 'Kneel': np.float32(0.64858884), 'Pick up object': np.float32(0.648654), 'Sit down': np.float32(0.6579086), 'Walk': np.float32(0.64351463)}
t=50 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.64275634), 'Fall forward': np.float32(0.6445472), 'Fall left': np.float32(0.6506533), 'Fall right': np.float32(0.64244324), 'Fall sitting': np.float32(0.664344), 'Hop': np.float32(0.6463697), 'Kneel': np.float32(0.6492428), 'Pick up object': np.float32(0.6489802), 'Sit down': np.float32(0.657483), 'Walk': np.float32(0.644365)}
t=55 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6421098), 'Fall forward': np.float32(0.6442127), 'Fall left': np.float32(0.6498055), 'Fall right': np.float32(0.64200884), 'Fall sitting': np.float32(0.6649066), 'Hop': np.float32(0.6452735), 'Kneel': np.float32(0.64833915), 'Pick up object': np.float32(0.6478079), 'Sit down': np.float32(0.6554154), 'Walk': np.float32(0.6435221)}
t=60 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.641181), 'Fall forward': np.float32(0.6436585), 'Fall left': np.float32(0.64869314), 'Fall right': np.float32(0.6413242), 'Fall sitting': np.float32(0.66492987), 'Hop': np.float32(0.6440185), 'Kneel': np.float32(0.6471977), 'Pick up object': np.float32(0.6465339), 'Sit down': np.float32(0.6532913), 'Walk': np.float32(0.6425363)}
t=65 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.64091235), 'Fall forward': np.float32(0.6435698), 'Fall left': np.float32(0.6483216), 'Fall right': np.float32(0.64128786), 'Fall sitting': np.float32(0.6652064), 'Hop': np.float32(0.64332145), 'Kneel': np.float32(0.6466802), 'Pick up object': np.float32(0.6460178), 'Sit down': np.float32(0.65196735), 'Walk': np.float32(0.64198786)}
