Ground Truth: Kneel

t=15 | pred=Fall left | scores={'Fall backwards': np.float32(0.65872353), 'Fall forward': np.float32(0.65472186), 'Fall left': np.float32(0.66082853), 'Fall right': np.float32(0.6556498), 'Fall sitting': np.float32(0.64788187), 'Hop': np.float32(0.65093064), 'Kneel': np.float32(0.65579677), 'Pick up object': np.float32(0.6551095), 'Sit down': np.float32(0.6520053), 'Walk': np.float32(0.6547439)}
t=20 | pred=Fall left | scores={'Fall backwards': np.float32(0.6599374), 'Fall forward': np.float32(0.65543395), 'Fall left': np.float32(0.6621393), 'Fall right': np.float32(0.6567261), 'Fall sitting': np.float32(0.64837414), 'Hop': np.float32(0.6532636), 'Kneel': np.float32(0.65694046), 'Pick up object': np.float32(0.6566749), 'Sit down': np.float32(0.65403837), 'Walk': np.float32(0.65643275)}
t=25 | pred=Fall left | scores={'Fall backwards': np.float32(0.66103804), 'Fall forward': np.float32(0.65695006), 'Fall left': np.float32(0.6631383), 'Fall right': np.float32(0.6578314), 'Fall sitting': np.float32(0.6493504), 'Hop': np.float32(0.65421647), 'Kneel': np.float32(0.6581278), 'Pick up object': np.float32(0.65741473), 'Sit down': np.float32(0.65520114), 'Walk': np.float32(0.65743077)}
t=30 | pred=Fall left | scores={'Fall backwards': np.float32(0.66188806), 'Fall forward': np.float32(0.65844595), 'Fall left': np.float32(0.6638607), 'Fall right': np.float32(0.65841234), 'Fall sitting': np.float32(0.65049756), 'Hop': np.float32(0.6540017), 'Kneel': np.float32(0.6587619), 'Pick up object': np.float32(0.6575892), 'Sit down': np.float32(0.6554519), 'Walk': np.float32(0.6576432)}
t=35 | pred=Fall left | scores={'Fall backwards': np.float32(0.6617442), 'Fall forward': np.float32(0.6586606), 'Fall left': np.float32(0.66416174), 'Fall right': np.float32(0.6580468), 'Fall sitting': np.float32(0.65205723), 'Hop': np.float32(0.6545822), 'Kneel': np.float32(0.6590086), 'Pick up object': np.float32(0.6585547), 'Sit down': np.float32(0.65595466), 'Walk': np.float32(0.6580813)}
t=40 | pred=Fall left | scores={'Fall backwards': np.float32(0.6617994), 'Fall forward': np.float32(0.6591312), 'Fall left': np.float32(0.6646022), 'Fall right': np.float32(0.65821433), 'Fall sitting': np.float32(0.6533014), 'Hop': np.float32(0.65548337), 'Kneel': np.float32(0.6594999), 'Pick up object': np.float32(0.65965426), 'Sit down': np.float32(0.6565393), 'Walk': np.float32(0.6586231)}
t=45 | pred=Fall left | scores={'Fall backwards': np.float32(0.6624595), 'Fall forward': np.float32(0.6595897), 'Fall left': np.float32(0.6652124), 'Fall right': np.float32(0.6586771), 'Fall sitting': np.float32(0.65427667), 'Hop': np.float32(0.65569913), 'Kneel': np.float32(0.6599993), 'Pick up object': np.float32(0.6600721), 'Sit down': np.float32(0.65726763), 'Walk': np.float32(0.6586103)}
t=50 | pred=Fall left | scores={'Fall backwards': np.float32(0.66341835), 'Fall forward': np.float32(0.66023487), 'Fall left': np.float32(0.66596013), 'Fall right': np.float32(0.6593129), 'Fall sitting': np.float32(0.6553206), 'Hop': np.float32(0.65603477), 'Kneel': np.float32(0.66087353), 'Pick up object': np.float32(0.66047406), 'Sit down': np.float32(0.6582728), 'Walk': np.float32(0.6587228)}
t=55 | pred=Fall left | scores={'Fall backwards': np.float32(0.6631274), 'Fall forward': np.float32(0.65949667), 'Fall left': np.float32(0.66560274), 'Fall right': np.float32(0.6588869), 'Fall sitting': np.float32(0.65493953), 'Hop': np.float32(0.6553179), 'Kneel': np.float32(0.66065294), 'Pick up object': np.float32(0.6599617), 'Sit down': np.float32(0.6581562), 'Walk': np.float32(0.6578147)}
t=60 | pred=Fall left | scores={'Fall backwards': np.float32(0.66291714), 'Fall forward': np.float32(0.6589258), 'Fall left': np.float32(0.66541), 'Fall right': np.float32(0.6585462), 'Fall sitting': np.float32(0.65454215), 'Hop': np.float32(0.6548167), 'Kneel': np.float32(0.6606956), 'Pick up object': np.float32(0.65977055), 'Sit down': np.float32(0.65798813), 'Walk': np.float32(0.65706563)}
t=65 | pred=Fall left | scores={'Fall backwards': np.float32(0.6633129), 'Fall forward': np.float32(0.6594505), 'Fall left': np.float32(0.6660272), 'Fall right': np.float32(0.65903616), 'Fall sitting': np.float32(0.65565544), 'Hop': np.float32(0.65558445), 'Kneel': np.float32(0.661536), 'Pick up object': np.float32(0.66076934), 'Sit down': np.float32(0.65881586), 'Walk': np.float32(0.6577126)}
t=70 | pred=Fall left | scores={'Fall backwards': np.float32(0.66366106), 'Fall forward': np.float32(0.6601678), 'Fall left': np.float32(0.6666761), 'Fall right': np.float32(0.6595969), 'Fall sitting': np.float32(0.65704906), 'Hop': np.float32(0.6562115), 'Kneel': np.float32(0.6624444), 'Pick up object': np.float32(0.6618549), 'Sit down': np.float32(0.6596869), 'Walk': np.float32(0.65816903)}
t=75 | pred=Fall left | scores={'Fall backwards': np.float32(0.6641365), 'Fall forward': np.float32(0.6608878), 'Fall left': np.float32(0.66728383), 'Fall right': np.float32(0.66023475), 'Fall sitting': np.float32(0.6577923), 'Hop': np.float32(0.6568139), 'Kneel': np.float32(0.6633246), 'Pick up object': np.float32(0.6626337), 'Sit down': np.float32(0.6603279), 'Walk': np.float32(0.6586645)}
t=80 | pred=Fall left | scores={'Fall backwards': np.float32(0.6645416), 'Fall forward': np.float32(0.66162634), 'Fall left': np.float32(0.6677878), 'Fall right': np.float32(0.6607282), 'Fall sitting': np.float32(0.6583789), 'Hop': np.float32(0.6573282), 'Kneel': np.float32(0.6641227), 'Pick up object': np.float32(0.6633765), 'Sit down': np.float32(0.6607755), 'Walk': np.float32(0.6591728)}
t=85 | pred=Fall left | scores={'Fall backwards': np.float32(0.6654966), 'Fall forward': np.float32(0.66268396), 'Fall left': np.float32(0.6687355), 'Fall right': np.float32(0.6617463), 'Fall sitting': np.float32(0.6591274), 'Hop': np.float32(0.65789545), 'Kneel': np.float32(0.665261), 'Pick up object': np.float32(0.6640982), 'Sit down': np.float32(0.6616874), 'Walk': np.float32(0.65982527)}
t=90 | pred=Fall left | scores={'Fall backwards': np.float32(0.66617614), 'Fall forward': np.float32(0.66356385), 'Fall left': np.float32(0.66938365), 'Fall right': np.float32(0.6625842), 'Fall sitting': np.float32(0.6598167), 'Hop': np.float32(0.6582355), 'Kneel': np.float32(0.66625667), 'Pick up object': np.float32(0.6645792), 'Sit down': np.float32(0.6624302), 'Walk': np.float32(0.660194)}
t=95 | pred=Fall left | scores={'Fall backwards': np.float32(0.6667187), 'Fall forward': np.float32(0.66423225), 'Fall left': np.float32(0.66986775), 'Fall right': np.float32(0.6632061), 'Fall sitting': np.float32(0.66023815), 'Hop': np.float32(0.65843105), 'Kneel': np.float32(0.6669535), 'Pick up object': np.float32(0.66476905), 'Sit down': np.float32(0.6629468), 'Walk': np.float32(0.6604342)}
t=100 | pred=Fall left | scores={'Fall backwards': np.float32(0.66718376), 'Fall forward': np.float32(0.6648343), 'Fall left': np.float32(0.67038405), 'Fall right': np.float32(0.66383696), 'Fall sitting': np.float32(0.6607508), 'Hop': np.float32(0.6586651), 'Kneel': np.float32(0.6676362), 'Pick up object': np.float32(0.66504157), 'Sit down': np.float32(0.6635117), 'Walk': np.float32(0.6606997)}
t=105 | pred=Fall left | scores={'Fall backwards': np.float32(0.6673202), 'Fall forward': np.float32(0.66504157), 'Fall left': np.float32(0.6706657), 'Fall right': np.float32(0.66416883), 'Fall sitting': np.float32(0.6610161), 'Hop': np.float32(0.65891284), 'Kneel': np.float32(0.6680369), 'Pick up object': np.float32(0.66523767), 'Sit down': np.float32(0.66383404), 'Walk': np.float32(0.6609229)}
t=110 | pred=Fall left | scores={'Fall backwards': np.float32(0.6675133), 'Fall forward': np.float32(0.66542906), 'Fall left': np.float32(0.6710589), 'Fall right': np.float32(0.6646026), 'Fall sitting': np.float32(0.661639), 'Hop': np.float32(0.6592821), 'Kneel': np.float32(0.6686377), 'Pick up object': np.float32(0.665635), 'Sit down': np.float32(0.664323), 'Walk': np.float32(0.6613278)}
t=115 | pred=Fall left | scores={'Fall backwards': np.float32(0.6673747), 'Fall forward': np.float32(0.66545874), 'Fall left': np.float32(0.6711179), 'Fall right': np.float32(0.66462153), 'Fall sitting': np.float32(0.66199964), 'Hop': np.float32(0.65937304), 'Kneel': np.float32(0.6688606), 'Pick up object': np.float32(0.6658279), 'Sit down': np.float32(0.6644653), 'Walk': np.float32(0.6614236)}
t=120 | pred=Fall left | scores={'Fall backwards': np.float32(0.6671191), 'Fall forward': np.float32(0.6654211), 'Fall left': np.float32(0.6710412), 'Fall right': np.float32(0.66454864), 'Fall sitting': np.float32(0.66232187), 'Hop': np.float32(0.65930605), 'Kneel': np.float32(0.6689648), 'Pick up object': np.float32(0.6659436), 'Sit down': np.float32(0.66445935), 'Walk': np.float32(0.6613261)}
t=125 | pred=Fall left | scores={'Fall backwards': np.float32(0.6669853), 'Fall forward': np.float32(0.66540456), 'Fall left': np.float32(0.67098653), 'Fall right': np.float32(0.6644895), 'Fall sitting': np.float32(0.6624928), 'Hop': np.float32(0.6592783), 'Kneel': np.float32(0.6689512), 'Pick up object': np.float32(0.6660302), 'Sit down': np.float32(0.6644201), 'Walk': np.float32(0.6612553)}
t=130 | pred=Fall left | scores={'Fall backwards': np.float32(0.66670275), 'Fall forward': np.float32(0.6651625), 'Fall left': np.float32(0.6707554), 'Fall right': np.float32(0.66426754), 'Fall sitting': np.float32(0.6625355), 'Hop': np.float32(0.6590838), 'Kneel': np.float32(0.66877955), 'Pick up object': np.float32(0.6659679), 'Sit down': np.float32(0.66427946), 'Walk': np.float32(0.66101885)}
t=135 | pred=Fall left | scores={'Fall backwards': np.float32(0.6662342), 'Fall forward': np.float32(0.6647088), 'Fall left': np.float32(0.6703439), 'Fall right': np.float32(0.6638517), 'Fall sitting': np.float32(0.66249347), 'Hop': np.float32(0.65872866), 'Kneel': np.float32(0.6684342), 'Pick up object': np.float32(0.6657205), 'Sit down': np.float32(0.6639817), 'Walk': np.float32(0.6606322)}
t=140 | pred=Fall left | scores={'Fall backwards': np.float32(0.6658405), 'Fall forward': np.float32(0.66430765), 'Fall left': np.float32(0.6700031), 'Fall right': np.float32(0.66352004), 'Fall sitting': np.float32(0.66248727), 'Hop': np.float32(0.6584941), 'Kneel': np.float32(0.66825825), 'Pick up object': np.float32(0.66555804), 'Sit down': np.float32(0.6638675), 'Walk': np.float32(0.6603411)}
