Ground Truth: Fall backwards

t=15 | pred=Walk | scores={'Fall backwards': np.float32(0.65250397), 'Fall forward': np.float32(0.6474395), 'Fall left': np.float32(0.65179074), 'Fall right': np.float32(0.648875), 'Fall sitting': np.float32(0.6472826), 'Hop': np.float32(0.65398955), 'Kneel': np.float32(0.6498543), 'Pick up object': np.float32(0.6531399), 'Sit down': np.float32(0.6494872), 'Walk': np.float32(0.65476745)}
t=20 | pred=Walk | scores={'Fall backwards': np.float32(0.65262413), 'Fall forward': np.float32(0.64852834), 'Fall left': np.float32(0.6521273), 'Fall right': np.float32(0.6492028), 'Fall sitting': np.float32(0.6469737), 'Hop': np.float32(0.65618134), 'Kneel': np.float32(0.650264), 'Pick up object': np.float32(0.6538844), 'Sit down': np.float32(0.648548), 'Walk': np.float32(0.6566795)}
t=25 | pred=Walk | scores={'Fall backwards': np.float32(0.65150094), 'Fall forward': np.float32(0.64827913), 'Fall left': np.float32(0.65113366), 'Fall right': np.float32(0.6482006), 'Fall sitting': np.float32(0.6462069), 'Hop': np.float32(0.6559538), 'Kneel': np.float32(0.6495025), 'Pick up object': np.float32(0.6530862), 'Sit down': np.float32(0.6469174), 'Walk': np.float32(0.6563296)}
t=30 | pred=Hop | scores={'Fall backwards': np.float32(0.6516124), 'Fall forward': np.float32(0.64874923), 'Fall left': np.float32(0.6513382), 'Fall right': np.float32(0.6484795), 'Fall sitting': np.float32(0.64615685), 'Hop': np.float32(0.6562517), 'Kneel': np.float32(0.6496579), 'Pick up object': np.float32(0.65297604), 'Sit down': np.float32(0.646462), 'Walk': np.float32(0.65624267)}
t=35 | pred=Walk | scores={'Fall backwards': np.float32(0.6534913), 'Fall forward': np.float32(0.6512057), 'Fall left': np.float32(0.6530745), 'Fall right': np.float32(0.6503362), 'Fall sitting': np.float32(0.64765424), 'Hop': np.float32(0.65758854), 'Kneel': np.float32(0.65177786), 'Pick up object': np.float32(0.6540946), 'Sit down': np.float32(0.6476285), 'Walk': np.float32(0.6578622)}
t=40 | pred=Walk | scores={'Fall backwards': np.float32(0.6550932), 'Fall forward': np.float32(0.6535213), 'Fall left': np.float32(0.6548076), 'Fall right': np.float32(0.6518901), 'Fall sitting': np.float32(0.6490869), 'Hop': np.float32(0.6592109), 'Kneel': np.float32(0.6540701), 'Pick up object': np.float32(0.6554898), 'Sit down': np.float32(0.6490192), 'Walk': np.float32(0.65961754)}
t=45 | pred=Walk | scores={'Fall backwards': np.float32(0.6557888), 'Fall forward': np.float32(0.6548099), 'Fall left': np.float32(0.6556719), 'Fall right': np.float32(0.6525352), 'Fall sitting': np.float32(0.65009356), 'Hop': np.float32(0.65991014), 'Kneel': np.float32(0.655216), 'Pick up object': np.float32(0.6563595), 'Sit down': np.float32(0.64967406), 'Walk': np.float32(0.6604625)}
t=50 | pred=Walk | scores={'Fall backwards': np.float32(0.6563008), 'Fall forward': np.float32(0.655475), 'Fall left': np.float32(0.65623355), 'Fall right': np.float32(0.65295285), 'Fall sitting': np.float32(0.6503021), 'Hop': np.float32(0.660409), 'Kneel': np.float32(0.655963), 'Pick up object': np.float32(0.65683526), 'Sit down': np.float32(0.6501294), 'Walk': np.float32(0.6608537)}
t=55 | pred=Walk | scores={'Fall backwards': np.float32(0.6569082), 'Fall forward': np.float32(0.6563802), 'Fall left': np.float32(0.65689325), 'Fall right': np.float32(0.6536624), 'Fall sitting': np.float32(0.65063006), 'Hop': np.float32(0.6609102), 'Kneel': np.float32(0.6568119), 'Pick up object': np.float32(0.6572969), 'Sit down': np.float32(0.650626), 'Walk': np.float32(0.6612922)}
t=60 | pred=Walk | scores={'Fall backwards': np.float32(0.6573086), 'Fall forward': np.float32(0.6571404), 'Fall left': np.float32(0.65729815), 'Fall right': np.float32(0.6540996), 'Fall sitting': np.float32(0.65114886), 'Hop': np.float32(0.66090447), 'Kneel': np.float32(0.6573378), 'Pick up object': np.float32(0.6576322), 'Sit down': np.float32(0.65075773), 'Walk': np.float32(0.6611929)}
t=65 | pred=Walk | scores={'Fall backwards': np.float32(0.6584356), 'Fall forward': np.float32(0.6583487), 'Fall left': np.float32(0.6583852), 'Fall right': np.float32(0.65514326), 'Fall sitting': np.float32(0.6528995), 'Hop': np.float32(0.661494), 'Kneel': np.float32(0.6584209), 'Pick up object': np.float32(0.6586355), 'Sit down': np.float32(0.65193963), 'Walk': np.float32(0.6617418)}
t=70 | pred=Walk | scores={'Fall backwards': np.float32(0.6598255), 'Fall forward': np.float32(0.6601047), 'Fall left': np.float32(0.6597392), 'Fall right': np.float32(0.65629244), 'Fall sitting': np.float32(0.6544951), 'Hop': np.float32(0.6620149), 'Kneel': np.float32(0.6597703), 'Pick up object': np.float32(0.6595416), 'Sit down': np.float32(0.6530072), 'Walk': np.float32(0.6622902)}
t=75 | pred=Walk | scores={'Fall backwards': np.float32(0.66089576), 'Fall forward': np.float32(0.6616424), 'Fall left': np.float32(0.6606769), 'Fall right': np.float32(0.657117), 'Fall sitting': np.float32(0.65590155), 'Hop': np.float32(0.6619963), 'Kneel': np.float32(0.660687), 'Pick up object': np.float32(0.65981764), 'Sit down': np.float32(0.65366095), 'Walk': np.float32(0.6622622)}
t=80 | pred=Fall forward | scores={'Fall backwards': np.float32(0.66129094), 'Fall forward': np.float32(0.6624213), 'Fall left': np.float32(0.66107243), 'Fall right': np.float32(0.65727186), 'Fall sitting': np.float32(0.65684974), 'Hop': np.float32(0.6616718), 'Kneel': np.float32(0.66108704), 'Pick up object': np.float32(0.6598087), 'Sit down': np.float32(0.6537235), 'Walk': np.float32(0.6616667)}
