Ground Truth: Fall left

t=15 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6337775), 'Fall forward': np.float32(0.6321765), 'Fall left': np.float32(0.64136946), 'Fall right': np.float32(0.63388073), 'Fall sitting': np.float32(0.6458587), 'Hop': np.float32(0.6329995), 'Kneel': np.float32(0.63528997), 'Pick up object': np.float32(0.6386311), 'Sit down': np.float32(0.6442043), 'Walk': np.float32(0.63283825)}
t=20 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6345061), 'Fall forward': np.float32(0.63229835), 'Fall left': np.float32(0.64194393), 'Fall right': np.float32(0.6346525), 'Fall sitting': np.float32(0.64735425), 'Hop': np.float32(0.6328836), 'Kneel': np.float32(0.63604265), 'Pick up object': np.float32(0.64013845), 'Sit down': np.float32(0.64590555), 'Walk': np.float32(0.63278836)}
t=25 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.63438034), 'Fall forward': np.float32(0.63190573), 'Fall left': np.float32(0.64171195), 'Fall right': np.float32(0.63450474), 'Fall sitting': np.float32(0.6474447), 'Hop': np.float32(0.63255787), 'Kneel': np.float32(0.6360262), 'Pick up object': np.float32(0.64029646), 'Sit down': np.float32(0.6462682), 'Walk': np.float32(0.6324889)}
t=30 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.635581), 'Fall forward': np.float32(0.6324698), 'Fall left': np.float32(0.6428055), 'Fall right': np.float32(0.63572866), 'Fall sitting': np.float32(0.6486532), 'Hop': np.float32(0.6334655), 'Kneel': np.float32(0.6372599), 'Pick up object': np.float32(0.6414587), 'Sit down': np.float32(0.6481363), 'Walk': np.float32(0.63350445)}
t=35 | pred=Sit down | scores={'Fall backwards': np.float32(0.63765424), 'Fall forward': np.float32(0.63404864), 'Fall left': np.float32(0.6446561), 'Fall right': np.float32(0.63775885), 'Fall sitting': np.float32(0.6503582), 'Hop': np.float32(0.6351436), 'Kneel': np.float32(0.6391632), 'Pick up object': np.float32(0.6430696), 'Sit down': np.float32(0.65039754), 'Walk': np.float32(0.63520736)}
t=40 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6395176), 'Fall forward': np.float32(0.63570523), 'Fall left': np.float32(0.6463352), 'Fall right': np.float32(0.6394158), 'Fall sitting': np.float32(0.652468), 'Hop': np.float32(0.6369558), 'Kneel': np.float32(0.640905), 'Pick up object': np.float32(0.6445568), 'Sit down': np.float32(0.6519161), 'Walk': np.float32(0.637156)}
t=45 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.64015514), 'Fall forward': np.float32(0.63641274), 'Fall left': np.float32(0.64709294), 'Fall right': np.float32(0.6399175), 'Fall sitting': np.float32(0.6535765), 'Hop': np.float32(0.6373885), 'Kneel': np.float32(0.6416003), 'Pick up object': np.float32(0.6449491), 'Sit down': np.float32(0.6524094), 'Walk': np.float32(0.6377034)}
t=50 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6409364), 'Fall forward': np.float32(0.6368526), 'Fall left': np.float32(0.64803374), 'Fall right': np.float32(0.6405454), 'Fall sitting': np.float32(0.65426636), 'Hop': np.float32(0.6377993), 'Kneel': np.float32(0.64205486), 'Pick up object': np.float32(0.64494807), 'Sit down': np.float32(0.6530473), 'Walk': np.float32(0.63796264)}
t=55 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.6420335), 'Fall forward': np.float32(0.6372772), 'Fall left': np.float32(0.6494472), 'Fall right': np.float32(0.64143634), 'Fall sitting': np.float32(0.654789), 'Hop': np.float32(0.638913), 'Kneel': np.float32(0.64286137), 'Pick up object': np.float32(0.6453532), 'Sit down': np.float32(0.6541946), 'Walk': np.float32(0.6385521)}
t=60 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.642128), 'Fall forward': np.float32(0.6368551), 'Fall left': np.float32(0.6496653), 'Fall right': np.float32(0.6411316), 'Fall sitting': np.float32(0.6551249), 'Hop': np.float32(0.6386867), 'Kneel': np.float32(0.6425316), 'Pick up object': np.float32(0.6446604), 'Sit down': np.float32(0.65393823), 'Walk': np.float32(0.6379998)}
t=65 | pred=Fall sitting | scores={'Fall backwards': np.float32(0.64110744), 'Fall forward': np.float32(0.63562673), 'Fall left': np.float32(0.6488222), 'Fall right': np.float32(0.63996434), 'Fall sitting': np.float32(0.65478325), 'Hop': np.float32(0.6374877), 'Kneel': np.float32(0.6412784), 'Pick up object': np.float32(0.6432609), 'Sit down': np.float32(0.65256274), 'Walk': np.float32(0.63658565)}
