Ground Truth: Fall right

t=15 | pred=Sit down | scores={'Fall backwards': np.float32(0.6544895), 'Fall forward': np.float32(0.65199345), 'Fall left': np.float32(0.6571951), 'Fall right': np.float32(0.655122), 'Fall sitting': np.float32(0.6551817), 'Hop': np.float32(0.65574586), 'Kneel': np.float32(0.65593946), 'Pick up object': np.float32(0.6541487), 'Sit down': np.float32(0.6639024), 'Walk': np.float32(0.65795463)}
t=20 | pred=Sit down | scores={'Fall backwards': np.float32(0.6544103), 'Fall forward': np.float32(0.6512199), 'Fall left': np.float32(0.6568679), 'Fall right': np.float32(0.65483606), 'Fall sitting': np.float32(0.654643), 'Hop': np.float32(0.655512), 'Kneel': np.float32(0.6557103), 'Pick up object': np.float32(0.65461916), 'Sit down': np.float32(0.6645989), 'Walk': np.float32(0.6580919)}
t=25 | pred=Sit down | scores={'Fall backwards': np.float32(0.6549197), 'Fall forward': np.float32(0.651033), 'Fall left': np.float32(0.6569545), 'Fall right': np.float32(0.65500987), 'Fall sitting': np.float32(0.6547275), 'Hop': np.float32(0.6563249), 'Kneel': np.float32(0.65610415), 'Pick up object': np.float32(0.6555581), 'Sit down': np.float32(0.66525865), 'Walk': np.float32(0.65895766)}
t=30 | pred=Sit down | scores={'Fall backwards': np.float32(0.65543145), 'Fall forward': np.float32(0.65078276), 'Fall left': np.float32(0.6571418), 'Fall right': np.float32(0.65499955), 'Fall sitting': np.float32(0.65349156), 'Hop': np.float32(0.65702343), 'Kneel': np.float32(0.6564496), 'Pick up object': np.float32(0.65604293), 'Sit down': np.float32(0.6652088), 'Walk': np.float32(0.6594068)}
t=35 | pred=Sit down | scores={'Fall backwards': np.float32(0.6559774), 'Fall forward': np.float32(0.65109986), 'Fall left': np.float32(0.65746754), 'Fall right': np.float32(0.6550553), 'Fall sitting': np.float32(0.65332127), 'Hop': np.float32(0.65745854), 'Kneel': np.float32(0.65646327), 'Pick up object': np.float32(0.65645045), 'Sit down': np.float32(0.6646004), 'Walk': np.float32(0.6596185)}
t=40 | pred=Sit down | scores={'Fall backwards': np.float32(0.6578743), 'Fall forward': np.float32(0.65268505), 'Fall left': np.float32(0.65903014), 'Fall right': np.float32(0.65661305), 'Fall sitting': np.float32(0.65515083), 'Hop': np.float32(0.6593794), 'Kneel': np.float32(0.6577568), 'Pick up object': np.float32(0.65831494), 'Sit down': np.float32(0.6657008), 'Walk': np.float32(0.66128856)}
t=45 | pred=Sit down | scores={'Fall backwards': np.float32(0.6597774), 'Fall forward': np.float32(0.65399534), 'Fall left': np.float32(0.6609954), 'Fall right': np.float32(0.65830004), 'Fall sitting': np.float32(0.6573069), 'Hop': np.float32(0.66066134), 'Kneel': np.float32(0.65907097), 'Pick up object': np.float32(0.65961933), 'Sit down': np.float32(0.6671114), 'Walk': np.float32(0.66223603)}
t=50 | pred=Sit down | scores={'Fall backwards': np.float32(0.6602094), 'Fall forward': np.float32(0.6540197), 'Fall left': np.float32(0.6615428), 'Fall right': np.float32(0.6587342), 'Fall sitting': np.float32(0.6575575), 'Hop': np.float32(0.66096115), 'Kneel': np.float32(0.6592656), 'Pick up object': np.float32(0.6598726), 'Sit down': np.float32(0.66694736), 'Walk': np.float32(0.6620835)}
t=55 | pred=Sit down | scores={'Fall backwards': np.float32(0.6611095), 'Fall forward': np.float32(0.6546166), 'Fall left': np.float32(0.6625093), 'Fall right': np.float32(0.65995616), 'Fall sitting': np.float32(0.658423), 'Hop': np.float32(0.6613338), 'Kneel': np.float32(0.65969944), 'Pick up object': np.float32(0.6602786), 'Sit down': np.float32(0.6668636), 'Walk': np.float32(0.66212445)}
t=60 | pred=Sit down | scores={'Fall backwards': np.float32(0.6618583), 'Fall forward': np.float32(0.6547205), 'Fall left': np.float32(0.66319096), 'Fall right': np.float32(0.66088676), 'Fall sitting': np.float32(0.6593079), 'Hop': np.float32(0.6615066), 'Kneel': np.float32(0.6597813), 'Pick up object': np.float32(0.66062623), 'Sit down': np.float32(0.66645193), 'Walk': np.float32(0.6618796)}
t=65 | pred=Sit down | scores={'Fall backwards': np.float32(0.66202617), 'Fall forward': np.float32(0.65459216), 'Fall left': np.float32(0.6633937), 'Fall right': np.float32(0.6612904), 'Fall sitting': np.float32(0.6596453), 'Hop': np.float32(0.66134274), 'Kneel': np.float32(0.6596286), 'Pick up object': np.float32(0.660476), 'Sit down': np.float32(0.66590494), 'Walk': np.float32(0.6614177)}
t=70 | pred=Sit down | scores={'Fall backwards': np.float32(0.66202205), 'Fall forward': np.float32(0.6545544), 'Fall left': np.float32(0.6634707), 'Fall right': np.float32(0.6614535), 'Fall sitting': np.float32(0.659979), 'Hop': np.float32(0.66118675), 'Kneel': np.float32(0.6594999), 'Pick up object': np.float32(0.66033846), 'Sit down': np.float32(0.66533613), 'Walk': np.float32(0.66106135)}
t=75 | pred=Sit down | scores={'Fall backwards': np.float32(0.6619576), 'Fall forward': np.float32(0.65459824), 'Fall left': np.float32(0.6634605), 'Fall right': np.float32(0.6615247), 'Fall sitting': np.float32(0.66019696), 'Hop': np.float32(0.6611356), 'Kneel': np.float32(0.65950966), 'Pick up object': np.float32(0.66042155), 'Sit down': np.float32(0.6649406), 'Walk': np.float32(0.6608942)}
t=80 | pred=Sit down | scores={'Fall backwards': np.float32(0.66218513), 'Fall forward': np.float32(0.65461844), 'Fall left': np.float32(0.6636724), 'Fall right': np.float32(0.662075), 'Fall sitting': np.float32(0.6604592), 'Hop': np.float32(0.66109705), 'Kneel': np.float32(0.6596716), 'Pick up object': np.float32(0.6605609), 'Sit down': np.float32(0.6646855), 'Walk': np.float32(0.66066074)}
t=85 | pred=Sit down | scores={'Fall backwards': np.float32(0.6621385), 'Fall forward': np.float32(0.65453434), 'Fall left': np.float32(0.6636765), 'Fall right': np.float32(0.6623028), 'Fall sitting': np.float32(0.66082966), 'Hop': np.float32(0.66101587), 'Kneel': np.float32(0.6594993), 'Pick up object': np.float32(0.66058004), 'Sit down': np.float32(0.66445965), 'Walk': np.float32(0.66044766)}
t=90 | pred=Sit down | scores={'Fall backwards': np.float32(0.66204345), 'Fall forward': np.float32(0.65463305), 'Fall left': np.float32(0.66368663), 'Fall right': np.float32(0.66248024), 'Fall sitting': np.float32(0.6612928), 'Hop': np.float32(0.6609491), 'Kneel': np.float32(0.65927494), 'Pick up object': np.float32(0.6605342), 'Sit down': np.float32(0.66423863), 'Walk': np.float32(0.66027254)}
t=95 | pred=Sit down | scores={'Fall backwards': np.float32(0.661575), 'Fall forward': np.float32(0.65424526), 'Fall left': np.float32(0.663236), 'Fall right': np.float32(0.66220546), 'Fall sitting': np.float32(0.66118515), 'Hop': np.float32(0.6604746), 'Kneel': np.float32(0.65867376), 'Pick up object': np.float32(0.6600332), 'Sit down': np.float32(0.6636307), 'Walk': np.float32(0.6597379)}
t=100 | pred=Sit down | scores={'Fall backwards': np.float32(0.6608423), 'Fall forward': np.float32(0.65362495), 'Fall left': np.float32(0.662574), 'Fall right': np.float32(0.66176206), 'Fall sitting': np.float32(0.66093904), 'Hop': np.float32(0.65979296), 'Kneel': np.float32(0.65786034), 'Pick up object': np.float32(0.6593428), 'Sit down': np.float32(0.66279733), 'Walk': np.float32(0.6588882)}
