Ground Truth: Pick up object

t=15 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6288113), 'Fall forward': np.float32(0.6288021), 'Fall left': np.float32(0.6312901), 'Fall right': np.float32(0.6279508), 'Fall sitting': np.float32(0.62786824), 'Hop': np.float32(0.6326629), 'Kneel': np.float32(0.6291228), 'Pick up object': np.float32(0.6393096), 'Sit down': np.float32(0.6280515), 'Walk': np.float32(0.6379125)}
t=20 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6291671), 'Fall forward': np.float32(0.6287946), 'Fall left': np.float32(0.6317525), 'Fall right': np.float32(0.62815946), 'Fall sitting': np.float32(0.62948555), 'Hop': np.float32(0.631695), 'Kneel': np.float32(0.62935895), 'Pick up object': np.float32(0.6395103), 'Sit down': np.float32(0.6289649), 'Walk': np.float32(0.6372987)}
t=25 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6304745), 'Fall forward': np.float32(0.6296633), 'Fall left': np.float32(0.63305783), 'Fall right': np.float32(0.62938887), 'Fall sitting': np.float32(0.63087916), 'Hop': np.float32(0.6329907), 'Kneel': np.float32(0.6305844), 'Pick up object': np.float32(0.6408665), 'Sit down': np.float32(0.6306302), 'Walk': np.float32(0.63856524)}
t=30 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6317791), 'Fall forward': np.float32(0.63085896), 'Fall left': np.float32(0.63461345), 'Fall right': np.float32(0.6306975), 'Fall sitting': np.float32(0.63236934), 'Hop': np.float32(0.6351842), 'Kneel': np.float32(0.63248426), 'Pick up object': np.float32(0.64265054), 'Sit down': np.float32(0.63288206), 'Walk': np.float32(0.6406067)}
t=35 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6315849), 'Fall forward': np.float32(0.63084286), 'Fall left': np.float32(0.634618), 'Fall right': np.float32(0.6305561), 'Fall sitting': np.float32(0.6320009), 'Hop': np.float32(0.6361276), 'Kneel': np.float32(0.6329333), 'Pick up object': np.float32(0.6430438), 'Sit down': np.float32(0.6335621), 'Walk': np.float32(0.6415263)}
t=40 | pred=Pick up object | scores={'Fall backwards': np.float32(0.63195294), 'Fall forward': np.float32(0.6311646), 'Fall left': np.float32(0.6351265), 'Fall right': np.float32(0.63105476), 'Fall sitting': np.float32(0.63267165), 'Hop': np.float32(0.6375644), 'Kneel': np.float32(0.6341357), 'Pick up object': np.float32(0.6442556), 'Sit down': np.float32(0.6354411), 'Walk': np.float32(0.6427093)}
t=45 | pred=Pick up object | scores={'Fall backwards': np.float32(0.63257474), 'Fall forward': np.float32(0.6320133), 'Fall left': np.float32(0.635767), 'Fall right': np.float32(0.6317983), 'Fall sitting': np.float32(0.6333412), 'Hop': np.float32(0.6391553), 'Kneel': np.float32(0.63547355), 'Pick up object': np.float32(0.6453316), 'Sit down': np.float32(0.6369472), 'Walk': np.float32(0.6441688)}
t=50 | pred=Pick up object | scores={'Fall backwards': np.float32(0.63251925), 'Fall forward': np.float32(0.6324059), 'Fall left': np.float32(0.6357214), 'Fall right': np.float32(0.63183236), 'Fall sitting': np.float32(0.63342327), 'Hop': np.float32(0.6400393), 'Kneel': np.float32(0.636315), 'Pick up object': np.float32(0.64577514), 'Sit down': np.float32(0.63777924), 'Walk': np.float32(0.6448526)}
t=55 | pred=Pick up object | scores={'Fall backwards': np.float32(0.63159513), 'Fall forward': np.float32(0.63221246), 'Fall left': np.float32(0.63502514), 'Fall right': np.float32(0.63102967), 'Fall sitting': np.float32(0.6328917), 'Hop': np.float32(0.64016217), 'Kneel': np.float32(0.6363034), 'Pick up object': np.float32(0.64558935), 'Sit down': np.float32(0.6373982), 'Walk': np.float32(0.6448189)}
t=60 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6307527), 'Fall forward': np.float32(0.6319813), 'Fall left': np.float32(0.63451135), 'Fall right': np.float32(0.6305908), 'Fall sitting': np.float32(0.6324767), 'Hop': np.float32(0.6402133), 'Kneel': np.float32(0.6362924), 'Pick up object': np.float32(0.6454227), 'Sit down': np.float32(0.63703567), 'Walk': np.float32(0.6447888)}
t=65 | pred=Pick up object | scores={'Fall backwards': np.float32(0.62984616), 'Fall forward': np.float32(0.631383), 'Fall left': np.float32(0.6338373), 'Fall right': np.float32(0.6299784), 'Fall sitting': np.float32(0.632111), 'Hop': np.float32(0.6398045), 'Kneel': np.float32(0.63584095), 'Pick up object': np.float32(0.6449611), 'Sit down': np.float32(0.6366906), 'Walk': np.float32(0.6442526)}
