Ground Truth: Sit down

t=15 | pred=Hop | scores={'Fall backwards': np.float32(0.64861256), 'Fall forward': np.float32(0.64806014), 'Fall left': np.float32(0.6515128), 'Fall right': np.float32(0.64808786), 'Fall sitting': np.float32(0.6438201), 'Hop': np.float32(0.6617832), 'Kneel': np.float32(0.6533964), 'Pick up object': np.float32(0.6530339), 'Sit down': np.float32(0.65260506), 'Walk': np.float32(0.65934604)}
t=20 | pred=Hop | scores={'Fall backwards': np.float32(0.649427), 'Fall forward': np.float32(0.6492185), 'Fall left': np.float32(0.65289676), 'Fall right': np.float32(0.64930356), 'Fall sitting': np.float32(0.6467351), 'Hop': np.float32(0.66369593), 'Kneel': np.float32(0.65449375), 'Pick up object': np.float32(0.6550134), 'Sit down': np.float32(0.65418786), 'Walk': np.float32(0.6604301)}
t=25 | pred=Hop | scores={'Fall backwards': np.float32(0.6487161), 'Fall forward': np.float32(0.6497137), 'Fall left': np.float32(0.65283716), 'Fall right': np.float32(0.6487711), 'Fall sitting': np.float32(0.6497265), 'Hop': np.float32(0.66320294), 'Kneel': np.float32(0.65465677), 'Pick up object': np.float32(0.65516293), 'Sit down': np.float32(0.65462995), 'Walk': np.float32(0.65972763)}
t=30 | pred=Hop | scores={'Fall backwards': np.float32(0.6463266), 'Fall forward': np.float32(0.6481319), 'Fall left': np.float32(0.65157896), 'Fall right': np.float32(0.6468116), 'Fall sitting': np.float32(0.6502995), 'Hop': np.float32(0.6612809), 'Kneel': np.float32(0.65304923), 'Pick up object': np.float32(0.6537596), 'Sit down': np.float32(0.6539881), 'Walk': np.float32(0.6567829)}
t=35 | pred=Hop | scores={'Fall backwards': np.float32(0.64508045), 'Fall forward': np.float32(0.6474571), 'Fall left': np.float32(0.6506925), 'Fall right': np.float32(0.645545), 'Fall sitting': np.float32(0.65083754), 'Hop': np.float32(0.65984476), 'Kneel': np.float32(0.651861), 'Pick up object': np.float32(0.6530372), 'Sit down': np.float32(0.65354335), 'Walk': np.float32(0.6549531)}
t=40 | pred=Hop | scores={'Fall backwards': np.float32(0.64436835), 'Fall forward': np.float32(0.6469074), 'Fall left': np.float32(0.64986396), 'Fall right': np.float32(0.644586), 'Fall sitting': np.float32(0.6513822), 'Hop': np.float32(0.6589333), 'Kneel': np.float32(0.6511627), 'Pick up object': np.float32(0.652744), 'Sit down': np.float32(0.6537965), 'Walk': np.float32(0.65404075)}
t=45 | pred=Hop | scores={'Fall backwards': np.float32(0.64383215), 'Fall forward': np.float32(0.64631534), 'Fall left': np.float32(0.6494807), 'Fall right': np.float32(0.643971), 'Fall sitting': np.float32(0.6513382), 'Hop': np.float32(0.65855354), 'Kneel': np.float32(0.65078175), 'Pick up object': np.float32(0.65267366), 'Sit down': np.float32(0.654164), 'Walk': np.float32(0.65351355)}
t=50 | pred=Hop | scores={'Fall backwards': np.float32(0.6424151), 'Fall forward': np.float32(0.64450353), 'Fall left': np.float32(0.64837253), 'Fall right': np.float32(0.642426), 'Fall sitting': np.float32(0.6504509), 'Hop': np.float32(0.6574753), 'Kneel': np.float32(0.6494147), 'Pick up object': np.float32(0.651944), 'Sit down': np.float32(0.65403134), 'Walk': np.float32(0.6520772)}
t=55 | pred=Hop | scores={'Fall backwards': np.float32(0.6413172), 'Fall forward': np.float32(0.6432904), 'Fall left': np.float32(0.6473337), 'Fall right': np.float32(0.641181), 'Fall sitting': np.float32(0.64972615), 'Hop': np.float32(0.656498), 'Kneel': np.float32(0.6482848), 'Pick up object': np.float32(0.65125823), 'Sit down': np.float32(0.65343136), 'Walk': np.float32(0.65106785)}
t=60 | pred=Hop | scores={'Fall backwards': np.float32(0.6406681), 'Fall forward': np.float32(0.642638), 'Fall left': np.float32(0.6466981), 'Fall right': np.float32(0.6405417), 'Fall sitting': np.float32(0.64995617), 'Hop': np.float32(0.6555994), 'Kneel': np.float32(0.6477022), 'Pick up object': np.float32(0.65090406), 'Sit down': np.float32(0.6534706), 'Walk': np.float32(0.6503886)}
t=65 | pred=Hop | scores={'Fall backwards': np.float32(0.6408515), 'Fall forward': np.float32(0.6426539), 'Fall left': np.float32(0.64689714), 'Fall right': np.float32(0.64080894), 'Fall sitting': np.float32(0.6505079), 'Hop': np.float32(0.6553816), 'Kneel': np.float32(0.6479484), 'Pick up object': np.float32(0.6511087), 'Sit down': np.float32(0.65424335), 'Walk': np.float32(0.6503781)}
