Ground Truth: Walk

t=15 | pred=Walk | scores={'Fall backwards': np.float32(0.66146255), 'Fall forward': np.float32(0.66494113), 'Fall left': np.float32(0.66548336), 'Fall right': np.float32(0.6627718), 'Fall sitting': np.float32(0.64749223), 'Hop': np.float32(0.6672964), 'Kneel': np.float32(0.66377145), 'Pick up object': np.float32(0.66330856), 'Sit down': np.float32(0.6573868), 'Walk': np.float32(0.6681929)}
t=20 | pred=Walk | scores={'Fall backwards': np.float32(0.66199434), 'Fall forward': np.float32(0.6651686), 'Fall left': np.float32(0.66598463), 'Fall right': np.float32(0.662905), 'Fall sitting': np.float32(0.64810705), 'Hop': np.float32(0.66894656), 'Kneel': np.float32(0.6644851), 'Pick up object': np.float32(0.6644872), 'Sit down': np.float32(0.6576931), 'Walk': np.float32(0.6697087)}
t=25 | pred=Walk | scores={'Fall backwards': np.float32(0.66041297), 'Fall forward': np.float32(0.66380197), 'Fall left': np.float32(0.66435987), 'Fall right': np.float32(0.66110724), 'Fall sitting': np.float32(0.6469231), 'Hop': np.float32(0.6686396), 'Kneel': np.float32(0.66319555), 'Pick up object': np.float32(0.6630495), 'Sit down': np.float32(0.65622777), 'Walk': np.float32(0.6692546)}
t=30 | pred=Walk | scores={'Fall backwards': np.float32(0.65846163), 'Fall forward': np.float32(0.661202), 'Fall left': np.float32(0.6618932), 'Fall right': np.float32(0.65831953), 'Fall sitting': np.float32(0.64528227), 'Hop': np.float32(0.6670113), 'Kneel': np.float32(0.6606862), 'Pick up object': np.float32(0.66073596), 'Sit down': np.float32(0.6542506), 'Walk': np.float32(0.6675891)}
t=35 | pred=Walk | scores={'Fall backwards': np.float32(0.65706646), 'Fall forward': np.float32(0.6595143), 'Fall left': np.float32(0.66008985), 'Fall right': np.float32(0.65622556), 'Fall sitting': np.float32(0.64521503), 'Hop': np.float32(0.66533756), 'Kneel': np.float32(0.6590228), 'Pick up object': np.float32(0.65909475), 'Sit down': np.float32(0.6529349), 'Walk': np.float32(0.6659238)}
t=40 | pred=Walk | scores={'Fall backwards': np.float32(0.6576423), 'Fall forward': np.float32(0.66008276), 'Fall left': np.float32(0.6605736), 'Fall right': np.float32(0.6566669), 'Fall sitting': np.float32(0.64681274), 'Hop': np.float32(0.6666039), 'Kneel': np.float32(0.6598755), 'Pick up object': np.float32(0.65975285), 'Sit down': np.float32(0.65358156), 'Walk': np.float32(0.66696775)}
t=45 | pred=Hop | scores={'Fall backwards': np.float32(0.6582833), 'Fall forward': np.float32(0.66039205), 'Fall left': np.float32(0.6611757), 'Fall right': np.float32(0.6572977), 'Fall sitting': np.float32(0.64740777), 'Hop': np.float32(0.667498), 'Kneel': np.float32(0.6605), 'Pick up object': np.float32(0.6602385), 'Sit down': np.float32(0.6541683), 'Walk': np.float32(0.66749513)}
t=50 | pred=Hop | scores={'Fall backwards': np.float32(0.6581083), 'Fall forward': np.float32(0.66004205), 'Fall left': np.float32(0.6609964), 'Fall right': np.float32(0.6570931), 'Fall sitting': np.float32(0.6475335), 'Hop': np.float32(0.6677097), 'Kneel': np.float32(0.6604128), 'Pick up object': np.float32(0.6599886), 'Sit down': np.float32(0.6541519), 'Walk': np.float32(0.6672437)}
t=55 | pred=Hop | scores={'Fall backwards': np.float32(0.65760386), 'Fall forward': np.float32(0.6596952), 'Fall left': np.float32(0.66044134), 'Fall right': np.float32(0.6566315), 'Fall sitting': np.float32(0.6472696), 'Hop': np.float32(0.66746235), 'Kneel': np.float32(0.6601585), 'Pick up object': np.float32(0.6593059), 'Sit down': np.float32(0.65367407), 'Walk': np.float32(0.66688126)}
t=60 | pred=Hop | scores={'Fall backwards': np.float32(0.65735334), 'Fall forward': np.float32(0.65947586), 'Fall left': np.float32(0.6600833), 'Fall right': np.float32(0.6564829), 'Fall sitting': np.float32(0.6475712), 'Hop': np.float32(0.66780674), 'Kneel': np.float32(0.6602303), 'Pick up object': np.float32(0.65922135), 'Sit down': np.float32(0.6536911), 'Walk': np.float32(0.6668804)}
t=65 | pred=Hop | scores={'Fall backwards': np.float32(0.6572009), 'Fall forward': np.float32(0.6594119), 'Fall left': np.float32(0.6599978), 'Fall right': np.float32(0.6564315), 'Fall sitting': np.float32(0.6481538), 'Hop': np.float32(0.6683819), 'Kneel': np.float32(0.6604731), 'Pick up object': np.float32(0.65962154), 'Sit down': np.float32(0.65402174), 'Walk': np.float32(0.6670729)}
