Ground Truth: Fall backwards

t=15 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6630206), 'Fall forward': np.float32(0.6525511), 'Fall left': np.float32(0.66113204), 'Fall right': np.float32(0.6602952), 'Fall sitting': np.float32(0.6465727), 'Hop': np.float32(0.6579397), 'Kneel': np.float32(0.6567792), 'Pick up object': np.float32(0.6604378), 'Sit down': np.float32(0.6594967), 'Walk': np.float32(0.6617842)}
t=20 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6660902), 'Fall forward': np.float32(0.65562487), 'Fall left': np.float32(0.6640655), 'Fall right': np.float32(0.66346097), 'Fall sitting': np.float32(0.64831215), 'Hop': np.float32(0.6600829), 'Kneel': np.float32(0.6596797), 'Pick up object': np.float32(0.66217977), 'Sit down': np.float32(0.6611991), 'Walk': np.float32(0.6640534)}
t=25 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.66698337), 'Fall forward': np.float32(0.65682656), 'Fall left': np.float32(0.66511416), 'Fall right': np.float32(0.6643574), 'Fall sitting': np.float32(0.6488755), 'Hop': np.float32(0.660754), 'Kneel': np.float32(0.6608473), 'Pick up object': np.float32(0.6629479), 'Sit down': np.float32(0.66226983), 'Walk': np.float32(0.6647735)}
t=30 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6682729), 'Fall forward': np.float32(0.65823066), 'Fall left': np.float32(0.66657156), 'Fall right': np.float32(0.6655033), 'Fall sitting': np.float32(0.65067804), 'Hop': np.float32(0.6626255), 'Kneel': np.float32(0.6625693), 'Pick up object': np.float32(0.665265), 'Sit down': np.float32(0.664511), 'Walk': np.float32(0.666186)}
t=35 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.668773), 'Fall forward': np.float32(0.65827286), 'Fall left': np.float32(0.6669573), 'Fall right': np.float32(0.66575736), 'Fall sitting': np.float32(0.65152717), 'Hop': np.float32(0.6627843), 'Kneel': np.float32(0.66321075), 'Pick up object': np.float32(0.66606486), 'Sit down': np.float32(0.66537684), 'Walk': np.float32(0.6659735)}
t=40 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.66903055), 'Fall forward': np.float32(0.65787613), 'Fall left': np.float32(0.6673764), 'Fall right': np.float32(0.6657734), 'Fall sitting': np.float32(0.65166754), 'Hop': np.float32(0.66200197), 'Kneel': np.float32(0.66368306), 'Pick up object': np.float32(0.6661485), 'Sit down': np.float32(0.66631204), 'Walk': np.float32(0.66508925)}
t=45 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6697905), 'Fall forward': np.float32(0.658166), 'Fall left': np.float32(0.6681466), 'Fall right': np.float32(0.6663498), 'Fall sitting': np.float32(0.65228117), 'Hop': np.float32(0.6614366), 'Kneel': np.float32(0.6643014), 'Pick up object': np.float32(0.6662911), 'Sit down': np.float32(0.66688806), 'Walk': np.float32(0.6643943)}
t=50 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6729485), 'Fall forward': np.float32(0.6612984), 'Fall left': np.float32(0.6712526), 'Fall right': np.float32(0.66932875), 'Fall sitting': np.float32(0.65545785), 'Hop': np.float32(0.6632053), 'Kneel': np.float32(0.6673058), 'Pick up object': np.float32(0.6689232), 'Sit down': np.float32(0.6691425), 'Walk': np.float32(0.6662105)}
t=55 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6741905), 'Fall forward': np.float32(0.6622593), 'Fall left': np.float32(0.6725859), 'Fall right': np.float32(0.6702529), 'Fall sitting': np.float32(0.6569449), 'Hop': np.float32(0.66328), 'Kneel': np.float32(0.6681805), 'Pick up object': np.float32(0.6698561), 'Sit down': np.float32(0.670024), 'Walk': np.float32(0.6663124)}
t=60 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67508954), 'Fall forward': np.float32(0.6627288), 'Fall left': np.float32(0.6733738), 'Fall right': np.float32(0.6707848), 'Fall sitting': np.float32(0.6578497), 'Hop': np.float32(0.6628236), 'Kneel': np.float32(0.668331), 'Pick up object': np.float32(0.670268), 'Sit down': np.float32(0.6699105), 'Walk': np.float32(0.66589326)}
t=65 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6758889), 'Fall forward': np.float32(0.66337097), 'Fall left': np.float32(0.6739494), 'Fall right': np.float32(0.6712735), 'Fall sitting': np.float32(0.6588138), 'Hop': np.float32(0.6628967), 'Kneel': np.float32(0.66841257), 'Pick up object': np.float32(0.67077446), 'Sit down': np.float32(0.6698851), 'Walk': np.float32(0.6661981)}
