Ground Truth: Fall left

t=15 | pred=Walk | scores={'Fall backwards': np.float32(0.65889716), 'Fall forward': np.float32(0.64769965), 'Fall left': np.float32(0.6589463), 'Fall right': np.float32(0.6567528), 'Fall sitting': np.float32(0.64325297), 'Hop': np.float32(0.65414083), 'Kneel': np.float32(0.65241146), 'Pick up object': np.float32(0.65564215), 'Sit down': np.float32(0.6567096), 'Walk': np.float32(0.65926)}
t=20 | pred=Walk | scores={'Fall backwards': np.float32(0.6598315), 'Fall forward': np.float32(0.64865226), 'Fall left': np.float32(0.65979695), 'Fall right': np.float32(0.6575699), 'Fall sitting': np.float32(0.6434422), 'Hop': np.float32(0.6544796), 'Kneel': np.float32(0.65328807), 'Pick up object': np.float32(0.6565192), 'Sit down': np.float32(0.657032), 'Walk': np.float32(0.65991706)}
t=25 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.66028464), 'Fall forward': np.float32(0.6491558), 'Fall left': np.float32(0.6602244), 'Fall right': np.float32(0.6580198), 'Fall sitting': np.float32(0.6436072), 'Hop': np.float32(0.65441597), 'Kneel': np.float32(0.65363866), 'Pick up object': np.float32(0.65686256), 'Sit down': np.float32(0.65710574), 'Walk': np.float32(0.65994227)}
t=30 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6610012), 'Fall forward': np.float32(0.650149), 'Fall left': np.float32(0.6608709), 'Fall right': np.float32(0.6585926), 'Fall sitting': np.float32(0.64373165), 'Hop': np.float32(0.6545021), 'Kneel': np.float32(0.65445465), 'Pick up object': np.float32(0.65711063), 'Sit down': np.float32(0.6572647), 'Walk': np.float32(0.6601727)}
t=35 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.66170424), 'Fall forward': np.float32(0.65118635), 'Fall left': np.float32(0.66154766), 'Fall right': np.float32(0.65918756), 'Fall sitting': np.float32(0.6437702), 'Hop': np.float32(0.6548445), 'Kneel': np.float32(0.6552138), 'Pick up object': np.float32(0.6574909), 'Sit down': np.float32(0.65733695), 'Walk': np.float32(0.66059786)}
t=40 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.662538), 'Fall forward': np.float32(0.652791), 'Fall left': np.float32(0.6624676), 'Fall right': np.float32(0.6599471), 'Fall sitting': np.float32(0.6442123), 'Hop': np.float32(0.65631527), 'Kneel': np.float32(0.6564399), 'Pick up object': np.float32(0.6587639), 'Sit down': np.float32(0.65794593), 'Walk': np.float32(0.6620219)}
t=45 | pred=Fall left | scores={'Fall backwards': np.float32(0.662607), 'Fall forward': np.float32(0.6531624), 'Fall left': np.float32(0.66266334), 'Fall right': np.float32(0.65988266), 'Fall sitting': np.float32(0.64472026), 'Hop': np.float32(0.65705085), 'Kneel': np.float32(0.65668494), 'Pick up object': np.float32(0.6594587), 'Sit down': np.float32(0.6583063), 'Walk': np.float32(0.6626074)}
t=50 | pred=Walk | scores={'Fall backwards': np.float32(0.66260487), 'Fall forward': np.float32(0.6534037), 'Fall left': np.float32(0.66276115), 'Fall right': np.float32(0.6597661), 'Fall sitting': np.float32(0.64531857), 'Hop': np.float32(0.65761614), 'Kneel': np.float32(0.6568012), 'Pick up object': np.float32(0.66000956), 'Sit down': np.float32(0.65866435), 'Walk': np.float32(0.6629238)}
t=55 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6648824), 'Fall forward': np.float32(0.65529305), 'Fall left': np.float32(0.6648089), 'Fall right': np.float32(0.6619358), 'Fall sitting': np.float32(0.64791113), 'Hop': np.float32(0.65947443), 'Kneel': np.float32(0.65883493), 'Pick up object': np.float32(0.6625242), 'Sit down': np.float32(0.6611986), 'Walk': np.float32(0.66456133)}
t=60 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6667105), 'Fall forward': np.float32(0.65677017), 'Fall left': np.float32(0.666555), 'Fall right': np.float32(0.6635443), 'Fall sitting': np.float32(0.64945674), 'Hop': np.float32(0.66038734), 'Kneel': np.float32(0.6603633), 'Pick up object': np.float32(0.6638566), 'Sit down': np.float32(0.66307193), 'Walk': np.float32(0.66530967)}
t=65 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.66701823), 'Fall forward': np.float32(0.65661424), 'Fall left': np.float32(0.66674954), 'Fall right': np.float32(0.6635773), 'Fall sitting': np.float32(0.6492888), 'Hop': np.float32(0.65978605), 'Kneel': np.float32(0.66040593), 'Pick up object': np.float32(0.6635637), 'Sit down': np.float32(0.66340804), 'Walk': np.float32(0.66455394)}
t=70 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.66817284), 'Fall forward': np.float32(0.657393), 'Fall left': np.float32(0.66775775), 'Fall right': np.float32(0.6645749), 'Fall sitting': np.float32(0.64995563), 'Hop': np.float32(0.66006976), 'Kneel': np.float32(0.66133434), 'Pick up object': np.float32(0.664281), 'Sit down': np.float32(0.6642327), 'Walk': np.float32(0.6646996)}
