Ground Truth: Pick up object

t=15 | pred=Walk | scores={'Fall backwards': np.float32(0.66323936), 'Fall forward': np.float32(0.66311663), 'Fall left': np.float32(0.66448057), 'Fall right': np.float32(0.6640948), 'Fall sitting': np.float32(0.64461493), 'Hop': np.float32(0.6622674), 'Kneel': np.float32(0.6635132), 'Pick up object': np.float32(0.6634069), 'Sit down': np.float32(0.6570666), 'Walk': np.float32(0.66731447)}
t=20 | pred=Walk | scores={'Fall backwards': np.float32(0.6634334), 'Fall forward': np.float32(0.66297686), 'Fall left': np.float32(0.6646305), 'Fall right': np.float32(0.6640651), 'Fall sitting': np.float32(0.6451539), 'Hop': np.float32(0.66223145), 'Kneel': np.float32(0.6633376), 'Pick up object': np.float32(0.6632911), 'Sit down': np.float32(0.6570205), 'Walk': np.float32(0.667134)}
t=25 | pred=Walk | scores={'Fall backwards': np.float32(0.6635935), 'Fall forward': np.float32(0.6630228), 'Fall left': np.float32(0.6647094), 'Fall right': np.float32(0.6639854), 'Fall sitting': np.float32(0.64510435), 'Hop': np.float32(0.66222036), 'Kneel': np.float32(0.66312826), 'Pick up object': np.float32(0.6632188), 'Sit down': np.float32(0.65680885), 'Walk': np.float32(0.66721636)}
t=30 | pred=Walk | scores={'Fall backwards': np.float32(0.6631428), 'Fall forward': np.float32(0.66264135), 'Fall left': np.float32(0.6642509), 'Fall right': np.float32(0.6632472), 'Fall sitting': np.float32(0.64425415), 'Hop': np.float32(0.66162795), 'Kneel': np.float32(0.6624182), 'Pick up object': np.float32(0.6625684), 'Sit down': np.float32(0.65597135), 'Walk': np.float32(0.666708)}
t=35 | pred=Walk | scores={'Fall backwards': np.float32(0.6623034), 'Fall forward': np.float32(0.6619554), 'Fall left': np.float32(0.66336733), 'Fall right': np.float32(0.66219336), 'Fall sitting': np.float32(0.6432495), 'Hop': np.float32(0.66069174), 'Kneel': np.float32(0.6615476), 'Pick up object': np.float32(0.6616008), 'Sit down': np.float32(0.65503865), 'Walk': np.float32(0.66573554)}
t=40 | pred=Walk | scores={'Fall backwards': np.float32(0.66227514), 'Fall forward': np.float32(0.6614871), 'Fall left': np.float32(0.6632443), 'Fall right': np.float32(0.6618084), 'Fall sitting': np.float32(0.6433589), 'Hop': np.float32(0.6605434), 'Kneel': np.float32(0.6612286), 'Pick up object': np.float32(0.6616997), 'Sit down': np.float32(0.6555829), 'Walk': np.float32(0.6655643)}
t=45 | pred=Walk | scores={'Fall backwards': np.float32(0.6625738), 'Fall forward': np.float32(0.66116923), 'Fall left': np.float32(0.66353226), 'Fall right': np.float32(0.66168696), 'Fall sitting': np.float32(0.64439005), 'Hop': np.float32(0.6608417), 'Kneel': np.float32(0.6612865), 'Pick up object': np.float32(0.66241884), 'Sit down': np.float32(0.6571466), 'Walk': np.float32(0.66555077)}
t=50 | pred=Walk | scores={'Fall backwards': np.float32(0.6625134), 'Fall forward': np.float32(0.6604638), 'Fall left': np.float32(0.66347104), 'Fall right': np.float32(0.66110367), 'Fall sitting': np.float32(0.6451183), 'Hop': np.float32(0.66071415), 'Kneel': np.float32(0.66087383), 'Pick up object': np.float32(0.6629479), 'Sit down': np.float32(0.65807563), 'Walk': np.float32(0.66492057)}
t=55 | pred=Walk | scores={'Fall backwards': np.float32(0.66451126), 'Fall forward': np.float32(0.66251206), 'Fall left': np.float32(0.66537356), 'Fall right': np.float32(0.662903), 'Fall sitting': np.float32(0.64685625), 'Hop': np.float32(0.6625587), 'Kneel': np.float32(0.66278905), 'Pick up object': np.float32(0.6648628), 'Sit down': np.float32(0.6595619), 'Walk': np.float32(0.66665405)}
t=60 | pred=Walk | scores={'Fall backwards': np.float32(0.66680545), 'Fall forward': np.float32(0.6649765), 'Fall left': np.float32(0.6675238), 'Fall right': np.float32(0.66511583), 'Fall sitting': np.float32(0.6486247), 'Hop': np.float32(0.66470826), 'Kneel': np.float32(0.66494286), 'Pick up object': np.float32(0.6669697), 'Sit down': np.float32(0.6609652), 'Walk': np.float32(0.6687231)}
t=65 | pred=Walk | scores={'Fall backwards': np.float32(0.6676446), 'Fall forward': np.float32(0.6660208), 'Fall left': np.float32(0.66831475), 'Fall right': np.float32(0.6658309), 'Fall sitting': np.float32(0.6493699), 'Hop': np.float32(0.666027), 'Kneel': np.float32(0.6658647), 'Pick up object': np.float32(0.6681397), 'Sit down': np.float32(0.6613955), 'Walk': np.float32(0.66985554)}
t=70 | pred=Walk | scores={'Fall backwards': np.float32(0.6681723), 'Fall forward': np.float32(0.66640615), 'Fall left': np.float32(0.6687418), 'Fall right': np.float32(0.66611505), 'Fall sitting': np.float32(0.6498369), 'Hop': np.float32(0.6669081), 'Kneel': np.float32(0.66624945), 'Pick up object': np.float32(0.66913587), 'Sit down': np.float32(0.6618917), 'Walk': np.float32(0.6704514)}
t=75 | pred=Walk | scores={'Fall backwards': np.float32(0.668428), 'Fall forward': np.float32(0.66613746), 'Fall left': np.float32(0.6689491), 'Fall right': np.float32(0.66631955), 'Fall sitting': np.float32(0.64998466), 'Hop': np.float32(0.6676018), 'Kneel': np.float32(0.6662832), 'Pick up object': np.float32(0.6701191), 'Sit down': np.float32(0.6625177), 'Walk': np.float32(0.6707311)}
t=80 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6673843), 'Fall forward': np.float32(0.6645335), 'Fall left': np.float32(0.6677512), 'Fall right': np.float32(0.66519266), 'Fall sitting': np.float32(0.6491625), 'Hop': np.float32(0.6666859), 'Kneel': np.float32(0.66484), 'Pick up object': np.float32(0.6695691), 'Sit down': np.float32(0.66168886), 'Walk': np.float32(0.669446)}
t=85 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6668016), 'Fall forward': np.float32(0.66365767), 'Fall left': np.float32(0.6670188), 'Fall right': np.float32(0.664447), 'Fall sitting': np.float32(0.64864033), 'Hop': np.float32(0.6657826), 'Kneel': np.float32(0.66389966), 'Pick up object': np.float32(0.66897076), 'Sit down': np.float32(0.66110206), 'Walk': np.float32(0.6685135)}
