Ground Truth: Sit down

t=15 | pred=Pick up object | scores={'Fall backwards': np.float32(0.64221793), 'Fall forward': np.float32(0.6404034), 'Fall left': np.float32(0.64569485), 'Fall right': np.float32(0.64242625), 'Fall sitting': np.float32(0.64835095), 'Hop': np.float32(0.6537414), 'Kneel': np.float32(0.6492138), 'Pick up object': np.float32(0.654114), 'Sit down': np.float32(0.6515455), 'Walk': np.float32(0.6525953)}
t=20 | pred=Hop | scores={'Fall backwards': np.float32(0.6448131), 'Fall forward': np.float32(0.6434449), 'Fall left': np.float32(0.6483201), 'Fall right': np.float32(0.64500636), 'Fall sitting': np.float32(0.6495357), 'Hop': np.float32(0.657618), 'Kneel': np.float32(0.653115), 'Pick up object': np.float32(0.6566204), 'Sit down': np.float32(0.65581137), 'Walk': np.float32(0.65557057)}
t=25 | pred=Hop | scores={'Fall backwards': np.float32(0.64870894), 'Fall forward': np.float32(0.64714175), 'Fall left': np.float32(0.65156853), 'Fall right': np.float32(0.6488275), 'Fall sitting': np.float32(0.6512682), 'Hop': np.float32(0.66070294), 'Kneel': np.float32(0.65681034), 'Pick up object': np.float32(0.6597669), 'Sit down': np.float32(0.6595609), 'Walk': np.float32(0.6586419)}
t=30 | pred=Sit down | scores={'Fall backwards': np.float32(0.65201235), 'Fall forward': np.float32(0.650504), 'Fall left': np.float32(0.6543983), 'Fall right': np.float32(0.65210354), 'Fall sitting': np.float32(0.6533593), 'Hop': np.float32(0.66248167), 'Kneel': np.float32(0.6599795), 'Pick up object': np.float32(0.6618747), 'Sit down': np.float32(0.66370076), 'Walk': np.float32(0.660584)}
t=35 | pred=Sit down | scores={'Fall backwards': np.float32(0.6547034), 'Fall forward': np.float32(0.6526733), 'Fall left': np.float32(0.656898), 'Fall right': np.float32(0.65478426), 'Fall sitting': np.float32(0.65500647), 'Hop': np.float32(0.6626944), 'Kneel': np.float32(0.6619996), 'Pick up object': np.float32(0.6630226), 'Sit down': np.float32(0.66692644), 'Walk': np.float32(0.66116184)}
t=40 | pred=Sit down | scores={'Fall backwards': np.float32(0.6558925), 'Fall forward': np.float32(0.65272045), 'Fall left': np.float32(0.6578284), 'Fall right': np.float32(0.6559634), 'Fall sitting': np.float32(0.6557749), 'Hop': np.float32(0.66173685), 'Kneel': np.float32(0.66245323), 'Pick up object': np.float32(0.663656), 'Sit down': np.float32(0.66892433), 'Walk': np.float32(0.66041726)}
t=45 | pred=Sit down | scores={'Fall backwards': np.float32(0.65539235), 'Fall forward': np.float32(0.6517075), 'Fall left': np.float32(0.6574104), 'Fall right': np.float32(0.65555245), 'Fall sitting': np.float32(0.6557761), 'Hop': np.float32(0.6604369), 'Kneel': np.float32(0.6616983), 'Pick up object': np.float32(0.6630954), 'Sit down': np.float32(0.6690739), 'Walk': np.float32(0.6590986)}
t=50 | pred=Sit down | scores={'Fall backwards': np.float32(0.6549675), 'Fall forward': np.float32(0.65082496), 'Fall left': np.float32(0.6572608), 'Fall right': np.float32(0.6552877), 'Fall sitting': np.float32(0.6555274), 'Hop': np.float32(0.6593928), 'Kneel': np.float32(0.66119856), 'Pick up object': np.float32(0.6626301), 'Sit down': np.float32(0.6691812), 'Walk': np.float32(0.65806973)}
t=55 | pred=Sit down | scores={'Fall backwards': np.float32(0.6560383), 'Fall forward': np.float32(0.6511776), 'Fall left': np.float32(0.65832), 'Fall right': np.float32(0.65641767), 'Fall sitting': np.float32(0.6563448), 'Hop': np.float32(0.65963006), 'Kneel': np.float32(0.66190463), 'Pick up object': np.float32(0.66334), 'Sit down': np.float32(0.67001957), 'Walk': np.float32(0.65843195)}
t=60 | pred=Sit down | scores={'Fall backwards': np.float32(0.65671235), 'Fall forward': np.float32(0.6508805), 'Fall left': np.float32(0.65886205), 'Fall right': np.float32(0.6571195), 'Fall sitting': np.float32(0.65673196), 'Hop': np.float32(0.65918946), 'Kneel': np.float32(0.6619993), 'Pick up object': np.float32(0.6633682), 'Sit down': np.float32(0.6706005), 'Walk': np.float32(0.6582686)}
t=65 | pred=Sit down | scores={'Fall backwards': np.float32(0.65764827), 'Fall forward': np.float32(0.65155613), 'Fall left': np.float32(0.6596574), 'Fall right': np.float32(0.6580793), 'Fall sitting': np.float32(0.6571145), 'Hop': np.float32(0.65957123), 'Kneel': np.float32(0.66259295), 'Pick up object': np.float32(0.66367054), 'Sit down': np.float32(0.67103034), 'Walk': np.float32(0.6589413)}
t=70 | pred=Sit down | scores={'Fall backwards': np.float32(0.6576924), 'Fall forward': np.float32(0.65130335), 'Fall left': np.float32(0.659688), 'Fall right': np.float32(0.6582042), 'Fall sitting': np.float32(0.6571393), 'Hop': np.float32(0.65909153), 'Kneel': np.float32(0.6623419), 'Pick up object': np.float32(0.6633086), 'Sit down': np.float32(0.67082477), 'Walk': np.float32(0.65873283)}
t=75 | pred=Sit down | scores={'Fall backwards': np.float32(0.6578259), 'Fall forward': np.float32(0.6511895), 'Fall left': np.float32(0.65983903), 'Fall right': np.float32(0.6583696), 'Fall sitting': np.float32(0.6573272), 'Hop': np.float32(0.65864897), 'Kneel': np.float32(0.6623349), 'Pick up object': np.float32(0.6630544), 'Sit down': np.float32(0.6708546), 'Walk': np.float32(0.6585619)}
t=80 | pred=Sit down | scores={'Fall backwards': np.float32(0.65760756), 'Fall forward': np.float32(0.6507908), 'Fall left': np.float32(0.65969026), 'Fall right': np.float32(0.65820074), 'Fall sitting': np.float32(0.6574297), 'Hop': np.float32(0.6577562), 'Kneel': np.float32(0.66200835), 'Pick up object': np.float32(0.6625003), 'Sit down': np.float32(0.6707546), 'Walk': np.float32(0.658031)}
t=85 | pred=Sit down | scores={'Fall backwards': np.float32(0.6591706), 'Fall forward': np.float32(0.65209734), 'Fall left': np.float32(0.66103196), 'Fall right': np.float32(0.6596207), 'Fall sitting': np.float32(0.6588519), 'Hop': np.float32(0.6582742), 'Kneel': np.float32(0.66332364), 'Pick up object': np.float32(0.6634944), 'Sit down': np.float32(0.67228705), 'Walk': np.float32(0.659001)}
t=90 | pred=Sit down | scores={'Fall backwards': np.float32(0.66050065), 'Fall forward': np.float32(0.65298355), 'Fall left': np.float32(0.66204774), 'Fall right': np.float32(0.6608123), 'Fall sitting': np.float32(0.6603397), 'Hop': np.float32(0.6585658), 'Kneel': np.float32(0.6642882), 'Pick up object': np.float32(0.6642677), 'Sit down': np.float32(0.6736888), 'Walk': np.float32(0.65969485)}
