Ground Truth: Fall forward

t=15 | pred=Hop | scores={'Fall backwards': np.float32(0.58951426), 'Fall forward': np.float32(0.5980015), 'Fall left': np.float32(0.59023994), 'Fall right': np.float32(0.59833884), 'Fall sitting': np.float32(0.5721203), 'Hop': np.float32(0.6070602), 'Kneel': np.float32(0.5944127), 'Pick up object': np.float32(0.59746176), 'Sit down': np.float32(0.5859849), 'Walk': np.float32(0.6047122)}
t=20 | pred=Hop | scores={'Fall backwards': np.float32(0.5907602), 'Fall forward': np.float32(0.5989504), 'Fall left': np.float32(0.591321), 'Fall right': np.float32(0.59926707), 'Fall sitting': np.float32(0.5725164), 'Hop': np.float32(0.6077572), 'Kneel': np.float32(0.5953346), 'Pick up object': np.float32(0.59843016), 'Sit down': np.float32(0.5869859), 'Walk': np.float32(0.6056052)}
t=25 | pred=Hop | scores={'Fall backwards': np.float32(0.5913639), 'Fall forward': np.float32(0.59934145), 'Fall left': np.float32(0.5919289), 'Fall right': np.float32(0.5997155), 'Fall sitting': np.float32(0.57300246), 'Hop': np.float32(0.60831624), 'Kneel': np.float32(0.5958565), 'Pick up object': np.float32(0.59906524), 'Sit down': np.float32(0.5876157), 'Walk': np.float32(0.6061878)}
t=30 | pred=Hop | scores={'Fall backwards': np.float32(0.59201205), 'Fall forward': np.float32(0.5999506), 'Fall left': np.float32(0.5928274), 'Fall right': np.float32(0.6004177), 'Fall sitting': np.float32(0.574002), 'Hop': np.float32(0.60938007), 'Kneel': np.float32(0.59671414), 'Pick up object': np.float32(0.6000565), 'Sit down': np.float32(0.5885346), 'Walk': np.float32(0.6072677)}
t=35 | pred=Hop | scores={'Fall backwards': np.float32(0.59168977), 'Fall forward': np.float32(0.59961647), 'Fall left': np.float32(0.59266084), 'Fall right': np.float32(0.60020554), 'Fall sitting': np.float32(0.57382417), 'Hop': np.float32(0.6094566), 'Kneel': np.float32(0.59654284), 'Pick up object': np.float32(0.59989), 'Sit down': np.float32(0.58843595), 'Walk': np.float32(0.6073309)}
t=40 | pred=Hop | scores={'Fall backwards': np.float32(0.59183073), 'Fall forward': np.float32(0.59949356), 'Fall left': np.float32(0.59279495), 'Fall right': np.float32(0.6003152), 'Fall sitting': np.float32(0.5740458), 'Hop': np.float32(0.60979706), 'Kneel': np.float32(0.59664834), 'Pick up object': np.float32(0.6000396), 'Sit down': np.float32(0.5888215), 'Walk': np.float32(0.6076604)}
t=45 | pred=Hop | scores={'Fall backwards': np.float32(0.59193575), 'Fall forward': np.float32(0.5993652), 'Fall left': np.float32(0.5928612), 'Fall right': np.float32(0.60032415), 'Fall sitting': np.float32(0.5743969), 'Hop': np.float32(0.6100607), 'Kneel': np.float32(0.5966917), 'Pick up object': np.float32(0.6001726), 'Sit down': np.float32(0.58902764), 'Walk': np.float32(0.6079139)}
t=50 | pred=Hop | scores={'Fall backwards': np.float32(0.59222776), 'Fall forward': np.float32(0.5994497), 'Fall left': np.float32(0.5931051), 'Fall right': np.float32(0.6005168), 'Fall sitting': np.float32(0.5751655), 'Hop': np.float32(0.610683), 'Kneel': np.float32(0.5969599), 'Pick up object': np.float32(0.60065395), 'Sit down': np.float32(0.5895587), 'Walk': np.float32(0.60852677)}
t=55 | pred=Hop | scores={'Fall backwards': np.float32(0.59341484), 'Fall forward': np.float32(0.60050416), 'Fall left': np.float32(0.59426683), 'Fall right': np.float32(0.6015755), 'Fall sitting': np.float32(0.5766665), 'Hop': np.float32(0.6121377), 'Kneel': np.float32(0.5980887), 'Pick up object': np.float32(0.6021055), 'Sit down': np.float32(0.5908492), 'Walk': np.float32(0.60994685)}
t=60 | pred=Hop | scores={'Fall backwards': np.float32(0.5945536), 'Fall forward': np.float32(0.60154915), 'Fall left': np.float32(0.59548944), 'Fall right': np.float32(0.60267717), 'Fall sitting': np.float32(0.578346), 'Hop': np.float32(0.61366296), 'Kneel': np.float32(0.5991899), 'Pick up object': np.float32(0.6036131), 'Sit down': np.float32(0.5923766), 'Walk': np.float32(0.61129326)}
t=65 | pred=Hop | scores={'Fall backwards': np.float32(0.59522337), 'Fall forward': np.float32(0.6021059), 'Fall left': np.float32(0.5963217), 'Fall right': np.float32(0.60337484), 'Fall sitting': np.float32(0.5797759), 'Hop': np.float32(0.6145268), 'Kneel': np.float32(0.59987795), 'Pick up object': np.float32(0.60458076), 'Sit down': np.float32(0.59356946), 'Walk': np.float32(0.6117963)}
