Ground Truth: Pick up object

t=15 | pred=Hop | scores={'Fall backwards': np.float32(0.58922535), 'Fall forward': np.float32(0.5934126), 'Fall left': np.float32(0.5900475), 'Fall right': np.float32(0.5988956), 'Fall sitting': np.float32(0.5804522), 'Hop': np.float32(0.6107045), 'Kneel': np.float32(0.5968873), 'Pick up object': np.float32(0.59911364), 'Sit down': np.float32(0.5920507), 'Walk': np.float32(0.6087517)}
t=20 | pred=Hop | scores={'Fall backwards': np.float32(0.58920866), 'Fall forward': np.float32(0.59238577), 'Fall left': np.float32(0.59052306), 'Fall right': np.float32(0.5989458), 'Fall sitting': np.float32(0.58060414), 'Hop': np.float32(0.612008), 'Kneel': np.float32(0.5973032), 'Pick up object': np.float32(0.59962267), 'Sit down': np.float32(0.59372383), 'Walk': np.float32(0.60902953)}
t=25 | pred=Hop | scores={'Fall backwards': np.float32(0.5904167), 'Fall forward': np.float32(0.593664), 'Fall left': np.float32(0.5917865), 'Fall right': np.float32(0.5999174), 'Fall sitting': np.float32(0.5822192), 'Hop': np.float32(0.6136875), 'Kneel': np.float32(0.5984437), 'Pick up object': np.float32(0.60086745), 'Sit down': np.float32(0.59531844), 'Walk': np.float32(0.6100148)}
t=30 | pred=Hop | scores={'Fall backwards': np.float32(0.59095913), 'Fall forward': np.float32(0.5945065), 'Fall left': np.float32(0.59250796), 'Fall right': np.float32(0.60007995), 'Fall sitting': np.float32(0.5849081), 'Hop': np.float32(0.6145531), 'Kneel': np.float32(0.5988224), 'Pick up object': np.float32(0.60167414), 'Sit down': np.float32(0.5965222), 'Walk': np.float32(0.61021286)}
t=35 | pred=Hop | scores={'Fall backwards': np.float32(0.5922308), 'Fall forward': np.float32(0.5961821), 'Fall left': np.float32(0.5935133), 'Fall right': np.float32(0.60113215), 'Fall sitting': np.float32(0.58693504), 'Hop': np.float32(0.61557925), 'Kneel': np.float32(0.599821), 'Pick up object': np.float32(0.60287863), 'Sit down': np.float32(0.5975532), 'Walk': np.float32(0.6109725)}
t=40 | pred=Hop | scores={'Fall backwards': np.float32(0.59398144), 'Fall forward': np.float32(0.5979742), 'Fall left': np.float32(0.5949491), 'Fall right': np.float32(0.60289663), 'Fall sitting': np.float32(0.5885006), 'Hop': np.float32(0.61717343), 'Kneel': np.float32(0.60148746), 'Pick up object': np.float32(0.60449374), 'Sit down': np.float32(0.598905), 'Walk': np.float32(0.6122137)}
t=45 | pred=Hop | scores={'Fall backwards': np.float32(0.5938883), 'Fall forward': np.float32(0.5978381), 'Fall left': np.float32(0.5947905), 'Fall right': np.float32(0.6029945), 'Fall sitting': np.float32(0.58819175), 'Hop': np.float32(0.61696815), 'Kneel': np.float32(0.6015955), 'Pick up object': np.float32(0.6045832), 'Sit down': np.float32(0.5990284), 'Walk': np.float32(0.6116847)}
t=50 | pred=Hop | scores={'Fall backwards': np.float32(0.5948546), 'Fall forward': np.float32(0.5984622), 'Fall left': np.float32(0.595682), 'Fall right': np.float32(0.6040168), 'Fall sitting': np.float32(0.5893237), 'Hop': np.float32(0.61760294), 'Kneel': np.float32(0.60255826), 'Pick up object': np.float32(0.60604763), 'Sit down': np.float32(0.60066175), 'Walk': np.float32(0.6119145)}
t=55 | pred=Hop | scores={'Fall backwards': np.float32(0.5962584), 'Fall forward': np.float32(0.5992037), 'Fall left': np.float32(0.59707314), 'Fall right': np.float32(0.6053636), 'Fall sitting': np.float32(0.5907434), 'Hop': np.float32(0.6186163), 'Kneel': np.float32(0.6039976), 'Pick up object': np.float32(0.6080863), 'Sit down': np.float32(0.6032133), 'Walk': np.float32(0.6128235)}
t=60 | pred=Hop | scores={'Fall backwards': np.float32(0.59681064), 'Fall forward': np.float32(0.59894097), 'Fall left': np.float32(0.5973688), 'Fall right': np.float32(0.6058786), 'Fall sitting': np.float32(0.5911803), 'Hop': np.float32(0.6185154), 'Kneel': np.float32(0.6041155), 'Pick up object': np.float32(0.6087764), 'Sit down': np.float32(0.6044828), 'Walk': np.float32(0.6127863)}
t=65 | pred=Hop | scores={'Fall backwards': np.float32(0.59702927), 'Fall forward': np.float32(0.5985454), 'Fall left': np.float32(0.59736145), 'Fall right': np.float32(0.6059812), 'Fall sitting': np.float32(0.5913212), 'Hop': np.float32(0.61783016), 'Kneel': np.float32(0.60396147), 'Pick up object': np.float32(0.6088133), 'Sit down': np.float32(0.604895), 'Walk': np.float32(0.6123729)}
