Ground Truth: Walk

t=15 | pred=Hop | scores={'Fall backwards': np.float32(0.5933541), 'Fall forward': np.float32(0.5998467), 'Fall left': np.float32(0.5937727), 'Fall right': np.float32(0.6011483), 'Fall sitting': np.float32(0.5786847), 'Hop': np.float32(0.6142787), 'Kneel': np.float32(0.5984283), 'Pick up object': np.float32(0.6037359), 'Sit down': np.float32(0.5919261), 'Walk': np.float32(0.61188626)}
t=20 | pred=Hop | scores={'Fall backwards': np.float32(0.5941256), 'Fall forward': np.float32(0.60028815), 'Fall left': np.float32(0.59498703), 'Fall right': np.float32(0.6020708), 'Fall sitting': np.float32(0.58069515), 'Hop': np.float32(0.6155792), 'Kneel': np.float32(0.5991632), 'Pick up object': np.float32(0.60487103), 'Sit down': np.float32(0.5936481), 'Walk': np.float32(0.6122091)}
t=25 | pred=Hop | scores={'Fall backwards': np.float32(0.5927908), 'Fall forward': np.float32(0.59854203), 'Fall left': np.float32(0.5939248), 'Fall right': np.float32(0.60114056), 'Fall sitting': np.float32(0.58013666), 'Hop': np.float32(0.61468893), 'Kneel': np.float32(0.59796447), 'Pick up object': np.float32(0.60376185), 'Sit down': np.float32(0.59334236), 'Walk': np.float32(0.61074847)}
t=30 | pred=Hop | scores={'Fall backwards': np.float32(0.59263045), 'Fall forward': np.float32(0.5980095), 'Fall left': np.float32(0.59400666), 'Fall right': np.float32(0.601259), 'Fall sitting': np.float32(0.5815115), 'Hop': np.float32(0.614522), 'Kneel': np.float32(0.5977213), 'Pick up object': np.float32(0.6040677), 'Sit down': np.float32(0.5941202), 'Walk': np.float32(0.61038697)}
t=35 | pred=Hop | scores={'Fall backwards': np.float32(0.5920805), 'Fall forward': np.float32(0.59697753), 'Fall left': np.float32(0.5937375), 'Fall right': np.float32(0.6009536), 'Fall sitting': np.float32(0.5818859), 'Hop': np.float32(0.61393625), 'Kneel': np.float32(0.59714955), 'Pick up object': np.float32(0.60357755), 'Sit down': np.float32(0.5947444), 'Walk': np.float32(0.6094297)}
t=40 | pred=Hop | scores={'Fall backwards': np.float32(0.5907118), 'Fall forward': np.float32(0.59525585), 'Fall left': np.float32(0.5926605), 'Fall right': np.float32(0.59986776), 'Fall sitting': np.float32(0.58101696), 'Hop': np.float32(0.6128767), 'Kneel': np.float32(0.5959883), 'Pick up object': np.float32(0.6025426), 'Sit down': np.float32(0.59475124), 'Walk': np.float32(0.60790825)}
t=45 | pred=Hop | scores={'Fall backwards': np.float32(0.5896926), 'Fall forward': np.float32(0.59385234), 'Fall left': np.float32(0.5918001), 'Fall right': np.float32(0.5988017), 'Fall sitting': np.float32(0.58045113), 'Hop': np.float32(0.61167336), 'Kneel': np.float32(0.5950021), 'Pick up object': np.float32(0.6016853), 'Sit down': np.float32(0.59461576), 'Walk': np.float32(0.60638225)}
t=50 | pred=Hop | scores={'Fall backwards': np.float32(0.58940417), 'Fall forward': np.float32(0.5933795), 'Fall left': np.float32(0.5916075), 'Fall right': np.float32(0.5984683), 'Fall sitting': np.float32(0.58056456), 'Hop': np.float32(0.6111041), 'Kneel': np.float32(0.59501666), 'Pick up object': np.float32(0.6014368), 'Sit down': np.float32(0.5951263), 'Walk': np.float32(0.6055738)}
t=55 | pred=Hop | scores={'Fall backwards': np.float32(0.5897338), 'Fall forward': np.float32(0.5936882), 'Fall left': np.float32(0.59206784), 'Fall right': np.float32(0.5986421), 'Fall sitting': np.float32(0.5812217), 'Hop': np.float32(0.6114428), 'Kneel': np.float32(0.59579873), 'Pick up object': np.float32(0.6020069), 'Sit down': np.float32(0.596202), 'Walk': np.float32(0.6055436)}
t=60 | pred=Hop | scores={'Fall backwards': np.float32(0.58906084), 'Fall forward': np.float32(0.5929363), 'Fall left': np.float32(0.59143174), 'Fall right': np.float32(0.5977501), 'Fall sitting': np.float32(0.58116764), 'Hop': np.float32(0.6106358), 'Kneel': np.float32(0.59559536), 'Pick up object': np.float32(0.6016802), 'Sit down': np.float32(0.5964729), 'Walk': np.float32(0.6046292)}
t=65 | pred=Hop | scores={'Fall backwards': np.float32(0.5896503), 'Fall forward': np.float32(0.5934517), 'Fall left': np.float32(0.59183973), 'Fall right': np.float32(0.5981156), 'Fall sitting': np.float32(0.58248544), 'Hop': np.float32(0.61100197), 'Kneel': np.float32(0.5964138), 'Pick up object': np.float32(0.6024033), 'Sit down': np.float32(0.5975911), 'Walk': np.float32(0.60511136)}
t=70 | pred=Hop | scores={'Fall backwards': np.float32(0.5897246), 'Fall forward': np.float32(0.5933772), 'Fall left': np.float32(0.5917201), 'Fall right': np.float32(0.597893), 'Fall sitting': np.float32(0.5831649), 'Hop': np.float32(0.6107777), 'Kneel': np.float32(0.5967625), 'Pick up object': np.float32(0.6025849), 'Sit down': np.float32(0.59815425), 'Walk': np.float32(0.6050054)}
t=75 | pred=Hop | scores={'Fall backwards': np.float32(0.5892653), 'Fall forward': np.float32(0.5927428), 'Fall left': np.float32(0.59121686), 'Fall right': np.float32(0.5972108), 'Fall sitting': np.float32(0.5834258), 'Hop': np.float32(0.6102533), 'Kneel': np.float32(0.5966088), 'Pick up object': np.float32(0.6023113), 'Sit down': np.float32(0.59839714), 'Walk': np.float32(0.6044417)}
t=80 | pred=Hop | scores={'Fall backwards': np.float32(0.58925855), 'Fall forward': np.float32(0.59256834), 'Fall left': np.float32(0.59123063), 'Fall right': np.float32(0.5971088), 'Fall sitting': np.float32(0.58416563), 'Hop': np.float32(0.61040705), 'Kneel': np.float32(0.5970831), 'Pick up object': np.float32(0.60256475), 'Sit down': np.float32(0.59914637), 'Walk': np.float32(0.6046532)}
