Ground Truth: Fall backwards

t=15 | pred=Sit down | scores={'Fall backwards': np.float32(0.6517588), 'Fall forward': np.float32(0.6368984), 'Fall left': np.float32(0.6498585), 'Fall right': np.float32(0.65101165), 'Fall sitting': np.float32(0.6372298), 'Hop': np.float32(0.64573425), 'Kneel': np.float32(0.6490304), 'Pick up object': np.float32(0.64740616), 'Sit down': np.float32(0.6518773), 'Walk': np.float32(0.6474861)}
t=20 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6515901), 'Fall forward': np.float32(0.6367206), 'Fall left': np.float32(0.6495411), 'Fall right': np.float32(0.6508425), 'Fall sitting': np.float32(0.63699114), 'Hop': np.float32(0.64571977), 'Kneel': np.float32(0.6490035), 'Pick up object': np.float32(0.6475122), 'Sit down': np.float32(0.65158063), 'Walk': np.float32(0.647422)}
t=25 | pred=Sit down | scores={'Fall backwards': np.float32(0.6512417), 'Fall forward': np.float32(0.6364204), 'Fall left': np.float32(0.6491753), 'Fall right': np.float32(0.65054405), 'Fall sitting': np.float32(0.6367442), 'Hop': np.float32(0.6455674), 'Kneel': np.float32(0.64880556), 'Pick up object': np.float32(0.64744294), 'Sit down': np.float32(0.6514097), 'Walk': np.float32(0.6473007)}
t=30 | pred=Sit down | scores={'Fall backwards': np.float32(0.6509176), 'Fall forward': np.float32(0.6363832), 'Fall left': np.float32(0.6489608), 'Fall right': np.float32(0.6503833), 'Fall sitting': np.float32(0.63676786), 'Hop': np.float32(0.64544463), 'Kneel': np.float32(0.6486733), 'Pick up object': np.float32(0.64731514), 'Sit down': np.float32(0.6513972), 'Walk': np.float32(0.6472976)}
t=35 | pred=Sit down | scores={'Fall backwards': np.float32(0.6509767), 'Fall forward': np.float32(0.6366562), 'Fall left': np.float32(0.64909583), 'Fall right': np.float32(0.65055126), 'Fall sitting': np.float32(0.6369678), 'Hop': np.float32(0.645513), 'Kneel': np.float32(0.64883476), 'Pick up object': np.float32(0.64738065), 'Sit down': np.float32(0.65155494), 'Walk': np.float32(0.6475024)}
t=40 | pred=Sit down | scores={'Fall backwards': np.float32(0.6510643), 'Fall forward': np.float32(0.63684154), 'Fall left': np.float32(0.6491701), 'Fall right': np.float32(0.6506921), 'Fall sitting': np.float32(0.6369746), 'Hop': np.float32(0.64551324), 'Kneel': np.float32(0.6488895), 'Pick up object': np.float32(0.64734936), 'Sit down': np.float32(0.65151733), 'Walk': np.float32(0.64768565)}
t=45 | pred=Sit down | scores={'Fall backwards': np.float32(0.65148675), 'Fall forward': np.float32(0.6371734), 'Fall left': np.float32(0.6495841), 'Fall right': np.float32(0.65106076), 'Fall sitting': np.float32(0.6374715), 'Hop': np.float32(0.6460843), 'Kneel': np.float32(0.6491884), 'Pick up object': np.float32(0.64790314), 'Sit down': np.float32(0.651959), 'Walk': np.float32(0.6482965)}
t=50 | pred=Sit down | scores={'Fall backwards': np.float32(0.65263957), 'Fall forward': np.float32(0.6383843), 'Fall left': np.float32(0.6505843), 'Fall right': np.float32(0.6521684), 'Fall sitting': np.float32(0.6387192), 'Hop': np.float32(0.6473619), 'Kneel': np.float32(0.65019435), 'Pick up object': np.float32(0.6490646), 'Sit down': np.float32(0.65284693), 'Walk': np.float32(0.64974636)}
t=55 | pred=Sit down | scores={'Fall backwards': np.float32(0.6542723), 'Fall forward': np.float32(0.6400919), 'Fall left': np.float32(0.65195864), 'Fall right': np.float32(0.6535606), 'Fall sitting': np.float32(0.640435), 'Hop': np.float32(0.6490161), 'Kneel': np.float32(0.6517424), 'Pick up object': np.float32(0.6507266), 'Sit down': np.float32(0.65435684), 'Walk': np.float32(0.6515356)}
t=60 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.65579844), 'Fall forward': np.float32(0.64151853), 'Fall left': np.float32(0.65325445), 'Fall right': np.float32(0.6548923), 'Fall sitting': np.float32(0.6418491), 'Hop': np.float32(0.65058225), 'Kneel': np.float32(0.6531124), 'Pick up object': np.float32(0.65232205), 'Sit down': np.float32(0.655682), 'Walk': np.float32(0.65320456)}
t=65 | pred=Sit down | scores={'Fall backwards': np.float32(0.65623105), 'Fall forward': np.float32(0.641717), 'Fall left': np.float32(0.6536588), 'Fall right': np.float32(0.65520376), 'Fall sitting': np.float32(0.64244574), 'Hop': np.float32(0.6514529), 'Kneel': np.float32(0.6534592), 'Pick up object': np.float32(0.65326744), 'Sit down': np.float32(0.65641403), 'Walk': np.float32(0.6540023)}
t=70 | pred=Sit down | scores={'Fall backwards': np.float32(0.656855), 'Fall forward': np.float32(0.6422982), 'Fall left': np.float32(0.65426975), 'Fall right': np.float32(0.65560174), 'Fall sitting': np.float32(0.64322704), 'Hop': np.float32(0.6525536), 'Kneel': np.float32(0.6540569), 'Pick up object': np.float32(0.6546644), 'Sit down': np.float32(0.6573294), 'Walk': np.float32(0.65504867)}
t=75 | pred=Sit down | scores={'Fall backwards': np.float32(0.65898097), 'Fall forward': np.float32(0.64458805), 'Fall left': np.float32(0.65626603), 'Fall right': np.float32(0.65757686), 'Fall sitting': np.float32(0.6451276), 'Hop': np.float32(0.6543378), 'Kneel': np.float32(0.65601736), 'Pick up object': np.float32(0.6566863), 'Sit down': np.float32(0.6590152), 'Walk': np.float32(0.65700585)}
t=80 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6614258), 'Fall forward': np.float32(0.64704067), 'Fall left': np.float32(0.65853757), 'Fall right': np.float32(0.65982693), 'Fall sitting': np.float32(0.64708304), 'Hop': np.float32(0.6558453), 'Kneel': np.float32(0.6581022), 'Pick up object': np.float32(0.65848696), 'Sit down': np.float32(0.6607752), 'Walk': np.float32(0.65879977)}
t=85 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6635564), 'Fall forward': np.float32(0.64912564), 'Fall left': np.float32(0.66034764), 'Fall right': np.float32(0.6616429), 'Fall sitting': np.float32(0.6488334), 'Hop': np.float32(0.65664303), 'Kneel': np.float32(0.6596592), 'Pick up object': np.float32(0.6596194), 'Sit down': np.float32(0.66201663), 'Walk': np.float32(0.6598587)}
t=90 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6656354), 'Fall forward': np.float32(0.6511554), 'Fall left': np.float32(0.6620191), 'Fall right': np.float32(0.6632669), 'Fall sitting': np.float32(0.65041), 'Hop': np.float32(0.6571077), 'Kneel': np.float32(0.6610059), 'Pick up object': np.float32(0.6605047), 'Sit down': np.float32(0.66290265), 'Walk': np.float32(0.66051644)}
