Ground Truth: Fall forward

t=15 | pred=Walk | scores={'Fall backwards': np.float32(0.6679762), 'Fall forward': np.float32(0.66781425), 'Fall left': np.float32(0.6686786), 'Fall right': np.float32(0.6678405), 'Fall sitting': np.float32(0.64894867), 'Hop': np.float32(0.6686588), 'Kneel': np.float32(0.6686368), 'Pick up object': np.float32(0.6689249), 'Sit down': np.float32(0.66146857), 'Walk': np.float32(0.6729806)}
t=20 | pred=Walk | scores={'Fall backwards': np.float32(0.6697304), 'Fall forward': np.float32(0.66965073), 'Fall left': np.float32(0.67008024), 'Fall right': np.float32(0.66949487), 'Fall sitting': np.float32(0.65129215), 'Hop': np.float32(0.67032224), 'Kneel': np.float32(0.6701402), 'Pick up object': np.float32(0.6711889), 'Sit down': np.float32(0.6633138), 'Walk': np.float32(0.6744981)}
t=25 | pred=Walk | scores={'Fall backwards': np.float32(0.67134494), 'Fall forward': np.float32(0.6712378), 'Fall left': np.float32(0.67154217), 'Fall right': np.float32(0.67089546), 'Fall sitting': np.float32(0.65353405), 'Hop': np.float32(0.6715326), 'Kneel': np.float32(0.67152995), 'Pick up object': np.float32(0.6732078), 'Sit down': np.float32(0.66465724), 'Walk': np.float32(0.67546964)}
t=30 | pred=Walk | scores={'Fall backwards': np.float32(0.6722837), 'Fall forward': np.float32(0.6714991), 'Fall left': np.float32(0.67213047), 'Fall right': np.float32(0.6714244), 'Fall sitting': np.float32(0.6545241), 'Hop': np.float32(0.6715163), 'Kneel': np.float32(0.6720089), 'Pick up object': np.float32(0.67404383), 'Sit down': np.float32(0.66526043), 'Walk': np.float32(0.67514676)}
t=35 | pred=Walk | scores={'Fall backwards': np.float32(0.67361176), 'Fall forward': np.float32(0.67226243), 'Fall left': np.float32(0.6731603), 'Fall right': np.float32(0.67234087), 'Fall sitting': np.float32(0.655853), 'Hop': np.float32(0.6713168), 'Kneel': np.float32(0.6725586), 'Pick up object': np.float32(0.674694), 'Sit down': np.float32(0.66568696), 'Walk': np.float32(0.6750851)}
t=40 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6754571), 'Fall forward': np.float32(0.67377234), 'Fall left': np.float32(0.67485696), 'Fall right': np.float32(0.6739427), 'Fall sitting': np.float32(0.6578947), 'Hop': np.float32(0.6714828), 'Kneel': np.float32(0.67391026), 'Pick up object': np.float32(0.6758633), 'Sit down': np.float32(0.666723), 'Walk': np.float32(0.67512465)}
t=45 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6766002), 'Fall forward': np.float32(0.6753603), 'Fall left': np.float32(0.6760096), 'Fall right': np.float32(0.6750009), 'Fall sitting': np.float32(0.6599097), 'Hop': np.float32(0.6714537), 'Kneel': np.float32(0.6752356), 'Pick up object': np.float32(0.6764747), 'Sit down': np.float32(0.6673385), 'Walk': np.float32(0.675008)}
t=50 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6777371), 'Fall forward': np.float32(0.67756253), 'Fall left': np.float32(0.677293), 'Fall right': np.float32(0.6761268), 'Fall sitting': np.float32(0.6614318), 'Hop': np.float32(0.67153656), 'Kneel': np.float32(0.6767075), 'Pick up object': np.float32(0.67712903), 'Sit down': np.float32(0.6680026), 'Walk': np.float32(0.67514163)}
t=55 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6778756), 'Fall forward': np.float32(0.678881), 'Fall left': np.float32(0.67764026), 'Fall right': np.float32(0.67639714), 'Fall sitting': np.float32(0.6621238), 'Hop': np.float32(0.67124414), 'Kneel': np.float32(0.67740566), 'Pick up object': np.float32(0.67724204), 'Sit down': np.float32(0.6679378), 'Walk': np.float32(0.6748317)}
t=60 | pred=Fall forward | scores={'Fall backwards': np.float32(0.6777957), 'Fall forward': np.float32(0.6798341), 'Fall left': np.float32(0.6779105), 'Fall right': np.float32(0.6766073), 'Fall sitting': np.float32(0.66290367), 'Hop': np.float32(0.6706493), 'Kneel': np.float32(0.6778606), 'Pick up object': np.float32(0.6770495), 'Sit down': np.float32(0.66788054), 'Walk': np.float32(0.6742837)}
t=65 | pred=Fall forward | scores={'Fall backwards': np.float32(0.67784166), 'Fall forward': np.float32(0.6806784), 'Fall left': np.float32(0.67809445), 'Fall right': np.float32(0.6767028), 'Fall sitting': np.float32(0.66347563), 'Hop': np.float32(0.6700605), 'Kneel': np.float32(0.6780927), 'Pick up object': np.float32(0.67669624), 'Sit down': np.float32(0.66781634), 'Walk': np.float32(0.673724)}
