Ground Truth: Fall left

t=15 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.66021115), 'Fall forward': np.float32(0.6451763), 'Fall left': np.float32(0.6584969), 'Fall right': np.float32(0.657279), 'Fall sitting': np.float32(0.6432916), 'Hop': np.float32(0.65757376), 'Kneel': np.float32(0.6548499), 'Pick up object': np.float32(0.65890086), 'Sit down': np.float32(0.65965044), 'Walk': np.float32(0.6598292)}
t=20 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6609983), 'Fall forward': np.float32(0.6461694), 'Fall left': np.float32(0.65955216), 'Fall right': np.float32(0.65814054), 'Fall sitting': np.float32(0.6449848), 'Hop': np.float32(0.6581334), 'Kneel': np.float32(0.65561914), 'Pick up object': np.float32(0.6597268), 'Sit down': np.float32(0.6606016), 'Walk': np.float32(0.6603733)}
t=25 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6611667), 'Fall forward': np.float32(0.6466351), 'Fall left': np.float32(0.6599557), 'Fall right': np.float32(0.6584768), 'Fall sitting': np.float32(0.645474), 'Hop': np.float32(0.65814763), 'Kneel': np.float32(0.655709), 'Pick up object': np.float32(0.65963), 'Sit down': np.float32(0.66051906), 'Walk': np.float32(0.66035855)}
t=30 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6616795), 'Fall forward': np.float32(0.64751315), 'Fall left': np.float32(0.66070443), 'Fall right': np.float32(0.65928), 'Fall sitting': np.float32(0.64629287), 'Hop': np.float32(0.65827465), 'Kneel': np.float32(0.6562482), 'Pick up object': np.float32(0.6597609), 'Sit down': np.float32(0.6607972), 'Walk': np.float32(0.6605352)}
t=35 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.66143334), 'Fall forward': np.float32(0.64767945), 'Fall left': np.float32(0.66057277), 'Fall right': np.float32(0.6592086), 'Fall sitting': np.float32(0.6462817), 'Hop': np.float32(0.6581508), 'Kneel': np.float32(0.6562005), 'Pick up object': np.float32(0.65954906), 'Sit down': np.float32(0.66047245), 'Walk': np.float32(0.6603047)}
t=40 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.66082436), 'Fall forward': np.float32(0.647127), 'Fall left': np.float32(0.660131), 'Fall right': np.float32(0.658666), 'Fall sitting': np.float32(0.6463308), 'Hop': np.float32(0.65765136), 'Kneel': np.float32(0.65552783), 'Pick up object': np.float32(0.659246), 'Sit down': np.float32(0.6601536), 'Walk': np.float32(0.659698)}
t=45 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6612623), 'Fall forward': np.float32(0.64746577), 'Fall left': np.float32(0.6604606), 'Fall right': np.float32(0.65907955), 'Fall sitting': np.float32(0.6465644), 'Hop': np.float32(0.65788186), 'Kneel': np.float32(0.65580416), 'Pick up object': np.float32(0.65965754), 'Sit down': np.float32(0.66045827), 'Walk': np.float32(0.66001445)}
t=50 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.66169274), 'Fall forward': np.float32(0.648081), 'Fall left': np.float32(0.6608756), 'Fall right': np.float32(0.65954715), 'Fall sitting': np.float32(0.64709824), 'Hop': np.float32(0.6585768), 'Kneel': np.float32(0.6563721), 'Pick up object': np.float32(0.6603051), 'Sit down': np.float32(0.66094977), 'Walk': np.float32(0.66077393)}
t=55 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.66292644), 'Fall forward': np.float32(0.6496004), 'Fall left': np.float32(0.66211456), 'Fall right': np.float32(0.6607683), 'Fall sitting': np.float32(0.6482995), 'Hop': np.float32(0.6599957), 'Kneel': np.float32(0.65778804), 'Pick up object': np.float32(0.66157717), 'Sit down': np.float32(0.6621668), 'Walk': np.float32(0.66222537)}
t=60 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.66474056), 'Fall forward': np.float32(0.6516187), 'Fall left': np.float32(0.66381764), 'Fall right': np.float32(0.66236246), 'Fall sitting': np.float32(0.65014064), 'Hop': np.float32(0.66129917), 'Kneel': np.float32(0.6597225), 'Pick up object': np.float32(0.66325784), 'Sit down': np.float32(0.6638221), 'Walk': np.float32(0.66369486)}
t=65 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.66658336), 'Fall forward': np.float32(0.6536643), 'Fall left': np.float32(0.6654319), 'Fall right': np.float32(0.66393137), 'Fall sitting': np.float32(0.6518887), 'Hop': np.float32(0.662135), 'Kneel': np.float32(0.6616385), 'Pick up object': np.float32(0.6646057), 'Sit down': np.float32(0.6652257), 'Walk': np.float32(0.6646841)}
t=70 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.66785854), 'Fall forward': np.float32(0.6549197), 'Fall left': np.float32(0.6663515), 'Fall right': np.float32(0.665023), 'Fall sitting': np.float32(0.6528604), 'Hop': np.float32(0.6620619), 'Kneel': np.float32(0.662783), 'Pick up object': np.float32(0.66486716), 'Sit down': np.float32(0.6655916), 'Walk': np.float32(0.66472375)}
t=75 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6686895), 'Fall forward': np.float32(0.65564907), 'Fall left': np.float32(0.6669228), 'Fall right': np.float32(0.6657565), 'Fall sitting': np.float32(0.6535397), 'Hop': np.float32(0.6616394), 'Kneel': np.float32(0.66354036), 'Pick up object': np.float32(0.66485715), 'Sit down': np.float32(0.6656883), 'Walk': np.float32(0.66438895)}
t=80 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.66926855), 'Fall forward': np.float32(0.65563124), 'Fall left': np.float32(0.66737765), 'Fall right': np.float32(0.66633946), 'Fall sitting': np.float32(0.65371335), 'Hop': np.float32(0.6608852), 'Kneel': np.float32(0.6637526), 'Pick up object': np.float32(0.6646272), 'Sit down': np.float32(0.6656632), 'Walk': np.float32(0.6634352)}
t=85 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67007643), 'Fall forward': np.float32(0.6559317), 'Fall left': np.float32(0.668162), 'Fall right': np.float32(0.6671917), 'Fall sitting': np.float32(0.65402895), 'Hop': np.float32(0.6607026), 'Kneel': np.float32(0.6642528), 'Pick up object': np.float32(0.6648377), 'Sit down': np.float32(0.6659018), 'Walk': np.float32(0.6630908)}
t=90 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6718079), 'Fall forward': np.float32(0.6573044), 'Fall left': np.float32(0.6698365), 'Fall right': np.float32(0.6690222), 'Fall sitting': np.float32(0.6552415), 'Hop': np.float32(0.6611363), 'Kneel': np.float32(0.66559625), 'Pick up object': np.float32(0.665831), 'Sit down': np.float32(0.66673887), 'Walk': np.float32(0.663581)}
