Ground Truth: Hop

t=15 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6653411), 'Fall forward': np.float32(0.66149265), 'Fall left': np.float32(0.665231), 'Fall right': np.float32(0.66431135), 'Fall sitting': np.float32(0.6515381), 'Hop': np.float32(0.67044955), 'Kneel': np.float32(0.6664429), 'Pick up object': np.float32(0.6731079), 'Sit down': np.float32(0.6639002), 'Walk': np.float32(0.6709501)}
t=20 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6654776), 'Fall forward': np.float32(0.6610305), 'Fall left': np.float32(0.66584396), 'Fall right': np.float32(0.6642891), 'Fall sitting': np.float32(0.6529083), 'Hop': np.float32(0.6705598), 'Kneel': np.float32(0.6665311), 'Pick up object': np.float32(0.67387825), 'Sit down': np.float32(0.6647327), 'Walk': np.float32(0.67107314)}
t=25 | pred=Pick up object | scores={'Fall backwards': np.float32(0.66607565), 'Fall forward': np.float32(0.66217417), 'Fall left': np.float32(0.6667897), 'Fall right': np.float32(0.66454774), 'Fall sitting': np.float32(0.6547451), 'Hop': np.float32(0.67124164), 'Kneel': np.float32(0.6678395), 'Pick up object': np.float32(0.6745008), 'Sit down': np.float32(0.66635346), 'Walk': np.float32(0.6716743)}
t=30 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6656908), 'Fall forward': np.float32(0.66234034), 'Fall left': np.float32(0.66677), 'Fall right': np.float32(0.66389936), 'Fall sitting': np.float32(0.6557124), 'Hop': np.float32(0.6708843), 'Kneel': np.float32(0.6683319), 'Pick up object': np.float32(0.6741123), 'Sit down': np.float32(0.66725385), 'Walk': np.float32(0.6714643)}
t=35 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6645424), 'Fall forward': np.float32(0.661968), 'Fall left': np.float32(0.66614705), 'Fall right': np.float32(0.66277313), 'Fall sitting': np.float32(0.6558964), 'Hop': np.float32(0.6709139), 'Kneel': np.float32(0.66839665), 'Pick up object': np.float32(0.6737954), 'Sit down': np.float32(0.6671246), 'Walk': np.float32(0.6711557)}
t=40 | pred=Pick up object | scores={'Fall backwards': np.float32(0.66598666), 'Fall forward': np.float32(0.663935), 'Fall left': np.float32(0.66739774), 'Fall right': np.float32(0.6639674), 'Fall sitting': np.float32(0.65700233), 'Hop': np.float32(0.67248404), 'Kneel': np.float32(0.6700639), 'Pick up object': np.float32(0.67494994), 'Sit down': np.float32(0.66813105), 'Walk': np.float32(0.6724462)}
t=45 | pred=Pick up object | scores={'Fall backwards': np.float32(0.66705763), 'Fall forward': np.float32(0.6653538), 'Fall left': np.float32(0.66846275), 'Fall right': np.float32(0.66496783), 'Fall sitting': np.float32(0.65814275), 'Hop': np.float32(0.6743031), 'Kneel': np.float32(0.67132604), 'Pick up object': np.float32(0.6760755), 'Sit down': np.float32(0.6691427), 'Walk': np.float32(0.67434597)}
t=50 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6674483), 'Fall forward': np.float32(0.66565967), 'Fall left': np.float32(0.6686325), 'Fall right': np.float32(0.6652796), 'Fall sitting': np.float32(0.6584274), 'Hop': np.float32(0.6753897), 'Kneel': np.float32(0.67165375), 'Pick up object': np.float32(0.67666507), 'Sit down': np.float32(0.669398), 'Walk': np.float32(0.6756315)}
t=55 | pred=Walk | scores={'Fall backwards': np.float32(0.66804415), 'Fall forward': np.float32(0.6659834), 'Fall left': np.float32(0.66906554), 'Fall right': np.float32(0.66584617), 'Fall sitting': np.float32(0.6584055), 'Hop': np.float32(0.6766485), 'Kneel': np.float32(0.6720036), 'Pick up object': np.float32(0.67710644), 'Sit down': np.float32(0.66960967), 'Walk': np.float32(0.67719805)}
t=60 | pred=Walk | scores={'Fall backwards': np.float32(0.66838133), 'Fall forward': np.float32(0.66589284), 'Fall left': np.float32(0.66922665), 'Fall right': np.float32(0.66614383), 'Fall sitting': np.float32(0.6585341), 'Hop': np.float32(0.67725354), 'Kneel': np.float32(0.6717558), 'Pick up object': np.float32(0.6769185), 'Sit down': np.float32(0.66970974), 'Walk': np.float32(0.67835987)}
t=65 | pred=Walk | scores={'Fall backwards': np.float32(0.6691193), 'Fall forward': np.float32(0.6663173), 'Fall left': np.float32(0.66981345), 'Fall right': np.float32(0.666813), 'Fall sitting': np.float32(0.6590976), 'Hop': np.float32(0.677748), 'Kneel': np.float32(0.67198026), 'Pick up object': np.float32(0.6771281), 'Sit down': np.float32(0.67000854), 'Walk': np.float32(0.6794371)}
t=70 | pred=Walk | scores={'Fall backwards': np.float32(0.6691292), 'Fall forward': np.float32(0.66603494), 'Fall left': np.float32(0.6697276), 'Fall right': np.float32(0.6668682), 'Fall sitting': np.float32(0.65878963), 'Hop': np.float32(0.67786086), 'Kneel': np.float32(0.67146254), 'Pick up object': np.float32(0.6768114), 'Sit down': np.float32(0.66992456), 'Walk': np.float32(0.679954)}
t=75 | pred=Walk | scores={'Fall backwards': np.float32(0.669519), 'Fall forward': np.float32(0.66603565), 'Fall left': np.float32(0.67003393), 'Fall right': np.float32(0.6672844), 'Fall sitting': np.float32(0.65895426), 'Hop': np.float32(0.6779459), 'Kneel': np.float32(0.67141736), 'Pick up object': np.float32(0.676758), 'Sit down': np.float32(0.6702834), 'Walk': np.float32(0.680347)}
t=80 | pred=Walk | scores={'Fall backwards': np.float32(0.6693151), 'Fall forward': np.float32(0.6654027), 'Fall left': np.float32(0.6697989), 'Fall right': np.float32(0.667118), 'Fall sitting': np.float32(0.65876484), 'Hop': np.float32(0.67781067), 'Kneel': np.float32(0.6709364), 'Pick up object': np.float32(0.676428), 'Sit down': np.float32(0.6703607), 'Walk': np.float32(0.6803649)}
t=85 | pred=Walk | scores={'Fall backwards': np.float32(0.66930145), 'Fall forward': np.float32(0.66499776), 'Fall left': np.float32(0.6697271), 'Fall right': np.float32(0.667126), 'Fall sitting': np.float32(0.6584609), 'Hop': np.float32(0.6775795), 'Kneel': np.float32(0.6706959), 'Pick up object': np.float32(0.67611504), 'Sit down': np.float32(0.67033845), 'Walk': np.float32(0.68017316)}
t=90 | pred=Walk | scores={'Fall backwards': np.float32(0.6700834), 'Fall forward': np.float32(0.66529334), 'Fall left': np.float32(0.67031425), 'Fall right': np.float32(0.6679975), 'Fall sitting': np.float32(0.6586704), 'Hop': np.float32(0.67788124), 'Kneel': np.float32(0.67110956), 'Pick up object': np.float32(0.67632765), 'Sit down': np.float32(0.67079556), 'Walk': np.float32(0.6804907)}
t=95 | pred=Walk | scores={'Fall backwards': np.float32(0.6708029), 'Fall forward': np.float32(0.66568977), 'Fall left': np.float32(0.6708792), 'Fall right': np.float32(0.6688268), 'Fall sitting': np.float32(0.65895516), 'Hop': np.float32(0.67804337), 'Kneel': np.float32(0.671556), 'Pick up object': np.float32(0.67644393), 'Sit down': np.float32(0.67116076), 'Walk': np.float32(0.6806324)}
t=100 | pred=Walk | scores={'Fall backwards': np.float32(0.6712091), 'Fall forward': np.float32(0.66596866), 'Fall left': np.float32(0.67123574), 'Fall right': np.float32(0.6694878), 'Fall sitting': np.float32(0.65908176), 'Hop': np.float32(0.67825484), 'Kneel': np.float32(0.6718748), 'Pick up object': np.float32(0.67652196), 'Sit down': np.float32(0.6712875), 'Walk': np.float32(0.68065155)}
t=105 | pred=Walk | scores={'Fall backwards': np.float32(0.6714007), 'Fall forward': np.float32(0.66613203), 'Fall left': np.float32(0.6714362), 'Fall right': np.float32(0.6698049), 'Fall sitting': np.float32(0.6590644), 'Hop': np.float32(0.6783755), 'Kneel': np.float32(0.67205924), 'Pick up object': np.float32(0.67647886), 'Sit down': np.float32(0.6713207), 'Walk': np.float32(0.68054426)}
t=110 | pred=Walk | scores={'Fall backwards': np.float32(0.67172354), 'Fall forward': np.float32(0.6663554), 'Fall left': np.float32(0.6717132), 'Fall right': np.float32(0.6701777), 'Fall sitting': np.float32(0.65906805), 'Hop': np.float32(0.6785933), 'Kneel': np.float32(0.67224455), 'Pick up object': np.float32(0.6765547), 'Sit down': np.float32(0.6713826), 'Walk': np.float32(0.6804861)}
t=115 | pred=Walk | scores={'Fall backwards': np.float32(0.67184234), 'Fall forward': np.float32(0.6664049), 'Fall left': np.float32(0.6717587), 'Fall right': np.float32(0.67034024), 'Fall sitting': np.float32(0.6589658), 'Hop': np.float32(0.67864233), 'Kneel': np.float32(0.67232096), 'Pick up object': np.float32(0.6765491), 'Sit down': np.float32(0.6712412), 'Walk': np.float32(0.680293)}
t=120 | pred=Walk | scores={'Fall backwards': np.float32(0.6720929), 'Fall forward': np.float32(0.6665557), 'Fall left': np.float32(0.67194337), 'Fall right': np.float32(0.6705948), 'Fall sitting': np.float32(0.6589378), 'Hop': np.float32(0.6788085), 'Kneel': np.float32(0.6725039), 'Pick up object': np.float32(0.67677665), 'Sit down': np.float32(0.67120683), 'Walk': np.float32(0.6802289)}
t=125 | pred=Walk | scores={'Fall backwards': np.float32(0.67242384), 'Fall forward': np.float32(0.66683704), 'Fall left': np.float32(0.67225784), 'Fall right': np.float32(0.6709326), 'Fall sitting': np.float32(0.6591022), 'Hop': np.float32(0.6790533), 'Kneel': np.float32(0.67276716), 'Pick up object': np.float32(0.6771538), 'Sit down': np.float32(0.67136014), 'Walk': np.float32(0.6803338)}
t=130 | pred=Walk | scores={'Fall backwards': np.float32(0.67296296), 'Fall forward': np.float32(0.6674438), 'Fall left': np.float32(0.6727582), 'Fall right': np.float32(0.6714771), 'Fall sitting': np.float32(0.6595029), 'Hop': np.float32(0.67943776), 'Kneel': np.float32(0.6732546), 'Pick up object': np.float32(0.6777919), 'Sit down': np.float32(0.6716759), 'Walk': np.float32(0.6805922)}
t=135 | pred=Walk | scores={'Fall backwards': np.float32(0.6732983), 'Fall forward': np.float32(0.6679619), 'Fall left': np.float32(0.6731211), 'Fall right': np.float32(0.6718448), 'Fall sitting': np.float32(0.6598466), 'Hop': np.float32(0.67987543), 'Kneel': np.float32(0.6736941), 'Pick up object': np.float32(0.6783235), 'Sit down': np.float32(0.6720266), 'Walk': np.float32(0.68086874)}
t=140 | pred=Walk | scores={'Fall backwards': np.float32(0.6732378), 'Fall forward': np.float32(0.6681191), 'Fall left': np.float32(0.67317384), 'Fall right': np.float32(0.6717859), 'Fall sitting': np.float32(0.6600538), 'Hop': np.float32(0.68024796), 'Kneel': np.float32(0.6739375), 'Pick up object': np.float32(0.6787003), 'Sit down': np.float32(0.6721668), 'Walk': np.float32(0.68090904)}
t=145 | pred=Walk | scores={'Fall backwards': np.float32(0.67336506), 'Fall forward': np.float32(0.66864043), 'Fall left': np.float32(0.67347336), 'Fall right': np.float32(0.6719674), 'Fall sitting': np.float32(0.6604666), 'Hop': np.float32(0.68079215), 'Kneel': np.float32(0.67445767), 'Pick up object': np.float32(0.6791872), 'Sit down': np.float32(0.6724531), 'Walk': np.float32(0.6812584)}
t=150 | pred=Walk | scores={'Fall backwards': np.float32(0.67324466), 'Fall forward': np.float32(0.6689061), 'Fall left': np.float32(0.67355955), 'Fall right': np.float32(0.6719181), 'Fall sitting': np.float32(0.6607357), 'Hop': np.float32(0.6813121), 'Kneel': np.float32(0.67476577), 'Pick up object': np.float32(0.67954165), 'Sit down': np.float32(0.6726379), 'Walk': np.float32(0.68154645)}
t=155 | pred=Walk | scores={'Fall backwards': np.float32(0.6730009), 'Fall forward': np.float32(0.6691025), 'Fall left': np.float32(0.67350495), 'Fall right': np.float32(0.671712), 'Fall sitting': np.float32(0.6609743), 'Hop': np.float32(0.6815838), 'Kneel': np.float32(0.67491895), 'Pick up object': np.float32(0.67969817), 'Sit down': np.float32(0.6726689), 'Walk': np.float32(0.681597)}
t=160 | pred=Hop | scores={'Fall backwards': np.float32(0.6726463), 'Fall forward': np.float32(0.6691), 'Fall left': np.float32(0.6733569), 'Fall right': np.float32(0.6714246), 'Fall sitting': np.float32(0.66105783), 'Hop': np.float32(0.68177235), 'Kneel': np.float32(0.67489976), 'Pick up object': np.float32(0.6797114), 'Sit down': np.float32(0.672621), 'Walk': np.float32(0.6815888)}
t=165 | pred=Hop | scores={'Fall backwards': np.float32(0.67235446), 'Fall forward': np.float32(0.6689165), 'Fall left': np.float32(0.67317736), 'Fall right': np.float32(0.67106164), 'Fall sitting': np.float32(0.6611546), 'Hop': np.float32(0.68183726), 'Kneel': np.float32(0.674728), 'Pick up object': np.float32(0.67971724), 'Sit down': np.float32(0.6724845), 'Walk': np.float32(0.6814887)}
t=170 | pred=Hop | scores={'Fall backwards': np.float32(0.67199934), 'Fall forward': np.float32(0.6686711), 'Fall left': np.float32(0.6729475), 'Fall right': np.float32(0.67074704), 'Fall sitting': np.float32(0.661185), 'Hop': np.float32(0.6818235), 'Kneel': np.float32(0.6744735), 'Pick up object': np.float32(0.6796564), 'Sit down': np.float32(0.6723193), 'Walk': np.float32(0.6813487)}
