Ground Truth: Pick up object

t=15 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.66915154), 'Fall forward': np.float32(0.6643861), 'Fall left': np.float32(0.66710794), 'Fall right': np.float32(0.66582775), 'Fall sitting': np.float32(0.65349615), 'Hop': np.float32(0.66177464), 'Kneel': np.float32(0.6657323), 'Pick up object': np.float32(0.6679262), 'Sit down': np.float32(0.6613553), 'Walk': np.float32(0.6657139)}
t=20 | pred=Pick up object | scores={'Fall backwards': np.float32(0.66828924), 'Fall forward': np.float32(0.6635949), 'Fall left': np.float32(0.6667392), 'Fall right': np.float32(0.6652329), 'Fall sitting': np.float32(0.65483755), 'Hop': np.float32(0.6647578), 'Kneel': np.float32(0.6651403), 'Pick up object': np.float32(0.66987723), 'Sit down': np.float32(0.661884), 'Walk': np.float32(0.66856116)}
t=25 | pred=Pick up object | scores={'Fall backwards': np.float32(0.66674095), 'Fall forward': np.float32(0.6622041), 'Fall left': np.float32(0.66573143), 'Fall right': np.float32(0.66421986), 'Fall sitting': np.float32(0.6538879), 'Hop': np.float32(0.66643673), 'Kneel': np.float32(0.66430205), 'Pick up object': np.float32(0.67005414), 'Sit down': np.float32(0.66188085), 'Walk': np.float32(0.66998684)}
t=30 | pred=Walk | scores={'Fall backwards': np.float32(0.66498184), 'Fall forward': np.float32(0.6601734), 'Fall left': np.float32(0.6641229), 'Fall right': np.float32(0.6626193), 'Fall sitting': np.float32(0.6528458), 'Hop': np.float32(0.66750515), 'Kneel': np.float32(0.6629334), 'Pick up object': np.float32(0.6694778), 'Sit down': np.float32(0.6614491), 'Walk': np.float32(0.6704483)}
t=35 | pred=Walk | scores={'Fall backwards': np.float32(0.6633716), 'Fall forward': np.float32(0.65885586), 'Fall left': np.float32(0.6629106), 'Fall right': np.float32(0.66111344), 'Fall sitting': np.float32(0.65229636), 'Hop': np.float32(0.6683412), 'Kneel': np.float32(0.66228795), 'Pick up object': np.float32(0.6693909), 'Sit down': np.float32(0.6610001), 'Walk': np.float32(0.6707186)}
t=40 | pred=Walk | scores={'Fall backwards': np.float32(0.6629957), 'Fall forward': np.float32(0.6584462), 'Fall left': np.float32(0.6630637), 'Fall right': np.float32(0.6609817), 'Fall sitting': np.float32(0.65252787), 'Hop': np.float32(0.670001), 'Kneel': np.float32(0.66325456), 'Pick up object': np.float32(0.67018545), 'Sit down': np.float32(0.662139), 'Walk': np.float32(0.67140865)}
t=45 | pred=Walk | scores={'Fall backwards': np.float32(0.66328025), 'Fall forward': np.float32(0.6589938), 'Fall left': np.float32(0.6635635), 'Fall right': np.float32(0.6615119), 'Fall sitting': np.float32(0.6530311), 'Hop': np.float32(0.6709139), 'Kneel': np.float32(0.6644795), 'Pick up object': np.float32(0.6709147), 'Sit down': np.float32(0.6630497), 'Walk': np.float32(0.671865)}
t=50 | pred=Walk | scores={'Fall backwards': np.float32(0.663561), 'Fall forward': np.float32(0.6599275), 'Fall left': np.float32(0.6640509), 'Fall right': np.float32(0.6621936), 'Fall sitting': np.float32(0.6536602), 'Hop': np.float32(0.67164576), 'Kneel': np.float32(0.66570234), 'Pick up object': np.float32(0.67161953), 'Sit down': np.float32(0.66399914), 'Walk': np.float32(0.672231)}
t=55 | pred=Walk | scores={'Fall backwards': np.float32(0.663283), 'Fall forward': np.float32(0.66005075), 'Fall left': np.float32(0.66416043), 'Fall right': np.float32(0.6621999), 'Fall sitting': np.float32(0.6541112), 'Hop': np.float32(0.67159027), 'Kneel': np.float32(0.66634434), 'Pick up object': np.float32(0.6717604), 'Sit down': np.float32(0.664709), 'Walk': np.float32(0.6717734)}
t=60 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6626276), 'Fall forward': np.float32(0.65979815), 'Fall left': np.float32(0.66376483), 'Fall right': np.float32(0.66191226), 'Fall sitting': np.float32(0.65411645), 'Hop': np.float32(0.67100596), 'Kneel': np.float32(0.6664457), 'Pick up object': np.float32(0.6715455), 'Sit down': np.float32(0.66475254), 'Walk': np.float32(0.6707221)}
t=65 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6624132), 'Fall forward': np.float32(0.65958095), 'Fall left': np.float32(0.6634662), 'Fall right': np.float32(0.6619095), 'Fall sitting': np.float32(0.65456665), 'Hop': np.float32(0.6702447), 'Kneel': np.float32(0.6663404), 'Pick up object': np.float32(0.67164), 'Sit down': np.float32(0.6648795), 'Walk': np.float32(0.6696547)}
