Ground Truth: Sit down

t=15 | pred=Walk | scores={'Fall backwards': np.float32(0.6608106), 'Fall forward': np.float32(0.6626874), 'Fall left': np.float32(0.66335946), 'Fall right': np.float32(0.66040164), 'Fall sitting': np.float32(0.65521526), 'Hop': np.float32(0.67168653), 'Kneel': np.float32(0.6686736), 'Pick up object': np.float32(0.67250735), 'Sit down': np.float32(0.66329736), 'Walk': np.float32(0.67289346)}
t=20 | pred=Walk | scores={'Fall backwards': np.float32(0.6590514), 'Fall forward': np.float32(0.6611756), 'Fall left': np.float32(0.6616042), 'Fall right': np.float32(0.65863824), 'Fall sitting': np.float32(0.6548888), 'Hop': np.float32(0.67281353), 'Kneel': np.float32(0.6674504), 'Pick up object': np.float32(0.67133856), 'Sit down': np.float32(0.66277456), 'Walk': np.float32(0.6736258)}
t=25 | pred=Walk | scores={'Fall backwards': np.float32(0.65922546), 'Fall forward': np.float32(0.6605663), 'Fall left': np.float32(0.6614752), 'Fall right': np.float32(0.6587538), 'Fall sitting': np.float32(0.6541615), 'Hop': np.float32(0.67359746), 'Kneel': np.float32(0.6669035), 'Pick up object': np.float32(0.6707098), 'Sit down': np.float32(0.66250026), 'Walk': np.float32(0.67402476)}
t=30 | pred=Walk | scores={'Fall backwards': np.float32(0.65966123), 'Fall forward': np.float32(0.6594782), 'Fall left': np.float32(0.6614665), 'Fall right': np.float32(0.6591633), 'Fall sitting': np.float32(0.6531577), 'Hop': np.float32(0.67404586), 'Kneel': np.float32(0.6659908), 'Pick up object': np.float32(0.670191), 'Sit down': np.float32(0.66244316), 'Walk': np.float32(0.67433083)}
t=35 | pred=Walk | scores={'Fall backwards': np.float32(0.6609843), 'Fall forward': np.float32(0.65985876), 'Fall left': np.float32(0.6620976), 'Fall right': np.float32(0.6602613), 'Fall sitting': np.float32(0.6537691), 'Hop': np.float32(0.67402524), 'Kneel': np.float32(0.66594714), 'Pick up object': np.float32(0.67032886), 'Sit down': np.float32(0.6627174), 'Walk': np.float32(0.6746851)}
t=40 | pred=Walk | scores={'Fall backwards': np.float32(0.6623672), 'Fall forward': np.float32(0.66038483), 'Fall left': np.float32(0.6629083), 'Fall right': np.float32(0.6613949), 'Fall sitting': np.float32(0.6544584), 'Hop': np.float32(0.6742636), 'Kneel': np.float32(0.6662914), 'Pick up object': np.float32(0.67066973), 'Sit down': np.float32(0.6630875), 'Walk': np.float32(0.6750359)}
t=45 | pred=Walk | scores={'Fall backwards': np.float32(0.663105), 'Fall forward': np.float32(0.66081643), 'Fall left': np.float32(0.66333395), 'Fall right': np.float32(0.66197157), 'Fall sitting': np.float32(0.6546732), 'Hop': np.float32(0.67409617), 'Kneel': np.float32(0.66637266), 'Pick up object': np.float32(0.6708523), 'Sit down': np.float32(0.6630409), 'Walk': np.float32(0.674993)}
t=50 | pred=Walk | scores={'Fall backwards': np.float32(0.66380763), 'Fall forward': np.float32(0.66137886), 'Fall left': np.float32(0.6638017), 'Fall right': np.float32(0.6623583), 'Fall sitting': np.float32(0.65525436), 'Hop': np.float32(0.67377895), 'Kneel': np.float32(0.6665312), 'Pick up object': np.float32(0.6710277), 'Sit down': np.float32(0.6631556), 'Walk': np.float32(0.6746866)}
t=55 | pred=Walk | scores={'Fall backwards': np.float32(0.66430634), 'Fall forward': np.float32(0.66179305), 'Fall left': np.float32(0.664074), 'Fall right': np.float32(0.662633), 'Fall sitting': np.float32(0.6558915), 'Hop': np.float32(0.67320395), 'Kneel': np.float32(0.6666764), 'Pick up object': np.float32(0.6708588), 'Sit down': np.float32(0.66342336), 'Walk': np.float32(0.6739812)}
t=60 | pred=Walk | scores={'Fall backwards': np.float32(0.665496), 'Fall forward': np.float32(0.6626288), 'Fall left': np.float32(0.66493654), 'Fall right': np.float32(0.66373754), 'Fall sitting': np.float32(0.6565091), 'Hop': np.float32(0.67254555), 'Kneel': np.float32(0.66726834), 'Pick up object': np.float32(0.6707167), 'Sit down': np.float32(0.6639907), 'Walk': np.float32(0.6731989)}
t=65 | pred=Walk | scores={'Fall backwards': np.float32(0.66674316), 'Fall forward': np.float32(0.6637271), 'Fall left': np.float32(0.6660246), 'Fall right': np.float32(0.665076), 'Fall sitting': np.float32(0.65745354), 'Hop': np.float32(0.6724821), 'Kneel': np.float32(0.66824216), 'Pick up object': np.float32(0.6710707), 'Sit down': np.float32(0.6649207), 'Walk': np.float32(0.6731004)}
