Ground Truth: Walk

t=15 | pred=Sit down | scores={'Fall backwards': np.float32(0.6477203), 'Fall forward': np.float32(0.6394644), 'Fall left': np.float32(0.6488252), 'Fall right': np.float32(0.6474634), 'Fall sitting': np.float32(0.63916296), 'Hop': np.float32(0.6437823), 'Kneel': np.float32(0.65071464), 'Pick up object': np.float32(0.6477474), 'Sit down': np.float32(0.65380603), 'Walk': np.float32(0.6456025)}
t=20 | pred=Sit down | scores={'Fall backwards': np.float32(0.64665633), 'Fall forward': np.float32(0.63760835), 'Fall left': np.float32(0.648546), 'Fall right': np.float32(0.6467816), 'Fall sitting': np.float32(0.63913214), 'Hop': np.float32(0.64517945), 'Kneel': np.float32(0.64966965), 'Pick up object': np.float32(0.648419), 'Sit down': np.float32(0.65428805), 'Walk': np.float32(0.6465842)}
t=25 | pred=Sit down | scores={'Fall backwards': np.float32(0.6468132), 'Fall forward': np.float32(0.6373832), 'Fall left': np.float32(0.64881355), 'Fall right': np.float32(0.6467698), 'Fall sitting': np.float32(0.63975596), 'Hop': np.float32(0.6467476), 'Kneel': np.float32(0.6497218), 'Pick up object': np.float32(0.6498231), 'Sit down': np.float32(0.6553071), 'Walk': np.float32(0.64795715)}
t=30 | pred=Sit down | scores={'Fall backwards': np.float32(0.6490227), 'Fall forward': np.float32(0.63907576), 'Fall left': np.float32(0.65034395), 'Fall right': np.float32(0.6485529), 'Fall sitting': np.float32(0.6413611), 'Hop': np.float32(0.6493203), 'Kneel': np.float32(0.6512584), 'Pick up object': np.float32(0.6522345), 'Sit down': np.float32(0.6568148), 'Walk': np.float32(0.6507385)}
t=35 | pred=Sit down | scores={'Fall backwards': np.float32(0.65286434), 'Fall forward': np.float32(0.6426948), 'Fall left': np.float32(0.65334165), 'Fall right': np.float32(0.65182877), 'Fall sitting': np.float32(0.6443208), 'Hop': np.float32(0.652788), 'Kneel': np.float32(0.6541384), 'Pick up object': np.float32(0.6559004), 'Sit down': np.float32(0.6592508), 'Walk': np.float32(0.6548798)}
t=40 | pred=Sit down | scores={'Fall backwards': np.float32(0.6568083), 'Fall forward': np.float32(0.64664173), 'Fall left': np.float32(0.65643936), 'Fall right': np.float32(0.65540636), 'Fall sitting': np.float32(0.647837), 'Hop': np.float32(0.6558812), 'Kneel': np.float32(0.65682536), 'Pick up object': np.float32(0.6594851), 'Sit down': np.float32(0.6611483), 'Walk': np.float32(0.6586061)}
t=45 | pred=Sit down | scores={'Fall backwards': np.float32(0.6587678), 'Fall forward': np.float32(0.64890105), 'Fall left': np.float32(0.6581503), 'Fall right': np.float32(0.6572049), 'Fall sitting': np.float32(0.649811), 'Hop': np.float32(0.6578742), 'Kneel': np.float32(0.65829116), 'Pick up object': np.float32(0.6616065), 'Sit down': np.float32(0.66211253), 'Walk': np.float32(0.6609775)}
t=50 | pred=Pick up object | scores={'Fall backwards': np.float32(0.6612376), 'Fall forward': np.float32(0.651387), 'Fall left': np.float32(0.6604234), 'Fall right': np.float32(0.65953827), 'Fall sitting': np.float32(0.651638), 'Hop': np.float32(0.6602382), 'Kneel': np.float32(0.6602263), 'Pick up object': np.float32(0.6638451), 'Sit down': np.float32(0.66327596), 'Walk': np.float32(0.66370547)}
t=55 | pred=Walk | scores={'Fall backwards': np.float32(0.66361284), 'Fall forward': np.float32(0.65382445), 'Fall left': np.float32(0.6626559), 'Fall right': np.float32(0.66164535), 'Fall sitting': np.float32(0.6533941), 'Hop': np.float32(0.6626675), 'Kneel': np.float32(0.6620884), 'Pick up object': np.float32(0.6657489), 'Sit down': np.float32(0.6646474), 'Walk': np.float32(0.6663728)}
t=60 | pred=Walk | scores={'Fall backwards': np.float32(0.6653272), 'Fall forward': np.float32(0.6555762), 'Fall left': np.float32(0.66426474), 'Fall right': np.float32(0.66306704), 'Fall sitting': np.float32(0.6544419), 'Hop': np.float32(0.6647058), 'Kneel': np.float32(0.66329443), 'Pick up object': np.float32(0.6671053), 'Sit down': np.float32(0.66560125), 'Walk': np.float32(0.6685922)}
t=65 | pred=Walk | scores={'Fall backwards': np.float32(0.6665504), 'Fall forward': np.float32(0.65674126), 'Fall left': np.float32(0.66546714), 'Fall right': np.float32(0.6641244), 'Fall sitting': np.float32(0.6555683), 'Hop': np.float32(0.66602063), 'Kneel': np.float32(0.6641174), 'Pick up object': np.float32(0.6679975), 'Sit down': np.float32(0.66627884), 'Walk': np.float32(0.6699964)}
t=70 | pred=Walk | scores={'Fall backwards': np.float32(0.6683652), 'Fall forward': np.float32(0.6584616), 'Fall left': np.float32(0.6672726), 'Fall right': np.float32(0.6657981), 'Fall sitting': np.float32(0.6570834), 'Hop': np.float32(0.6677633), 'Kneel': np.float32(0.6654571), 'Pick up object': np.float32(0.669284), 'Sit down': np.float32(0.66757846), 'Walk': np.float32(0.67190874)}
t=75 | pred=Walk | scores={'Fall backwards': np.float32(0.66918665), 'Fall forward': np.float32(0.659347), 'Fall left': np.float32(0.6681579), 'Fall right': np.float32(0.66653705), 'Fall sitting': np.float32(0.6577369), 'Hop': np.float32(0.66877687), 'Kneel': np.float32(0.6660769), 'Pick up object': np.float32(0.66981286), 'Sit down': np.float32(0.6682678), 'Walk': np.float32(0.67311287)}
t=80 | pred=Walk | scores={'Fall backwards': np.float32(0.6701898), 'Fall forward': np.float32(0.6604019), 'Fall left': np.float32(0.6690628), 'Fall right': np.float32(0.66723365), 'Fall sitting': np.float32(0.65845764), 'Hop': np.float32(0.6698657), 'Kneel': np.float32(0.6667736), 'Pick up object': np.float32(0.6705739), 'Sit down': np.float32(0.6688353), 'Walk': np.float32(0.6744024)}
