Ground Truth: Fall backwards

t=15 | pred=Hop | scores={'Fall backwards': np.float32(0.5918236), 'Fall forward': np.float32(0.5975034), 'Fall left': np.float32(0.5914345), 'Fall right': np.float32(0.6001016), 'Fall sitting': np.float32(0.5772612), 'Hop': np.float32(0.6117703), 'Kneel': np.float32(0.5972197), 'Pick up object': np.float32(0.601645), 'Sit down': np.float32(0.5900084), 'Walk': np.float32(0.6089638)}
t=20 | pred=Hop | scores={'Fall backwards': np.float32(0.594429), 'Fall forward': np.float32(0.5993191), 'Fall left': np.float32(0.59391534), 'Fall right': np.float32(0.60191244), 'Fall sitting': np.float32(0.57916677), 'Hop': np.float32(0.613178), 'Kneel': np.float32(0.599321), 'Pick up object': np.float32(0.60373116), 'Sit down': np.float32(0.5927175), 'Walk': np.float32(0.6104902)}
t=25 | pred=Hop | scores={'Fall backwards': np.float32(0.59473825), 'Fall forward': np.float32(0.59864455), 'Fall left': np.float32(0.594165), 'Fall right': np.float32(0.6019737), 'Fall sitting': np.float32(0.578763), 'Hop': np.float32(0.6122237), 'Kneel': np.float32(0.59895444), 'Pick up object': np.float32(0.60347915), 'Sit down': np.float32(0.59315217), 'Walk': np.float32(0.60957426)}
t=30 | pred=Hop | scores={'Fall backwards': np.float32(0.59388065), 'Fall forward': np.float32(0.5970731), 'Fall left': np.float32(0.5938429), 'Fall right': np.float32(0.60122675), 'Fall sitting': np.float32(0.57819957), 'Hop': np.float32(0.6109944), 'Kneel': np.float32(0.59814924), 'Pick up object': np.float32(0.6029), 'Sit down': np.float32(0.59330446), 'Walk': np.float32(0.6083711)}
t=35 | pred=Hop | scores={'Fall backwards': np.float32(0.5926855), 'Fall forward': np.float32(0.5957287), 'Fall left': np.float32(0.5931013), 'Fall right': np.float32(0.6002968), 'Fall sitting': np.float32(0.5775462), 'Hop': np.float32(0.6100772), 'Kneel': np.float32(0.5973498), 'Pick up object': np.float32(0.60230833), 'Sit down': np.float32(0.59283006), 'Walk': np.float32(0.6074128)}
t=40 | pred=Hop | scores={'Fall backwards': np.float32(0.5929125), 'Fall forward': np.float32(0.59564763), 'Fall left': np.float32(0.59353685), 'Fall right': np.float32(0.6007399), 'Fall sitting': np.float32(0.57802844), 'Hop': np.float32(0.6101529), 'Kneel': np.float32(0.59771997), 'Pick up object': np.float32(0.6026607), 'Sit down': np.float32(0.5935245), 'Walk': np.float32(0.60754037)}
t=45 | pred=Hop | scores={'Fall backwards': np.float32(0.5942558), 'Fall forward': np.float32(0.59700567), 'Fall left': np.float32(0.59495604), 'Fall right': np.float32(0.60218054), 'Fall sitting': np.float32(0.57932574), 'Hop': np.float32(0.6112815), 'Kneel': np.float32(0.5991131), 'Pick up object': np.float32(0.603826), 'Sit down': np.float32(0.59484845), 'Walk': np.float32(0.6087366)}
t=50 | pred=Hop | scores={'Fall backwards': np.float32(0.5956407), 'Fall forward': np.float32(0.59840316), 'Fall left': np.float32(0.59635967), 'Fall right': np.float32(0.60378724), 'Fall sitting': np.float32(0.58088523), 'Hop': np.float32(0.612302), 'Kneel': np.float32(0.60059583), 'Pick up object': np.float32(0.60488886), 'Sit down': np.float32(0.59603333), 'Walk': np.float32(0.6097716)}
t=55 | pred=Hop | scores={'Fall backwards': np.float32(0.5966428), 'Fall forward': np.float32(0.5990757), 'Fall left': np.float32(0.5972314), 'Fall right': np.float32(0.60486984), 'Fall sitting': np.float32(0.58186346), 'Hop': np.float32(0.61276704), 'Kneel': np.float32(0.6015409), 'Pick up object': np.float32(0.60547847), 'Sit down': np.float32(0.5968406), 'Walk': np.float32(0.6102209)}
t=60 | pred=Hop | scores={'Fall backwards': np.float32(0.59715724), 'Fall forward': np.float32(0.59936655), 'Fall left': np.float32(0.5975129), 'Fall right': np.float32(0.6054092), 'Fall sitting': np.float32(0.58228654), 'Hop': np.float32(0.6126284), 'Kneel': np.float32(0.60200506), 'Pick up object': np.float32(0.60553426), 'Sit down': np.float32(0.59696406), 'Walk': np.float32(0.6101539)}
t=65 | pred=Hop | scores={'Fall backwards': np.float32(0.5975727), 'Fall forward': np.float32(0.5994623), 'Fall left': np.float32(0.597667), 'Fall right': np.float32(0.60574657), 'Fall sitting': np.float32(0.58236885), 'Hop': np.float32(0.6123549), 'Kneel': np.float32(0.60209036), 'Pick up object': np.float32(0.6055609), 'Sit down': np.float32(0.59677273), 'Walk': np.float32(0.609957)}
