Ground Truth: Fall left

t=15 | pred=Hop | scores={'Fall backwards': np.float32(0.58453864), 'Fall forward': np.float32(0.58693033), 'Fall left': np.float32(0.58500075), 'Fall right': np.float32(0.5938428), 'Fall sitting': np.float32(0.5685887), 'Hop': np.float32(0.60124516), 'Kneel': np.float32(0.59047127), 'Pick up object': np.float32(0.59168565), 'Sit down': np.float32(0.58453846), 'Walk': np.float32(0.5984874)}
t=20 | pred=Hop | scores={'Fall backwards': np.float32(0.5870774), 'Fall forward': np.float32(0.58910495), 'Fall left': np.float32(0.5867863), 'Fall right': np.float32(0.59591043), 'Fall sitting': np.float32(0.5704347), 'Hop': np.float32(0.60241216), 'Kneel': np.float32(0.59227955), 'Pick up object': np.float32(0.593695), 'Sit down': np.float32(0.5862309), 'Walk': np.float32(0.6004083)}
t=25 | pred=Hop | scores={'Fall backwards': np.float32(0.58841574), 'Fall forward': np.float32(0.59019524), 'Fall left': np.float32(0.5877983), 'Fall right': np.float32(0.5970624), 'Fall sitting': np.float32(0.5713371), 'Hop': np.float32(0.60319597), 'Kneel': np.float32(0.59330654), 'Pick up object': np.float32(0.59514457), 'Sit down': np.float32(0.5875057), 'Walk': np.float32(0.6014543)}
t=30 | pred=Hop | scores={'Fall backwards': np.float32(0.58922607), 'Fall forward': np.float32(0.59088814), 'Fall left': np.float32(0.5886029), 'Fall right': np.float32(0.5977343), 'Fall sitting': np.float32(0.5720511), 'Hop': np.float32(0.6036375), 'Kneel': np.float32(0.5940036), 'Pick up object': np.float32(0.5962785), 'Sit down': np.float32(0.5884767), 'Walk': np.float32(0.6021149)}
t=35 | pred=Hop | scores={'Fall backwards': np.float32(0.58911127), 'Fall forward': np.float32(0.5906592), 'Fall left': np.float32(0.5888553), 'Fall right': np.float32(0.5977468), 'Fall sitting': np.float32(0.5725063), 'Hop': np.float32(0.60413855), 'Kneel': np.float32(0.59416586), 'Pick up object': np.float32(0.596662), 'Sit down': np.float32(0.5889285), 'Walk': np.float32(0.6024245)}
t=40 | pred=Hop | scores={'Fall backwards': np.float32(0.58961815), 'Fall forward': np.float32(0.5910544), 'Fall left': np.float32(0.5895715), 'Fall right': np.float32(0.5982251), 'Fall sitting': np.float32(0.57343894), 'Hop': np.float32(0.60502386), 'Kneel': np.float32(0.59490806), 'Pick up object': np.float32(0.59787995), 'Sit down': np.float32(0.589788), 'Walk': np.float32(0.6031143)}
t=45 | pred=Hop | scores={'Fall backwards': np.float32(0.5917115), 'Fall forward': np.float32(0.593213), 'Fall left': np.float32(0.59146094), 'Fall right': np.float32(0.60009265), 'Fall sitting': np.float32(0.57501847), 'Hop': np.float32(0.6066216), 'Kneel': np.float32(0.5968567), 'Pick up object': np.float32(0.5997011), 'Sit down': np.float32(0.5913144), 'Walk': np.float32(0.6047111)}
t=50 | pred=Hop | scores={'Fall backwards': np.float32(0.592821), 'Fall forward': np.float32(0.5943209), 'Fall left': np.float32(0.5924256), 'Fall right': np.float32(0.60116154), 'Fall sitting': np.float32(0.57583743), 'Hop': np.float32(0.60709774), 'Kneel': np.float32(0.597887), 'Pick up object': np.float32(0.600112), 'Sit down': np.float32(0.59184086), 'Walk': np.float32(0.60526603)}
t=55 | pred=Hop | scores={'Fall backwards': np.float32(0.5945219), 'Fall forward': np.float32(0.59625864), 'Fall left': np.float32(0.5941394), 'Fall right': np.float32(0.6028386), 'Fall sitting': np.float32(0.5774484), 'Hop': np.float32(0.60828054), 'Kneel': np.float32(0.5997063), 'Pick up object': np.float32(0.6014599), 'Sit down': np.float32(0.5927858), 'Walk': np.float32(0.60650504)}
t=60 | pred=Hop | scores={'Fall backwards': np.float32(0.59563255), 'Fall forward': np.float32(0.5975429), 'Fall left': np.float32(0.5953385), 'Fall right': np.float32(0.6039856), 'Fall sitting': np.float32(0.5786318), 'Hop': np.float32(0.6089277), 'Kneel': np.float32(0.60084975), 'Pick up object': np.float32(0.6025132), 'Sit down': np.float32(0.5932454), 'Walk': np.float32(0.60710734)}
t=65 | pred=Hop | scores={'Fall backwards': np.float32(0.5967966), 'Fall forward': np.float32(0.598767), 'Fall left': np.float32(0.59653574), 'Fall right': np.float32(0.6051245), 'Fall sitting': np.float32(0.5798837), 'Hop': np.float32(0.60945946), 'Kneel': np.float32(0.60184085), 'Pick up object': np.float32(0.603349), 'Sit down': np.float32(0.59384984), 'Walk': np.float32(0.6076604)}
t=70 | pred=Hop | scores={'Fall backwards': np.float32(0.5979476), 'Fall forward': np.float32(0.59990364), 'Fall left': np.float32(0.5975513), 'Fall right': np.float32(0.6061631), 'Fall sitting': np.float32(0.5809308), 'Hop': np.float32(0.6097788), 'Kneel': np.float32(0.6026518), 'Pick up object': np.float32(0.60402226), 'Sit down': np.float32(0.594365), 'Walk': np.float32(0.60814494)}
t=75 | pred=Hop | scores={'Fall backwards': np.float32(0.59850186), 'Fall forward': np.float32(0.6001976), 'Fall left': np.float32(0.59798306), 'Fall right': np.float32(0.60665745), 'Fall sitting': np.float32(0.58136517), 'Hop': np.float32(0.6096684), 'Kneel': np.float32(0.60275936), 'Pick up object': np.float32(0.6041056), 'Sit down': np.float32(0.5945326), 'Walk': np.float32(0.6081167)}
t=80 | pred=Hop | scores={'Fall backwards': np.float32(0.5988111), 'Fall forward': np.float32(0.60041493), 'Fall left': np.float32(0.5982945), 'Fall right': np.float32(0.6069473), 'Fall sitting': np.float32(0.5818516), 'Hop': np.float32(0.6094557), 'Kneel': np.float32(0.6027348), 'Pick up object': np.float32(0.60417104), 'Sit down': np.float32(0.59460104), 'Walk': np.float32(0.6079583)}
t=85 | pred=Hop | scores={'Fall backwards': np.float32(0.59907055), 'Fall forward': np.float32(0.6005357), 'Fall left': np.float32(0.59857035), 'Fall right': np.float32(0.6071797), 'Fall sitting': np.float32(0.5820817), 'Hop': np.float32(0.6093329), 'Kneel': np.float32(0.6027283), 'Pick up object': np.float32(0.6042634), 'Sit down': np.float32(0.5947093), 'Walk': np.float32(0.60791016)}
t=90 | pred=Hop | scores={'Fall backwards': np.float32(0.59956926), 'Fall forward': np.float32(0.60090816), 'Fall left': np.float32(0.5991033), 'Fall right': np.float32(0.60764825), 'Fall sitting': np.float32(0.58248895), 'Hop': np.float32(0.6093866), 'Kneel': np.float32(0.6029539), 'Pick up object': np.float32(0.6046015), 'Sit down': np.float32(0.59484196), 'Walk': np.float32(0.6080971)}
