Ground Truth: Fall right

t=15 | pred=Hop | scores={'Fall backwards': np.float32(0.5762333), 'Fall forward': np.float32(0.5801406), 'Fall left': np.float32(0.5771056), 'Fall right': np.float32(0.58753246), 'Fall sitting': np.float32(0.5619824), 'Hop': np.float32(0.59493893), 'Kneel': np.float32(0.58263576), 'Pick up object': np.float32(0.58336097), 'Sit down': np.float32(0.57456464), 'Walk': np.float32(0.59376365)}
t=20 | pred=Hop | scores={'Fall backwards': np.float32(0.57682216), 'Fall forward': np.float32(0.5813025), 'Fall left': np.float32(0.5775915), 'Fall right': np.float32(0.5880318), 'Fall sitting': np.float32(0.5614751), 'Hop': np.float32(0.595617), 'Kneel': np.float32(0.5835258), 'Pick up object': np.float32(0.5837264), 'Sit down': np.float32(0.57497126), 'Walk': np.float32(0.59427667)}
t=25 | pred=Hop | scores={'Fall backwards': np.float32(0.5779415), 'Fall forward': np.float32(0.58240074), 'Fall left': np.float32(0.578443), 'Fall right': np.float32(0.5889326), 'Fall sitting': np.float32(0.56145954), 'Hop': np.float32(0.59617335), 'Kneel': np.float32(0.58435833), 'Pick up object': np.float32(0.5844243), 'Sit down': np.float32(0.57559234), 'Walk': np.float32(0.5950105)}
t=30 | pred=Hop | scores={'Fall backwards': np.float32(0.578802), 'Fall forward': np.float32(0.58303905), 'Fall left': np.float32(0.57893616), 'Fall right': np.float32(0.5895794), 'Fall sitting': np.float32(0.5610492), 'Hop': np.float32(0.5961015), 'Kneel': np.float32(0.58456135), 'Pick up object': np.float32(0.5846667), 'Sit down': np.float32(0.5757563), 'Walk': np.float32(0.59512794)}
t=35 | pred=Hop | scores={'Fall backwards': np.float32(0.57920897), 'Fall forward': np.float32(0.58322185), 'Fall left': np.float32(0.5792558), 'Fall right': np.float32(0.5899479), 'Fall sitting': np.float32(0.56096375), 'Hop': np.float32(0.5962596), 'Kneel': np.float32(0.5846179), 'Pick up object': np.float32(0.584958), 'Sit down': np.float32(0.5757803), 'Walk': np.float32(0.5952772)}
t=40 | pred=Hop | scores={'Fall backwards': np.float32(0.57982206), 'Fall forward': np.float32(0.58373487), 'Fall left': np.float32(0.5800644), 'Fall right': np.float32(0.59079176), 'Fall sitting': np.float32(0.56166387), 'Hop': np.float32(0.5970435), 'Kneel': np.float32(0.58517015), 'Pick up object': np.float32(0.5859853), 'Sit down': np.float32(0.5767144), 'Walk': np.float32(0.5957697)}
t=45 | pred=Hop | scores={'Fall backwards': np.float32(0.5804557), 'Fall forward': np.float32(0.5842981), 'Fall left': np.float32(0.5809055), 'Fall right': np.float32(0.59163094), 'Fall sitting': np.float32(0.5627688), 'Hop': np.float32(0.5977912), 'Kneel': np.float32(0.5856988), 'Pick up object': np.float32(0.58687556), 'Sit down': np.float32(0.5778168), 'Walk': np.float32(0.5962147)}
t=50 | pred=Hop | scores={'Fall backwards': np.float32(0.5815651), 'Fall forward': np.float32(0.58516085), 'Fall left': np.float32(0.58212066), 'Fall right': np.float32(0.59295934), 'Fall sitting': np.float32(0.5643107), 'Hop': np.float32(0.59853673), 'Kneel': np.float32(0.5866043), 'Pick up object': np.float32(0.5879853), 'Sit down': np.float32(0.57903844), 'Walk': np.float32(0.5966009)}
t=55 | pred=Hop | scores={'Fall backwards': np.float32(0.582888), 'Fall forward': np.float32(0.58657426), 'Fall left': np.float32(0.58347505), 'Fall right': np.float32(0.5943999), 'Fall sitting': np.float32(0.5659606), 'Hop': np.float32(0.59938693), 'Kneel': np.float32(0.5878921), 'Pick up object': np.float32(0.5892732), 'Sit down': np.float32(0.5801553), 'Walk': np.float32(0.5973769)}
t=60 | pred=Hop | scores={'Fall backwards': np.float32(0.5842007), 'Fall forward': np.float32(0.5877939), 'Fall left': np.float32(0.58473724), 'Fall right': np.float32(0.59566075), 'Fall sitting': np.float32(0.5671567), 'Hop': np.float32(0.60005504), 'Kneel': np.float32(0.5889678), 'Pick up object': np.float32(0.5903729), 'Sit down': np.float32(0.58101946), 'Walk': np.float32(0.5980486)}
t=65 | pred=Hop | scores={'Fall backwards': np.float32(0.5847345), 'Fall forward': np.float32(0.5883101), 'Fall left': np.float32(0.58516806), 'Fall right': np.float32(0.59609467), 'Fall sitting': np.float32(0.5676952), 'Hop': np.float32(0.6003886), 'Kneel': np.float32(0.58943075), 'Pick up object': np.float32(0.5910145), 'Sit down': np.float32(0.5813987), 'Walk': np.float32(0.5984519)}
t=70 | pred=Hop | scores={'Fall backwards': np.float32(0.58519655), 'Fall forward': np.float32(0.5886679), 'Fall left': np.float32(0.5855587), 'Fall right': np.float32(0.59654045), 'Fall sitting': np.float32(0.5682386), 'Hop': np.float32(0.60059714), 'Kneel': np.float32(0.5897353), 'Pick up object': np.float32(0.59153163), 'Sit down': np.float32(0.5817205), 'Walk': np.float32(0.5985971)}
t=75 | pred=Hop | scores={'Fall backwards': np.float32(0.5858362), 'Fall forward': np.float32(0.58916837), 'Fall left': np.float32(0.5861277), 'Fall right': np.float32(0.5971543), 'Fall sitting': np.float32(0.56911105), 'Hop': np.float32(0.60098904), 'Kneel': np.float32(0.5902188), 'Pick up object': np.float32(0.59224296), 'Sit down': np.float32(0.58221716), 'Walk': np.float32(0.59897166)}
t=80 | pred=Hop | scores={'Fall backwards': np.float32(0.58668673), 'Fall forward': np.float32(0.58980453), 'Fall left': np.float32(0.58692557), 'Fall right': np.float32(0.597976), 'Fall sitting': np.float32(0.57025677), 'Hop': np.float32(0.60163444), 'Kneel': np.float32(0.5909233), 'Pick up object': np.float32(0.5932122), 'Sit down': np.float32(0.5829882), 'Walk': np.float32(0.59959054)}
t=85 | pred=Hop | scores={'Fall backwards': np.float32(0.587505), 'Fall forward': np.float32(0.5903795), 'Fall left': np.float32(0.5877374), 'Fall right': np.float32(0.5987819), 'Fall sitting': np.float32(0.5713108), 'Hop': np.float32(0.60241604), 'Kneel': np.float32(0.59166336), 'Pick up object': np.float32(0.59413), 'Sit down': np.float32(0.58379245), 'Walk': np.float32(0.6002204)}
