Ground Truth: Fall sitting

t=15 | pred=Hop | scores={'Fall backwards': np.float32(0.5527858), 'Fall forward': np.float32(0.55212784), 'Fall left': np.float32(0.55425924), 'Fall right': np.float32(0.5606429), 'Fall sitting': np.float32(0.563881), 'Hop': np.float32(0.5717208), 'Kneel': np.float32(0.55874), 'Pick up object': np.float32(0.56532437), 'Sit down': np.float32(0.5655749), 'Walk': np.float32(0.5661417)}
t=20 | pred=Hop | scores={'Fall backwards': np.float32(0.55132467), 'Fall forward': np.float32(0.55012757), 'Fall left': np.float32(0.5527082), 'Fall right': np.float32(0.5591018), 'Fall sitting': np.float32(0.56129277), 'Hop': np.float32(0.5699532), 'Kneel': np.float32(0.55684817), 'Pick up object': np.float32(0.56377655), 'Sit down': np.float32(0.56431144), 'Walk': np.float32(0.56437004)}
t=25 | pred=Hop | scores={'Fall backwards': np.float32(0.550945), 'Fall forward': np.float32(0.5491755), 'Fall left': np.float32(0.55212563), 'Fall right': np.float32(0.55856854), 'Fall sitting': np.float32(0.55990094), 'Hop': np.float32(0.5689804), 'Kneel': np.float32(0.55618775), 'Pick up object': np.float32(0.56295395), 'Sit down': np.float32(0.56415975), 'Walk': np.float32(0.5634993)}
t=30 | pred=Hop | scores={'Fall backwards': np.float32(0.5520851), 'Fall forward': np.float32(0.55002767), 'Fall left': np.float32(0.55294704), 'Fall right': np.float32(0.55949986), 'Fall sitting': np.float32(0.56016415), 'Hop': np.float32(0.56959623), 'Kneel': np.float32(0.5570115), 'Pick up object': np.float32(0.5637734), 'Sit down': np.float32(0.56523657), 'Walk': np.float32(0.5642961)}
t=35 | pred=Hop | scores={'Fall backwards': np.float32(0.55418134), 'Fall forward': np.float32(0.55223864), 'Fall left': np.float32(0.5548519), 'Fall right': np.float32(0.56146497), 'Fall sitting': np.float32(0.5612147), 'Hop': np.float32(0.571827), 'Kneel': np.float32(0.55906284), 'Pick up object': np.float32(0.5656449), 'Sit down': np.float32(0.56692237), 'Walk': np.float32(0.5665626)}
t=40 | pred=Hop | scores={'Fall backwards': np.float32(0.55481166), 'Fall forward': np.float32(0.55296606), 'Fall left': np.float32(0.5554354), 'Fall right': np.float32(0.5620021), 'Fall sitting': np.float32(0.5609707), 'Hop': np.float32(0.57254404), 'Kneel': np.float32(0.55951804), 'Pick up object': np.float32(0.5659968), 'Sit down': np.float32(0.56710774), 'Walk': np.float32(0.56720173)}
t=45 | pred=Hop | scores={'Fall backwards': np.float32(0.55632406), 'Fall forward': np.float32(0.5547609), 'Fall left': np.float32(0.55679935), 'Fall right': np.float32(0.5634631), 'Fall sitting': np.float32(0.5617462), 'Hop': np.float32(0.5740116), 'Kneel': np.float32(0.56099766), 'Pick up object': np.float32(0.5672746), 'Sit down': np.float32(0.5681439), 'Walk': np.float32(0.5689057)}
t=50 | pred=Hop | scores={'Fall backwards': np.float32(0.5576156), 'Fall forward': np.float32(0.5563888), 'Fall left': np.float32(0.5580452), 'Fall right': np.float32(0.56478775), 'Fall sitting': np.float32(0.5623095), 'Hop': np.float32(0.57545155), 'Kneel': np.float32(0.5624), 'Pick up object': np.float32(0.5683905), 'Sit down': np.float32(0.56897044), 'Walk': np.float32(0.57057565)}
t=55 | pred=Hop | scores={'Fall backwards': np.float32(0.55816203), 'Fall forward': np.float32(0.5573658), 'Fall left': np.float32(0.5587662), 'Fall right': np.float32(0.5654611), 'Fall sitting': np.float32(0.5623846), 'Hop': np.float32(0.5763099), 'Kneel': np.float32(0.563328), 'Pick up object': np.float32(0.5689344), 'Sit down': np.float32(0.56935245), 'Walk': np.float32(0.57153153)}
t=60 | pred=Hop | scores={'Fall backwards': np.float32(0.5590015), 'Fall forward': np.float32(0.55848163), 'Fall left': np.float32(0.55992556), 'Fall right': np.float32(0.5664985), 'Fall sitting': np.float32(0.56289524), 'Hop': np.float32(0.57741815), 'Kneel': np.float32(0.5644732), 'Pick up object': np.float32(0.5698347), 'Sit down': np.float32(0.5700708), 'Walk': np.float32(0.5725847)}
t=65 | pred=Hop | scores={'Fall backwards': np.float32(0.5600088), 'Fall forward': np.float32(0.55953187), 'Fall left': np.float32(0.56122464), 'Fall right': np.float32(0.56779593), 'Fall sitting': np.float32(0.56407696), 'Hop': np.float32(0.57892144), 'Kneel': np.float32(0.56579703), 'Pick up object': np.float32(0.57125777), 'Sit down': np.float32(0.5713518), 'Walk': np.float32(0.5738123)}
t=70 | pred=Hop | scores={'Fall backwards': np.float32(0.5623033), 'Fall forward': np.float32(0.5620402), 'Fall left': np.float32(0.56354266), 'Fall right': np.float32(0.5702908), 'Fall sitting': np.float32(0.5666137), 'Hop': np.float32(0.5813962), 'Kneel': np.float32(0.56840634), 'Pick up object': np.float32(0.57389027), 'Sit down': np.float32(0.5735558), 'Walk': np.float32(0.57622886)}
t=75 | pred=Hop | scores={'Fall backwards': np.float32(0.5646298), 'Fall forward': np.float32(0.56455845), 'Fall left': np.float32(0.5657192), 'Fall right': np.float32(0.57269377), 'Fall sitting': np.float32(0.569054), 'Hop': np.float32(0.5833733), 'Kneel': np.float32(0.5708231), 'Pick up object': np.float32(0.5761838), 'Sit down': np.float32(0.57540077), 'Walk': np.float32(0.5783654)}
t=80 | pred=Hop | scores={'Fall backwards': np.float32(0.56741726), 'Fall forward': np.float32(0.567526), 'Fall left': np.float32(0.5683835), 'Fall right': np.float32(0.5755078), 'Fall sitting': np.float32(0.5719333), 'Hop': np.float32(0.5857482), 'Kneel': np.float32(0.5736415), 'Pick up object': np.float32(0.57883745), 'Sit down': np.float32(0.57774675), 'Walk': np.float32(0.58097714)}
