Ground Truth: Kneel

t=15 | pred=Hop | scores={'Fall backwards': np.float32(0.5844443), 'Fall forward': np.float32(0.5934054), 'Fall left': np.float32(0.58377117), 'Fall right': np.float32(0.592968), 'Fall sitting': np.float32(0.56702805), 'Hop': np.float32(0.6023951), 'Kneel': np.float32(0.591303), 'Pick up object': np.float32(0.59363705), 'Sit down': np.float32(0.57971483), 'Walk': np.float32(0.6003795)}
t=20 | pred=Hop | scores={'Fall backwards': np.float32(0.58446866), 'Fall forward': np.float32(0.59339964), 'Fall left': np.float32(0.5838208), 'Fall right': np.float32(0.5931084), 'Fall sitting': np.float32(0.5680461), 'Hop': np.float32(0.602266), 'Kneel': np.float32(0.5913633), 'Pick up object': np.float32(0.59423405), 'Sit down': np.float32(0.5800036), 'Walk': np.float32(0.60051763)}
t=25 | pred=Hop | scores={'Fall backwards': np.float32(0.584508), 'Fall forward': np.float32(0.5931722), 'Fall left': np.float32(0.58410215), 'Fall right': np.float32(0.59344447), 'Fall sitting': np.float32(0.5685713), 'Hop': np.float32(0.6024994), 'Kneel': np.float32(0.59138626), 'Pick up object': np.float32(0.5945607), 'Sit down': np.float32(0.5803998), 'Walk': np.float32(0.6004928)}
t=30 | pred=Hop | scores={'Fall backwards': np.float32(0.58389205), 'Fall forward': np.float32(0.5919021), 'Fall left': np.float32(0.5837122), 'Fall right': np.float32(0.59306026), 'Fall sitting': np.float32(0.5685824), 'Hop': np.float32(0.60204333), 'Kneel': np.float32(0.59052026), 'Pick up object': np.float32(0.59426165), 'Sit down': np.float32(0.58055454), 'Walk': np.float32(0.5994046)}
t=35 | pred=Hop | scores={'Fall backwards': np.float32(0.5836667), 'Fall forward': np.float32(0.5911376), 'Fall left': np.float32(0.58372176), 'Fall right': np.float32(0.59280306), 'Fall sitting': np.float32(0.56948745), 'Hop': np.float32(0.60222346), 'Kneel': np.float32(0.59037125), 'Pick up object': np.float32(0.5947919), 'Sit down': np.float32(0.5814795), 'Walk': np.float32(0.59908175)}
t=40 | pred=Hop | scores={'Fall backwards': np.float32(0.5848148), 'Fall forward': np.float32(0.5913996), 'Fall left': np.float32(0.5849659), 'Fall right': np.float32(0.5939053), 'Fall sitting': np.float32(0.5711505), 'Hop': np.float32(0.60353047), 'Kneel': np.float32(0.59173584), 'Pick up object': np.float32(0.59660786), 'Sit down': np.float32(0.58397675), 'Walk': np.float32(0.5999196)}
t=45 | pred=Hop | scores={'Fall backwards': np.float32(0.58602464), 'Fall forward': np.float32(0.59197307), 'Fall left': np.float32(0.5862007), 'Fall right': np.float32(0.5951218), 'Fall sitting': np.float32(0.57236606), 'Hop': np.float32(0.6043624), 'Kneel': np.float32(0.59300745), 'Pick up object': np.float32(0.5976412), 'Sit down': np.float32(0.5858422), 'Walk': np.float32(0.60031086)}
t=50 | pred=Hop | scores={'Fall backwards': np.float32(0.58714855), 'Fall forward': np.float32(0.5922015), 'Fall left': np.float32(0.58709985), 'Fall right': np.float32(0.59614456), 'Fall sitting': np.float32(0.5728479), 'Hop': np.float32(0.6045711), 'Kneel': np.float32(0.593776), 'Pick up object': np.float32(0.5981708), 'Sit down': np.float32(0.5871352), 'Walk': np.float32(0.6003141)}
t=55 | pred=Hop | scores={'Fall backwards': np.float32(0.5884491), 'Fall forward': np.float32(0.5929759), 'Fall left': np.float32(0.5881955), 'Fall right': np.float32(0.5974469), 'Fall sitting': np.float32(0.5735114), 'Hop': np.float32(0.6048057), 'Kneel': np.float32(0.59474385), 'Pick up object': np.float32(0.5988052), 'Sit down': np.float32(0.5880528), 'Walk': np.float32(0.60052323)}
t=60 | pred=Hop | scores={'Fall backwards': np.float32(0.5899003), 'Fall forward': np.float32(0.59385884), 'Fall left': np.float32(0.58958673), 'Fall right': np.float32(0.59894776), 'Fall sitting': np.float32(0.5747943), 'Hop': np.float32(0.60549295), 'Kneel': np.float32(0.5960286), 'Pick up object': np.float32(0.5999107), 'Sit down': np.float32(0.58949417), 'Walk': np.float32(0.6011436)}
t=65 | pred=Hop | scores={'Fall backwards': np.float32(0.59075147), 'Fall forward': np.float32(0.594608), 'Fall left': np.float32(0.5906191), 'Fall right': np.float32(0.5999585), 'Fall sitting': np.float32(0.57568884), 'Hop': np.float32(0.606269), 'Kneel': np.float32(0.59713805), 'Pick up object': np.float32(0.6006223), 'Sit down': np.float32(0.5903656), 'Walk': np.float32(0.60182756)}
t=70 | pred=Hop | scores={'Fall backwards': np.float32(0.5910398), 'Fall forward': np.float32(0.5945816), 'Fall left': np.float32(0.59102494), 'Fall right': np.float32(0.6004172), 'Fall sitting': np.float32(0.5760711), 'Hop': np.float32(0.6062793), 'Kneel': np.float32(0.5976042), 'Pick up object': np.float32(0.6007834), 'Sit down': np.float32(0.5907186), 'Walk': np.float32(0.60178787)}
t=75 | pred=Hop | scores={'Fall backwards': np.float32(0.5920611), 'Fall forward': np.float32(0.59551334), 'Fall left': np.float32(0.59214264), 'Fall right': np.float32(0.60156876), 'Fall sitting': np.float32(0.57707685), 'Hop': np.float32(0.6070703), 'Kneel': np.float32(0.5987686), 'Pick up object': np.float32(0.6016576), 'Sit down': np.float32(0.59166825), 'Walk': np.float32(0.60269797)}
t=80 | pred=Hop | scores={'Fall backwards': np.float32(0.59343547), 'Fall forward': np.float32(0.596856), 'Fall left': np.float32(0.5935314), 'Fall right': np.float32(0.6029522), 'Fall sitting': np.float32(0.5785634), 'Hop': np.float32(0.60810876), 'Kneel': np.float32(0.6002232), 'Pick up object': np.float32(0.6028411), 'Sit down': np.float32(0.5929144), 'Walk': np.float32(0.6039393)}
t=85 | pred=Hop | scores={'Fall backwards': np.float32(0.59468967), 'Fall forward': np.float32(0.59822404), 'Fall left': np.float32(0.594757), 'Fall right': np.float32(0.6041723), 'Fall sitting': np.float32(0.5799727), 'Hop': np.float32(0.6090547), 'Kneel': np.float32(0.6014973), 'Pick up object': np.float32(0.6038421), 'Sit down': np.float32(0.5939048), 'Walk': np.float32(0.60509884)}
t=90 | pred=Hop | scores={'Fall backwards': np.float32(0.59595144), 'Fall forward': np.float32(0.59977067), 'Fall left': np.float32(0.59607995), 'Fall right': np.float32(0.6054346), 'Fall sitting': np.float32(0.5814139), 'Hop': np.float32(0.609976), 'Kneel': np.float32(0.60289186), 'Pick up object': np.float32(0.6048292), 'Sit down': np.float32(0.59483516), 'Walk': np.float32(0.6062946)}
t=95 | pred=Hop | scores={'Fall backwards': np.float32(0.59646046), 'Fall forward': np.float32(0.6005526), 'Fall left': np.float32(0.59668523), 'Fall right': np.float32(0.60592693), 'Fall sitting': np.float32(0.5820756), 'Hop': np.float32(0.6103192), 'Kneel': np.float32(0.60349786), 'Pick up object': np.float32(0.6051691), 'Sit down': np.float32(0.59506345), 'Walk': np.float32(0.6068562)}
t=100 | pred=Hop | scores={'Fall backwards': np.float32(0.59716135), 'Fall forward': np.float32(0.60151726), 'Fall left': np.float32(0.5975247), 'Fall right': np.float32(0.606582), 'Fall sitting': np.float32(0.58300793), 'Hop': np.float32(0.61078894), 'Kneel': np.float32(0.6042806), 'Pick up object': np.float32(0.6056812), 'Sit down': np.float32(0.5955676), 'Walk': np.float32(0.6075801)}
t=105 | pred=Hop | scores={'Fall backwards': np.float32(0.59764165), 'Fall forward': np.float32(0.60220116), 'Fall left': np.float32(0.5980792), 'Fall right': np.float32(0.60699975), 'Fall sitting': np.float32(0.5835442), 'Hop': np.float32(0.611096), 'Kneel': np.float32(0.60479844), 'Pick up object': np.float32(0.6060165), 'Sit down': np.float32(0.5958033), 'Walk': np.float32(0.6080402)}
t=110 | pred=Hop | scores={'Fall backwards': np.float32(0.5981642), 'Fall forward': np.float32(0.60282564), 'Fall left': np.float32(0.5985958), 'Fall right': np.float32(0.6074394), 'Fall sitting': np.float32(0.58399665), 'Hop': np.float32(0.61137813), 'Kneel': np.float32(0.60527855), 'Pick up object': np.float32(0.6063043), 'Sit down': np.float32(0.5959699), 'Walk': np.float32(0.6084319)}
t=115 | pred=Hop | scores={'Fall backwards': np.float32(0.59826833), 'Fall forward': np.float32(0.6030313), 'Fall left': np.float32(0.59868485), 'Fall right': np.float32(0.60752785), 'Fall sitting': np.float32(0.58413035), 'Hop': np.float32(0.6113635), 'Kneel': np.float32(0.6053484), 'Pick up object': np.float32(0.6062842), 'Sit down': np.float32(0.5958733), 'Walk': np.float32(0.608531)}
