Ground Truth: Fall right

t=15 | pred=Walk | scores={'Fall backwards': np.float32(0.6684531), 'Fall forward': np.float32(0.6600399), 'Fall left': np.float32(0.66664374), 'Fall right': np.float32(0.6666625), 'Fall sitting': np.float32(0.6488739), 'Hop': np.float32(0.66471195), 'Kneel': np.float32(0.6642669), 'Pick up object': np.float32(0.6658382), 'Sit down': np.float32(0.6618597), 'Walk': np.float32(0.6696363)}
t=20 | pred=Walk | scores={'Fall backwards': np.float32(0.6687706), 'Fall forward': np.float32(0.660081), 'Fall left': np.float32(0.6671048), 'Fall right': np.float32(0.66692966), 'Fall sitting': np.float32(0.64905924), 'Hop': np.float32(0.66488427), 'Kneel': np.float32(0.66398764), 'Pick up object': np.float32(0.66641074), 'Sit down': np.float32(0.66142285), 'Walk': np.float32(0.669593)}
t=25 | pred=Walk | scores={'Fall backwards': np.float32(0.66905844), 'Fall forward': np.float32(0.6602527), 'Fall left': np.float32(0.667525), 'Fall right': np.float32(0.667309), 'Fall sitting': np.float32(0.64907634), 'Hop': np.float32(0.665697), 'Kneel': np.float32(0.66399825), 'Pick up object': np.float32(0.666828), 'Sit down': np.float32(0.6616272), 'Walk': np.float32(0.67021316)}
t=30 | pred=Walk | scores={'Fall backwards': np.float32(0.6695204), 'Fall forward': np.float32(0.6607306), 'Fall left': np.float32(0.6680907), 'Fall right': np.float32(0.6678448), 'Fall sitting': np.float32(0.6494414), 'Hop': np.float32(0.6665931), 'Kneel': np.float32(0.6641864), 'Pick up object': np.float32(0.66723967), 'Sit down': np.float32(0.6620412), 'Walk': np.float32(0.6710265)}
t=35 | pred=Walk | scores={'Fall backwards': np.float32(0.66922456), 'Fall forward': np.float32(0.66046405), 'Fall left': np.float32(0.6678254), 'Fall right': np.float32(0.66756356), 'Fall sitting': np.float32(0.64905196), 'Hop': np.float32(0.6673582), 'Kneel': np.float32(0.66402113), 'Pick up object': np.float32(0.6673578), 'Sit down': np.float32(0.6621407), 'Walk': np.float32(0.67154783)}
t=40 | pred=Walk | scores={'Fall backwards': np.float32(0.6694655), 'Fall forward': np.float32(0.6609103), 'Fall left': np.float32(0.66806257), 'Fall right': np.float32(0.66781974), 'Fall sitting': np.float32(0.64981943), 'Hop': np.float32(0.66887695), 'Kneel': np.float32(0.66440386), 'Pick up object': np.float32(0.6686035), 'Sit down': np.float32(0.6630063), 'Walk': np.float32(0.6727509)}
t=45 | pred=Walk | scores={'Fall backwards': np.float32(0.669101), 'Fall forward': np.float32(0.66070485), 'Fall left': np.float32(0.66758287), 'Fall right': np.float32(0.6675675), 'Fall sitting': np.float32(0.6495066), 'Hop': np.float32(0.6693276), 'Kneel': np.float32(0.66406465), 'Pick up object': np.float32(0.6690317), 'Sit down': np.float32(0.6627842), 'Walk': np.float32(0.672895)}
t=50 | pred=Walk | scores={'Fall backwards': np.float32(0.66947913), 'Fall forward': np.float32(0.66116756), 'Fall left': np.float32(0.6677679), 'Fall right': np.float32(0.6680484), 'Fall sitting': np.float32(0.6504082), 'Hop': np.float32(0.6694228), 'Kneel': np.float32(0.66415757), 'Pick up object': np.float32(0.6697576), 'Sit down': np.float32(0.66290826), 'Walk': np.float32(0.6728472)}
t=55 | pred=Walk | scores={'Fall backwards': np.float32(0.67131966), 'Fall forward': np.float32(0.66230035), 'Fall left': np.float32(0.6692776), 'Fall right': np.float32(0.66988146), 'Fall sitting': np.float32(0.65236646), 'Hop': np.float32(0.6691934), 'Kneel': np.float32(0.66491884), 'Pick up object': np.float32(0.67061245), 'Sit down': np.float32(0.66403186), 'Walk': np.float32(0.67255336)}
t=60 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67229176), 'Fall forward': np.float32(0.6624398), 'Fall left': np.float32(0.66994107), 'Fall right': np.float32(0.6709789), 'Fall sitting': np.float32(0.6537711), 'Hop': np.float32(0.6677684), 'Kneel': np.float32(0.66509897), 'Pick up object': np.float32(0.670227), 'Sit down': np.float32(0.66458356), 'Walk': np.float32(0.6711152)}
t=65 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67303884), 'Fall forward': np.float32(0.6629846), 'Fall left': np.float32(0.6705027), 'Fall right': np.float32(0.67189246), 'Fall sitting': np.float32(0.6544584), 'Hop': np.float32(0.66678584), 'Kneel': np.float32(0.6657669), 'Pick up object': np.float32(0.66991776), 'Sit down': np.float32(0.6648692), 'Walk': np.float32(0.67021257)}
t=70 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6735773), 'Fall forward': np.float32(0.66340214), 'Fall left': np.float32(0.6710146), 'Fall right': np.float32(0.6726538), 'Fall sitting': np.float32(0.65501523), 'Hop': np.float32(0.66572946), 'Kneel': np.float32(0.6662428), 'Pick up object': np.float32(0.669531), 'Sit down': np.float32(0.6650564), 'Walk': np.float32(0.66912866)}
t=75 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.67432886), 'Fall forward': np.float32(0.6640935), 'Fall left': np.float32(0.6718327), 'Fall right': np.float32(0.67365825), 'Fall sitting': np.float32(0.65578514), 'Hop': np.float32(0.6651093), 'Kneel': np.float32(0.6671683), 'Pick up object': np.float32(0.66966826), 'Sit down': np.float32(0.665635), 'Walk': np.float32(0.66843575)}
t=80 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6751148), 'Fall forward': np.float32(0.6650247), 'Fall left': np.float32(0.6728966), 'Fall right': np.float32(0.67479783), 'Fall sitting': np.float32(0.65668935), 'Hop': np.float32(0.6649947), 'Kneel': np.float32(0.6683348), 'Pick up object': np.float32(0.67024267), 'Sit down': np.float32(0.66626877), 'Walk': np.float32(0.6680917)}
t=85 | pred=Fall backwards | scores={'Fall backwards': np.float32(0.6756053), 'Fall forward': np.float32(0.66594315), 'Fall left': np.float32(0.67363316), 'Fall right': np.float32(0.6755107), 'Fall sitting': np.float32(0.65746236), 'Hop': np.float32(0.6649376), 'Kneel': np.float32(0.6692403), 'Pick up object': np.float32(0.67060304), 'Sit down': np.float32(0.66676646), 'Walk': np.float32(0.66791975)}
t=90 | pred=Fall right | scores={'Fall backwards': np.float32(0.6755219), 'Fall forward': np.float32(0.6662849), 'Fall left': np.float32(0.67372817), 'Fall right': np.float32(0.6755493), 'Fall sitting': np.float32(0.65770817), 'Hop': np.float32(0.66412276), 'Kneel': np.float32(0.66960734), 'Pick up object': np.float32(0.6703073), 'Sit down': np.float32(0.66673875), 'Walk': np.float32(0.666923)}
t=95 | pred=Fall right | scores={'Fall backwards': np.float32(0.6750955), 'Fall forward': np.float32(0.6662961), 'Fall left': np.float32(0.6734921), 'Fall right': np.float32(0.6751955), 'Fall sitting': np.float32(0.6576031), 'Hop': np.float32(0.6632541), 'Kneel': np.float32(0.669609), 'Pick up object': np.float32(0.6697973), 'Sit down': np.float32(0.6664464), 'Walk': np.float32(0.6659351)}
t=100 | pred=Fall right | scores={'Fall backwards': np.float32(0.67451465), 'Fall forward': np.float32(0.6659178), 'Fall left': np.float32(0.6730379), 'Fall right': np.float32(0.67466897), 'Fall sitting': np.float32(0.657313), 'Hop': np.float32(0.662107), 'Kneel': np.float32(0.6693289), 'Pick up object': np.float32(0.66912436), 'Sit down': np.float32(0.6659159), 'Walk': np.float32(0.6646577)}
t=105 | pred=Fall right | scores={'Fall backwards': np.float32(0.674348), 'Fall forward': np.float32(0.665761), 'Fall left': np.float32(0.6729736), 'Fall right': np.float32(0.6746327), 'Fall sitting': np.float32(0.65731037), 'Hop': np.float32(0.6614823), 'Kneel': np.float32(0.669276), 'Pick up object': np.float32(0.66880035), 'Sit down': np.float32(0.6657809), 'Walk': np.float32(0.66401994)}
t=110 | pred=Fall right | scores={'Fall backwards': np.float32(0.6744165), 'Fall forward': np.float32(0.6657709), 'Fall left': np.float32(0.6731326), 'Fall right': np.float32(0.6748188), 'Fall sitting': np.float32(0.65757376), 'Hop': np.float32(0.6608755), 'Kneel': np.float32(0.66939723), 'Pick up object': np.float32(0.6685722), 'Sit down': np.float32(0.6658772), 'Walk': np.float32(0.66347027)}
t=115 | pred=Fall right | scores={'Fall backwards': np.float32(0.6745042), 'Fall forward': np.float32(0.66581357), 'Fall left': np.float32(0.6733008), 'Fall right': np.float32(0.6750288), 'Fall sitting': np.float32(0.657833), 'Hop': np.float32(0.6605086), 'Kneel': np.float32(0.6695028), 'Pick up object': np.float32(0.66846573), 'Sit down': np.float32(0.6660066), 'Walk': np.float32(0.66313523)}
t=120 | pred=Fall right | scores={'Fall backwards': np.float32(0.67472064), 'Fall forward': np.float32(0.66596824), 'Fall left': np.float32(0.6735975), 'Fall right': np.float32(0.6753461), 'Fall sitting': np.float32(0.6582547), 'Hop': np.float32(0.6601309), 'Kneel': np.float32(0.66972035), 'Pick up object': np.float32(0.66844934), 'Sit down': np.float32(0.6662597), 'Walk': np.float32(0.66287583)}
t=125 | pred=Fall right | scores={'Fall backwards': np.float32(0.67468774), 'Fall forward': np.float32(0.6658814), 'Fall left': np.float32(0.6736102), 'Fall right': np.float32(0.6753805), 'Fall sitting': np.float32(0.6583347), 'Hop': np.float32(0.6596929), 'Kneel': np.float32(0.6696624), 'Pick up object': np.float32(0.66823035), 'Sit down': np.float32(0.6661923), 'Walk': np.float32(0.6624824)}
