Ground Truth: Hop

t=15 | pred=Walk | scores={'Fall backwards': np.float32(0.657547), 'Fall forward': np.float32(0.65532947), 'Fall left': np.float32(0.6562327), 'Fall right': np.float32(0.6549404), 'Fall sitting': np.float32(0.64166176), 'Hop': np.float32(0.6653898), 'Kneel': np.float32(0.65733916), 'Pick up object': np.float32(0.65998316), 'Sit down': np.float32(0.65190125), 'Walk': np.float32(0.66653657)}
t=20 | pred=Walk | scores={'Fall backwards': np.float32(0.65786624), 'Fall forward': np.float32(0.65499735), 'Fall left': np.float32(0.6561806), 'Fall right': np.float32(0.655052), 'Fall sitting': np.float32(0.6415353), 'Hop': np.float32(0.66511893), 'Kneel': np.float32(0.65710104), 'Pick up object': np.float32(0.66014427), 'Sit down': np.float32(0.65197325), 'Walk': np.float32(0.66636705)}
t=25 | pred=Walk | scores={'Fall backwards': np.float32(0.65992093), 'Fall forward': np.float32(0.656956), 'Fall left': np.float32(0.65829086), 'Fall right': np.float32(0.6573668), 'Fall sitting': np.float32(0.644339), 'Hop': np.float32(0.666938), 'Kneel': np.float32(0.65926915), 'Pick up object': np.float32(0.66244745), 'Sit down': np.float32(0.65399253), 'Walk': np.float32(0.66825134)}
t=30 | pred=Walk | scores={'Fall backwards': np.float32(0.6613987), 'Fall forward': np.float32(0.6574961), 'Fall left': np.float32(0.6597348), 'Fall right': np.float32(0.6591635), 'Fall sitting': np.float32(0.64653397), 'Hop': np.float32(0.66764927), 'Kneel': np.float32(0.6600793), 'Pick up object': np.float32(0.6640953), 'Sit down': np.float32(0.6554807), 'Walk': np.float32(0.6686357)}
t=35 | pred=Walk | scores={'Fall backwards': np.float32(0.6621974), 'Fall forward': np.float32(0.65818405), 'Fall left': np.float32(0.6607476), 'Fall right': np.float32(0.6601342), 'Fall sitting': np.float32(0.64734197), 'Hop': np.float32(0.6685841), 'Kneel': np.float32(0.6609414), 'Pick up object': np.float32(0.6650464), 'Sit down': np.float32(0.6564079), 'Walk': np.float32(0.6692897)}
t=40 | pred=Walk | scores={'Fall backwards': np.float32(0.6621796), 'Fall forward': np.float32(0.6582365), 'Fall left': np.float32(0.6609194), 'Fall right': np.float32(0.6601825), 'Fall sitting': np.float32(0.64795375), 'Hop': np.float32(0.66928434), 'Kneel': np.float32(0.6611334), 'Pick up object': np.float32(0.66592133), 'Sit down': np.float32(0.65683335), 'Walk': np.float32(0.66979945)}
t=45 | pred=Walk | scores={'Fall backwards': np.float32(0.66216093), 'Fall forward': np.float32(0.6582169), 'Fall left': np.float32(0.6608652), 'Fall right': np.float32(0.66008466), 'Fall sitting': np.float32(0.6481503), 'Hop': np.float32(0.67014164), 'Kneel': np.float32(0.6611841), 'Pick up object': np.float32(0.6666976), 'Sit down': np.float32(0.657212), 'Walk': np.float32(0.6704741)}
t=50 | pred=Walk | scores={'Fall backwards': np.float32(0.6622648), 'Fall forward': np.float32(0.658684), 'Fall left': np.float32(0.66117156), 'Fall right': np.float32(0.6601449), 'Fall sitting': np.float32(0.6483586), 'Hop': np.float32(0.67122215), 'Kneel': np.float32(0.661708), 'Pick up object': np.float32(0.6673792), 'Sit down': np.float32(0.65798765), 'Walk': np.float32(0.67151135)}
t=55 | pred=Walk | scores={'Fall backwards': np.float32(0.6621447), 'Fall forward': np.float32(0.6590381), 'Fall left': np.float32(0.6612749), 'Fall right': np.float32(0.66001344), 'Fall sitting': np.float32(0.64885455), 'Hop': np.float32(0.6720536), 'Kneel': np.float32(0.6621294), 'Pick up object': np.float32(0.6680727), 'Sit down': np.float32(0.6584995), 'Walk': np.float32(0.672242)}
t=60 | pred=Walk | scores={'Fall backwards': np.float32(0.6619278), 'Fall forward': np.float32(0.6594366), 'Fall left': np.float32(0.6612719), 'Fall right': np.float32(0.6599339), 'Fall sitting': np.float32(0.6497644), 'Hop': np.float32(0.6725328), 'Kneel': np.float32(0.6625204), 'Pick up object': np.float32(0.66853935), 'Sit down': np.float32(0.6591071), 'Walk': np.float32(0.6727055)}
t=65 | pred=Walk | scores={'Fall backwards': np.float32(0.66134906), 'Fall forward': np.float32(0.65940875), 'Fall left': np.float32(0.6609162), 'Fall right': np.float32(0.65946287), 'Fall sitting': np.float32(0.6500101), 'Hop': np.float32(0.6728647), 'Kneel': np.float32(0.66262627), 'Pick up object': np.float32(0.66873085), 'Sit down': np.float32(0.6593164), 'Walk': np.float32(0.67296624)}
