Ground Truth: Sit down

t=15 | pred=Sit down | scores={'Fall backwards': np.float32(0.6540591), 'Fall forward': np.float32(0.6467378), 'Fall left': np.float32(0.6572812), 'Fall right': np.float32(0.6538641), 'Fall sitting': np.float32(0.64863634), 'Hop': np.float32(0.652784), 'Kneel': np.float32(0.65274876), 'Pick up object': np.float32(0.65670604), 'Sit down': np.float32(0.660783), 'Walk': np.float32(0.65692997)}
t=20 | pred=Sit down | scores={'Fall backwards': np.float32(0.6555971), 'Fall forward': np.float32(0.6485276), 'Fall left': np.float32(0.65873694), 'Fall right': np.float32(0.65546), 'Fall sitting': np.float32(0.6494085), 'Hop': np.float32(0.6535806), 'Kneel': np.float32(0.6543046), 'Pick up object': np.float32(0.6573787), 'Sit down': np.float32(0.6621397), 'Walk': np.float32(0.65789354)}
t=25 | pred=Sit down | scores={'Fall backwards': np.float32(0.6566837), 'Fall forward': np.float32(0.6507077), 'Fall left': np.float32(0.6597114), 'Fall right': np.float32(0.65678436), 'Fall sitting': np.float32(0.6513314), 'Hop': np.float32(0.6547036), 'Kneel': np.float32(0.65575105), 'Pick up object': np.float32(0.6585988), 'Sit down': np.float32(0.6631972), 'Walk': np.float32(0.65923965)}
t=30 | pred=Sit down | scores={'Fall backwards': np.float32(0.65660286), 'Fall forward': np.float32(0.65171283), 'Fall left': np.float32(0.65989566), 'Fall right': np.float32(0.65719587), 'Fall sitting': np.float32(0.6532814), 'Hop': np.float32(0.6552082), 'Kneel': np.float32(0.65637714), 'Pick up object': np.float32(0.65915257), 'Sit down': np.float32(0.6636006), 'Walk': np.float32(0.65993047)}
t=35 | pred=Sit down | scores={'Fall backwards': np.float32(0.65557784), 'Fall forward': np.float32(0.6511872), 'Fall left': np.float32(0.6592321), 'Fall right': np.float32(0.6565989), 'Fall sitting': np.float32(0.6541444), 'Hop': np.float32(0.65489906), 'Kneel': np.float32(0.65585244), 'Pick up object': np.float32(0.65877074), 'Sit down': np.float32(0.6630465), 'Walk': np.float32(0.6594514)}
t=40 | pred=Sit down | scores={'Fall backwards': np.float32(0.65449655), 'Fall forward': np.float32(0.6505488), 'Fall left': np.float32(0.6584927), 'Fall right': np.float32(0.6560496), 'Fall sitting': np.float32(0.6547148), 'Hop': np.float32(0.6537518), 'Kneel': np.float32(0.6554513), 'Pick up object': np.float32(0.6578935), 'Sit down': np.float32(0.6625208), 'Walk': np.float32(0.65822506)}
t=45 | pred=Sit down | scores={'Fall backwards': np.float32(0.6546), 'Fall forward': np.float32(0.65057886), 'Fall left': np.float32(0.65867), 'Fall right': np.float32(0.6562452), 'Fall sitting': np.float32(0.65509886), 'Hop': np.float32(0.65358377), 'Kneel': np.float32(0.6557974), 'Pick up object': np.float32(0.657703), 'Sit down': np.float32(0.6630807), 'Walk': np.float32(0.6579415)}
t=50 | pred=Sit down | scores={'Fall backwards': np.float32(0.65507877), 'Fall forward': np.float32(0.65089065), 'Fall left': np.float32(0.65907514), 'Fall right': np.float32(0.6566694), 'Fall sitting': np.float32(0.6553841), 'Hop': np.float32(0.6537664), 'Kneel': np.float32(0.6564126), 'Pick up object': np.float32(0.6579275), 'Sit down': np.float32(0.66380596), 'Walk': np.float32(0.65805686)}
t=55 | pred=Sit down | scores={'Fall backwards': np.float32(0.6555239), 'Fall forward': np.float32(0.65071654), 'Fall left': np.float32(0.6593803), 'Fall right': np.float32(0.6570676), 'Fall sitting': np.float32(0.655242), 'Hop': np.float32(0.6536396), 'Kneel': np.float32(0.65670466), 'Pick up object': np.float32(0.65826), 'Sit down': np.float32(0.66465724), 'Walk': np.float32(0.657907)}
t=60 | pred=Sit down | scores={'Fall backwards': np.float32(0.65688294), 'Fall forward': np.float32(0.65150094), 'Fall left': np.float32(0.6605922), 'Fall right': np.float32(0.658342), 'Fall sitting': np.float32(0.65617037), 'Hop': np.float32(0.6541156), 'Kneel': np.float32(0.6577834), 'Pick up object': np.float32(0.65925795), 'Sit down': np.float32(0.66629046), 'Walk': np.float32(0.6584702)}
t=65 | pred=Sit down | scores={'Fall backwards': np.float32(0.6581678), 'Fall forward': np.float32(0.6522321), 'Fall left': np.float32(0.661674), 'Fall right': np.float32(0.6595067), 'Fall sitting': np.float32(0.6569783), 'Hop': np.float32(0.6543614), 'Kneel': np.float32(0.6585915), 'Pick up object': np.float32(0.659911), 'Sit down': np.float32(0.6675608), 'Walk': np.float32(0.65867376)}
